,x,y,class
0,-8.69493,-4.08204,0
1,-8.6404,-3.85833,0
2,-7.70667,-1.4747,0
3,-8.81293,-3.27131,0
4,-8.05403,-3.51724,0
5,-8.29488,-3.51365,0
6,-10.1359,-4.39111,0
7,-8.04381,-2.79032,0
8,-9.82957,-4.44724,0
9,-9.09786,-4.46506,0
10,-7.0911,-3.26933,0
11,-7.98238,-2.70144,0
12,-9.67598,-3.84127,0
13,-7.85766,-2.21475,0
14,-8.15751,-4.09354,0
15,-8.9737,-2.76981,0
16,-8.05094,-3.59263,0
17,-7.72412,-1.54349,0
18,-8.91767,-4.12078,0
19,-8.13389,-1.80716,0
20,-10.4918,-4.16823,0
21,-7.64232,-2.87174,0
22,-7.6268,-2.67739,0
23,-8.59165,-3.32836,0
24,-7.20008,-1.64701,0
25,-8.75974,-3.67519,0
26,-8.3488,-2.61235,0
27,-7.7484,-2.84117,0
28,-8.97632,-4.52084,0
29,-7.69324,-2.27566,0
30,-10.0336,-5.04022,0
31,-8.85227,-4.0334,0
32,-9.03189,-4.04806,0
33,-8.13572,-3.3417,0
34,-8.86449,-3.94871,0
35,-9.23683,-3.62431,0
36,-9.43361,-3.65627,0
37,-8.18118,-2.27224,0
38,-8.40732,-2.7209,0
39,-9.50774,-4.42073,0
40,-8.78031,-4.7516,0
41,-8.81461,-3.32169,0
42,-8.97416,-4.91024,0
43,-9.31334,-3.81161,0
44,-8.74045,-4.7963,0
45,-7.95166,-3.80814,0
46,-10.0591,-4.7811,0
47,-8.36515,-3.44231,0
48,-6.99971,-2.68442,0
49,-9.65653,-5.11228,0
50,-8.66661,-3.68409,0
51,-8.15935,-3.07882,0
52,-7.99154,-1.51911,0
53,-9.11811,-2.32231,0
54,-9.0938,-4.34333,0
55,-8.14049,-3.33259,0
56,-8.02519,-4.65274,0
57,-8.44775,-3.63394,0
58,-8.9976,-4.7722,0
59,-8.66632,-3.32594,0
60,-7.95832,-2.87078,0
61,-9.25258,-4.46247,0
62,-10.3672,-4.54571,0
63,-7.46944,-3.1481,0
64,-8.59579,-4.77005,0
65,-9.22283,-3.56783,0
66,-8.21303,-2.67898,0
67,-9.2124,-3.58182,0
68,-8.64581,-3.3193,0
69,-9.35346,-5.39518,0
70,-7.76767,-2.09506,0
71,-9.05833,-2.98536,0
72,-7.42674,-3.79082,0
73,-8.68992,-2.91888,0
74,-7.29042,-2.17037,0
75,-8.34408,-3.64164,0
76,-8.17298,-3.17738,0
77,-9.30139,-3.25965,0
78,-9.29681,-3.59796,0
79,-9.58048,-4.49728,0
80,-8.49216,-3.65884,0
81,-8.34336,-2.41142,0
82,-7.8601,-2.97977,0
83,-9.04439,-3.78356,0
84,-8.88553,-4.39569,0
85,-7.28641,-1.33624,0
86,-8.77737,-4.02101,0
87,-9.30099,-3.68911,0
