,a0,a1,class
0,8.04731,-4.88662,0
1,11.2375,3.01746,0
2,5.1105,0.269883,0
3,6.34456,-3.71832,0
4,9.09493,2.02836,0
5,8.01686,-2.26484,0
6,9.95815,6.67136,0
7,10.073,-5.96494,0
8,8.5259,-1.55089,0
9,8.63238,-1.97034,0
10,8.28997,0.706405,0
11,7.90183,-0.888256,0
12,7.32836,-0.803496,0
13,9.67965,-0.771563,0
14,8.79674,0.706112,0
15,8.32337,4.08369,0
16,9.81871,-0.849995,0
17,8.43905,1.03966,0
18,9.78637,0.184881,0
19,7.64558,-4.89767,0
20,8.22954,-2.59089,0
21,8.80164,0.217603,0
22,9.27446,-2.85584,0
23,7.9565,-3.16253,0
24,6.88808,1.16889,0
25,10.5153,-0.505739,0
26,9.5922,-2.58048,0
27,9.73777,4.52998,0
28,5.24049,1.31851,0
29,6.41871,-0.0358384,0
30,9.62282,1.48769,0
31,7.20748,-3.67993,0
32,9.69823,5.00318,0
33,5.90921,-2.06383,0
34,7.39026,1.22465,0
35,7.80643,3.19455,0
36,10.0482,0.524928,0
37,6.54353,0.00109869,0
38,8.50854,0.628461,0
39,6.85735,0.0607903,0
40,11.291,-1.66965,0
41,6.44954,2.40385,0
42,9.73731,-1.24028,0
43,7.60214,-2.23978,0
44,8.62179,-4.88772,0
45,8.36149,-4.5666,0
46,8.63232,0.0943378,0
47,6.62618,-1.77265,0
48,6.73818,-1.92942,0
49,8.52811,4.67163,0
50,7.58597,-2.13659,0
51,9.29786,-2.65974,0
52,8.65448,-0.523772,0
53,8.07383,1.14914,0
54,9.8528,1.39256,0
55,5.85915,-2.42513,0
56,8.84712,0.805192,0
57,9.17578,-1.14853,0
58,10.0153,4.45207,0
59,8.31818,2.45892,0
60,8.59704,-2.09505,0
61,8.53503,-5.78822,0
62,8.82572,4.51317,0
63,8.31072,-4.95844,0
64,8.18246,-0.25343,0
65,9.65633,1.97728,0
66,6.59622,1.5515,0
67,8.55303,-4.08889,0
68,11.4203,1.35158,0
69,12.4761,-2.50378,0
70,9.9861,-1.87648,0
71,7.16331,1.61416,0
72,9.41639,-0.680316,0
73,10.9345,-2.79792,0
74,7.41624,-1.52791,0
75,11.309,-1.57946,0
76,10.4984,-2.0423,0
77,8.887,5.581,0
78,9.25853,-7.16143,0
79,7.64768,-1.50731,0
80,7.73847,-4.43388,0
81,7.92336,-6.30531,0
82,8.55215,1.02912,0
83,8.89508,-5.53115,0
84,6.26833,-0.508081,0
85,7.1283,-1.64686,0
86,9.26061,-3.68983,0
87,9.33413,-8.03635,0
88,5.77097,4.97839,0
89,11.2793,-1.18948,0
90,7.91054,-1.08779,0
91,8.72444,-0.488243,0
92,8.7434,-1.68898,0
93,10.6764,-3.88999,0
94,11.2826,-3.23266,0
95,6.76457,-0.640593,0
96,6.80258,2.78013,0
97,11.1112,0.323643,0
98,7.19656,0.793745,0
99,9.55187,-0.809177,0
100,6.43023,-0.542349,0
101,8.54799,3.08994,0
102,9.49333,3.42415,0
103,7.64632,0.452481,0
104,9.21912,0.197608,0
105,8.6011,-2.11131,0
106,8.33068,2.61018,0
107,8.6887,-2.72417,0
108,8.9796,0.0784963,0
109,6.83457,-3.28685,0
110,9.81484,-2.21538,0
111,5.66555,1.82633,0
112,10.6438,-1.77971,0
113,8.97819,-0.819641,0
