,a0,a1,class
0,2.74531,41.5491,0
1,-0.628169,41.1591,0
2,2.77995,40.7192,0
3,1.13716,41.8618,0
4,2.0932,41.3531,0
5,2.00509,41.3275,0
6,1.345,41.0071,0
7,2.26561,41.4549,0
8,-0.376379,41.4281,0
9,1.20464,41.574,0
10,1.00007,40.9378,0
11,0.99736,41.1714,0
12,0.134799,41.8113,0
13,2.47585,41.6346,0
14,-3.0587,41.3887,0
15,0.73266,41.4888,0
16,0.35745,41.8429,0
17,0.157674,41.7513,0
18,2.69103,41.8298,0
19,0.536346,41.5344,0
20,2.46873,41.4813,0
21,-1.91946,40.8824,0
22,3.44394,41.3349,0
23,2.88157,41.1534,0
24,-0.53933,41.4057,0
25,-0.0276636,41.1127,0
26,0.0933292,41.0051,0
27,0.209173,41.7993,0
28,-0.0668266,41.7829,0
29,1.79969,42.3177,0
30,0.510155,41.6298,0
31,0.138588,41.1531,0
32,-0.0175984,41.694,0
33,0.618498,41.4093,0
34,-2.63433,41.9534,0
35,2.01141,41.222,0
36,5.57577,41.5869,0
37,1.40539,41.53,0
38,3.55797,41.8688,0
39,2.68052,41.3868,0
40,2.95654,41.486,0
41,-0.391807,41.2361,0
42,4.00381,41.4221,0
43,1.44796,41.0426,0
44,0.201187,41.4562,0
45,0.795719,41.6564,0
46,0.502018,41.5292,0
47,0.290078,41.6987,0
48,1.19913,40.799,0
49,-1.28096,41.1171,0
50,0.030134,41.4093,0
51,1.99597,41.7064,0
52,3.11367,41.4872,0
53,0.546399,41.5257,0
54,-1.00433,41.3616,0
55,1.22587,42.0243,0
56,-0.202468,41.863,0
57,-1.40362,40.9709,0
58,0.977844,40.6544,0
59,2.66858,41.613,0
60,3.87692,41.5591,0
61,2.62824,41.4168,0
62,2.06543,41.3289,0
63,-1.63482,41.3223,0
64,2.00123,41.8628,0
65,3.64504,42.0131,0
66,-2.36311,41.4501,0
67,2.6411,41.6433,0
68,-2.92099,40.9228,0
69,1.66685,41.3844,0
70,1.35976,41.4936,0
71,2.40343,42.0717,0
72,-0.156466,41.3901,0
73,-0.149501,41.3361,0
74,2.31285,41.3771,0
75,2.73428,41.6682,0
76,0.703931,40.8069,0
77,2.65785,41.2811,0
78,4.18733,41.6706,0
79,0.21038,41.3822,0
80,-2.37222,41.5596,0
81,2.14842,42.1958,0
82,3.90696,41.487,0
83,0.805582,40.9885,0
84,2.88554,41.7446,0
85,0.4224,41.6881,0
86,4.28893,41.7292,0
87,0.709065,41.6168,0
88,-1.114,41.4017,0
89,0.00767159,41.3293,0
90,2.98833,41.0246,0
91,-0.895292,41.5051,0
92,3.71451,41.4277,0
93,-0.34788,40.9151,0
94,3.6333,41.5624,0
95,3.86924,41.0564,0
96,-0.228855,40.791,0
97,3.10995,41.9408,0
98,2.41484,41.1329,0
99,3.09267,41.8441,0
100,-1.40569,40.9844,0
101,2.83167,41.5767,0
102,-2.08925,41.8549,0
103,-0.0413047,41.4111,0
104,0.99321,41.2289,0
105,5.49799,42.229,0
106,4.56593,41.3131,0
107,2.62767,41.2001,0
108,1.86702,41.0572,0
109,0.99447,40.9706,0
110,1.35799,41.9985,0
111,0.965753,41.2944,0
112,5.09559,41.0741,0
113,1.36247,41.1762,0
114,1.69922,41.2959,0
115,3.16355,41.7048,0
116,5.25389,41.8303,0
117,0.531934,41.5568,0
118,3.28948,41.5843,0
119,0.10212,41.6421,0
120,-2.09836,41.0296,0
121,1.1946,41.225,0
122,0.0879961,41.7027,0
123,-0.344577,41.9871,0
124,-0.195498,41.2088,0
125,2.2287,41.8828,0
126,3.68595,41.7489,0
127,2.78496,41.4375,0
128,-1.03866,41.3832,0
129,0.83488,40.8743,0
130,1.10206,41.6165,0
131,2.73045,42.2562,0
132,1.85942,42.4662,0
133,-2.90953,41.7232,0
134,3.17061,41.78,0
135,-1.28675,41.7713,0
136,3.19275,41.3024,0
137,2.44799,41.3377,0
138,1.01221,41.3916,0
139,2.86381,41.3201,0
140,2.53895,41.8226,0
141,0.652358,41.6833,0
142,2.95625,41.2105,0
143,2.05624,41.7799,0
144,2.73907,41.5838,0
145,0.19292,41.4039,0
146,-1.90824,41.2266,0
147,3.31292,41.8747,0
148,-1.17188,41.499,0
149,-1.19959,41.2945,0
150,3.40639,41.4131,0
151,-0.309029,41.7895,0
152,2.29291,41.4736,0
153,2.85405,41.4468,0
154,0.906787,41.8417,0
155,1.03301,41.6805,0
156,2.7908,41.5484,0
157,1.60142,41.0711,0
158,3.07553,41.3319,0
159,2.66801,41.3151,0
160,48.886,3.35011,1
161,55.316,3.58154,1
162,47.1063,3.17478,1
163,54.3381,3.23281,1
164,35.7588,3.16244,1
165,46.5543,3.20303,1
166,48.3758,3.10358,1
167,41.019,3.38711,1
168,54.3551,3.20353,1
169,53.6196,3.15156,1
170,46.3802,3.32142,1
171,48.4628,3.09102,1
172,46.1492,3.13285,1
173,48.8009,2.98271,1
174,46.13,3.22293,1
175,48.8492,3.34834,1
176,52.4008,2.66164,1
177,45.6532,2.92506,1
178,51.7098,3.12781,1
179,49.3856,2.97191,1
180,54.8398,3.09188,1
181,51.3912,3.04305,1
182,48.7477,2.88549,1
183,47.3895,3.08509,1
