,x,y,class
0,-3.053,0.787,1
1,-2.535,1.088,1
2,-2.667,0.611,1
3,-2.598,1.323,1
4,2.173,0.864,1
5,0.606,0.742,1
6,-1.686,0.854,1
7,2.307,1.196,1
8,0.52,1.155,1
9,-0.484,0.985,1
10,-1.857,1.337,1
11,-3.46,0.868,1
12,-0.324,1.237,1
13,0.319,1.149,1
14,0.714,1.399,1
15,-2.184,1.529,1
16,0.128,1.446,1
17,2.357,0.693,1
18,0.605,1.402,1
19,-0.77,1.401,1
20,1.199,1.135,1
21,-4.58,1.124,1
22,2.693,1.038,1
23,-1.969,0.901,1
24,0.597,1.031,1
25,-3.557,1.064,1
26,4.359,1.041,1
27,-4.393,1.371,1
28,-3.509,0.876,1
29,-0.494,0.743,1
30,2.767,1.281,1
31,0.926,1.275,1
32,0.161,0.716,1
33,3.213,0.846,1
34,3.715,1.502,1
35,3.889,0.644,1
36,-1.021,1.156,1
37,-3.313,1.288,1
38,-0.105,0.834,1
39,-4.164,1.255,1
40,3.566,1.288,1
41,-0.949,0.628,1
42,-2.198,1.493,1
43,0.898,1.26,1
44,-2.996,0.668,1
45,2.913,1.001,1
46,-0.088,0.893,1
47,-3.48,1.211,1
48,-0.642,0.825,1
49,1.87,0.805,1
50,-0.952,1.485,1
51,-2.33,0.901,1
52,-0.39,1.052,1
53,4.044,1.107,1
54,1.593,1.549,1
55,-1.297,0.868,1
56,-1.516,1.203,1
57,-3.205,1.021,1
58,-1.776,1.122,1
59,-1.997,1.535,1
60,-4.031,0.632,1
61,3.695,1.299,1
62,-0.956,1.342,1
63,0.106,1.458,1
64,-0.767,1.219,1
65,-3.211,1.33,1
66,3.486,1.483,1
67,-0.581,1.541,1
68,-1.476,0.938,1
69,3.407,1.408,1
70,-2.11,1.324,1
71,-0.363,0.971,1
72,1.96,0.668,1
73,-0.857,0.981,1
74,-3.693,0.845,1
75,-0.163,1.078,1
76,-3.014,1.023,1
77,-3.621,0.854,1
78,-1.842,0.731,1
79,3.689,0.96,1
80,-1.173,0.894,1
81,-0.394,0.854,1
82,-2.588,0.67,1
83,-1.131,1.172,1
84,2.051,1.406,1
85,-1.009,0.669,1
