,x,y,class
0,4.489013,3.949385,1
1,3.234519,3.032182,1
2,2.339381,3.233512,1
3,3.067888,3.272515,1
4,3.337977,3.214286,1
5,1.623692,1.968673,1
6,4.459075,3.803079,1
7,2.746071,2.881115,1
8,3.022935,3.244224,1
9,2.634098,2.410794,1
10,2.209555,2.269341,1
11,2.93852,4.243461,1
12,3.307581,3.077136,1
13,4.325037,3.338618,1
14,2.868755,2.639683,1
15,2.849528,2.990066,1
16,3.360591,3.146077,1
17,1.935163,2.120289,1
18,3.001328,3.005997,1
19,2.815287,2.893017,1
20,1.970595,2.479919,1
21,3.990677,3.728278,1
22,3.402707,3.298334,1
23,3.945814,2.965621,1
24,2.735176,2.44998,1
25,3.608432,3.170064,1
26,3.252739,3.002152,1
27,2.484497,3.060198,1
28,3.994705,3.673803,1
29,2.799814,2.734718,1
30,2.907117,2.647374,1
31,3.115223,4.262139,1
32,2.973952,2.696356,1
33,3.986648,3.551485,1
34,3.326075,3.389431,1
35,1.859722,1.628361,1
36,2.762185,2.475341,1
37,2.888989,3.010208,1
38,2.817301,3.156148,1
39,3.017533,2.841655,1
40,3.685522,3.447386,1
41,3.414609,3.078967,1
42,2.412534,2.670171,1
43,3.551576,3.318201,1
44,3.1198,3.169698,1
45,3.662816,3.273339,1
46,1.914106,2.575411,1
47,2.720985,2.346248,1
48,3.747047,3.591311,1
49,4.447722,3.787515,1
50,2.788827,2.815561,1
51,3.065783,2.989334,1
52,3.015519,3.216941,1
53,2.533937,2.938429,1
54,2.929548,3.161733,1
55,3.606601,3.310785,1
56,3.96147,3.833018,1
57,3.200095,3.34109,1
58,3.943892,3.325709,1
59,2.584658,2.652593,1
60,3.367641,3.577944,1
61,2.17513,2.389279,1
62,3.093066,3.12978,1
63,2.019761,2.741035,1
64,4.233482,4.22158,1
65,2.910321,2.896588,1
66,1.983322,2.480926,1
67,3.507996,2.27694,1
68,3.990402,4.059343,1
69,1.925916,1.847545,1
70,3.645787,3.182974,1
71,4.467864,3.664098,1
72,3.275536,3.071001,1
73,4.161977,3.177847,1
74,3.09508,2.91792,1
75,4.149342,2.954726,1
76,3.058275,2.963149,1
77,3.212088,3.750984,1
78,2.805124,2.793954,1
79,4.023911,3.317652,1
80,1.784738,2.587313,1
81,2.851543,2.983566,1
82,3.440977,3.477416,1
83,3.884014,3.279107,1
84,2.566988,1.667821,1
85,3.63187,3.683508,1
86,4.088458,3.490051,1
87,3.419828,3.19982,1
88,2.707251,2.4476,1
89,3.235984,3.104053,1
90,3.289636,3.267296,1
91,2.4129,2.971023,1
92,3.734321,3.365169,1
93,3.03209,3.086383,1
94,3.335414,2.976608,1
95,3.027696,2.906568,1
96,4.230003,3.549654,1
97,2.794412,2.961592,1
98,2.394681,2.819956,1
99,3.058641,2.859142,1
100,4.406613,3.409665,1
101,2.688025,2.837901,1
102,3.278008,2.598025,1
103,3.077044,3.235527,1
104,2.397153,2.696722,1
105,3.55121,3.163015,1
106,4.190451,3.168416,1
107,3.975661,3.483825,1
108,2.23281,2.231712,1
109,3.067614,2.632267,1
110,4.437742,3.717017,1
