,x,y,class
0,9.802,10.132,1
1,10.35,9.768,1
2,10.098,9.988,1
3,9.73,9.91,1
4,9.754,10.43,1
5,9.836,9.902,1
6,10.238,9.866,1
7,9.53,9.862,1
8,10.154,9.82,1
9,9.336,10.456,1
10,9.378,10.21,1
11,9.712,10.264,1
12,9.638,10.208,1
13,9.518,9.956,1
14,10.236,9.91,1
15,9.4,10.086,1
16,10.196,9.746,1
17,10.138,9.828,1
18,10.062,10.26,1
19,10.394,9.984,1
20,10.284,10.348,1
21,9.706,9.978,1
22,9.906,10.588,1
23,10.356,9.198,1
24,9.954,9.704,1
25,9.796,10.378,1
26,10.386,10.608,1
27,10.41,9.912,1
28,10.172,10.598,1
29,10.286,9.712,1
30,9.932,10.234,1
31,10.298,9.948,1
32,10.352,9.932,1
33,9.848,10.328,1
34,10.514,10.498,1
35,9.944,9.934,1
36,9.92,10.022,1
37,9.908,10.606,1
38,10.182,9.99,1
39,10.256,9.25,1
40,12.04,10.028,2
41,12.082,10.044,2
42,12.4,10.156,2
43,11.988,9.926,2
44,12.34,9.918,2
45,12.228,9.978,2
46,12.348,10.488,2
47,12.044,9.358,2
48,11.736,10.122,2
49,12.35,9.798,2
50,11.246,10.122,2
51,12.276,10.99,2
52,12.374,10.018,2
53,12.53,10.0,2
54,12.27,9.792,2
55,12.364,10.176,2
56,12.458,10.18,2
57,11.952,9.682,2
58,11.772,9.924,2
59,11.502,10.008,2
60,12.134,9.482,2
61,11.628,10.286,2
62,12.064,9.616,2
63,11.906,9.82,2
64,11.736,10.29,2
65,12.114,10.904,2
66,11.59,9.712,2
67,12.648,9.814,2
68,12.164,11.018,2
69,12.22,9.796,2
70,11.846,9.634,2
71,11.808,10.058,2
72,12.096,9.846,2
73,11.594,10.078,2
74,12.252,9.938,2
75,11.998,9.676,2
76,11.894,10.012,2
77,12.274,9.936,2
78,12.176,10.364,2
79,12.104,10.388,2
80,11.372,11.466,3
81,10.94,11.482,3
82,11.084,11.554,3
83,11.232,11.374,3
84,11.22,11.64,3
85,10.962,11.75,3
86,11.014,11.746,3
87,11.524,10.982,3
88,11.012,11.364,3
89,11.2,11.062,3
90,11.626,11.894,3
91,11.23,11.728,3
92,11.144,11.91,3
93,11.106,11.868,3
94,11.53,11.918,3
95,11.21,11.114,3
96,10.746,11.702,3
97,11.154,11.692,3
98,11.412,11.924,3
99,10.948,11.532,3
100,10.988,12.298,3
101,10.96,11.392,3
102,11.656,11.346,3
103,11.178,12.062,3
104,11.368,11.56,3
105,11.264,11.724,3
106,11.554,11.576,3
107,10.974,11.114,3
108,11.12,11.634,3
109,11.51,12.052,3
110,10.95,11.402,3
111,11.864,12.406,3
112,11.198,10.854,3
113,11.65,11.496,3
114,11.248,11.722,3
115,11.602,11.888,3
116,11.424,11.454,3
117,11.312,11.718,3
118,10.736,11.68,3
119,11.56,11.798,3
120,10.028,12.268,4
121,9.282,11.976,4
122,9.178,11.53,4
123,9.954,12.398,4
124,9.622,11.558,4
125,9.914,11.844,4
126,9.07,11.092,4
127,10.578,11.354,4
128,9.582,12.14,4
129,9.622,11.528,4
130,9.35,11.71,4
131,10.234,11.974,4
132,8.986,12.31,4
133,9.438,12.11,4
134,9.592,12.012,4
135,9.666,11.88,4
136,9.364,12.012,4
137,9.71,11.772,4
138,9.992,11.836,4
139,9.916,12.028,4
140,9.382,12.226,4
141,9.808,12.23,4
142,9.272,12.152,4
143,9.392,11.18,4
144,9.28,11.976,4
145,9.848,11.632,4
146,9.322,11.514,4
147,9.718,11.95,4
148,9.12,11.76,4
149,8.978,12.37,4
150,10.072,12.202,4
151,9.966,11.822,4
152,9.506,11.648,4
153,9.702,11.536,4
154,9.45,11.96,4
155,9.916,11.962,4
156,9.96,11.538,4
157,9.014,11.744,4
158,9.024,11.846,4
159,10.296,11.61,4
160,7.87,10.838,5
161,8.164,10.534,5
162,8.214,10.62,5
163,8.166,10.698,5
164,8.05,10.746,5
165,7.978,11.13,5
166,8.08,10.992,5
167,8.472,11.082,5
168,8.494,10.584,5
169,8.354,10.38,5
170,8.096,10.714,5
