,x,y,class
0,43.0,377.0,0.0
1,31.0,346.0,0.0
2,36.0,370.0,0.0
3,30.0,356.0,0.0
4,39.0,366.0,0.0
5,47.0,371.0,0.0
6,31.0,343.0,0.0
7,40.0,356.0,0.0
8,21.0,372.0,0.0
9,34.0,400.0,0.0
10,31.0,393.0,0.0
11,27.0,385.0,0.0
12,56.0,369.0,0.0
13,53.0,356.0,0.0
14,47.0,342.0,0.0
15,55.0,363.0,0.0
16,38.0,346.0,0.0
17,37.0,345.0,0.0
18,48.0,380.0,0.0
19,5.0,364.0,0.0
20,24.0,376.0,0.0
21,54.0,377.0,0.0
22,55.0,358.0,0.0
23,37.0,375.0,0.0
24,35.0,357.0,0.0
25,48.0,366.0,0.0
26,36.0,376.0,0.0
27,27.0,382.0,0.0
28,59.0,402.0,0.0
29,51.0,376.0,0.0
30,44.0,350.0,0.0
31,45.0,365.0,0.0
32,53.0,369.0,0.0
33,59.0,358.0,0.0
34,53.0,360.0,0.0
35,49.0,377.0,0.0
36,47.0,352.0,0.0
37,41.0,345.0,0.0
38,14.0,408.0,0.0
39,38.0,370.0,0.0
40,41.0,343.0,0.0
41,56.0,355.0,0.0
42,29.0,335.0,0.0
43,28.0,374.0,0.0
44,41.0,350.0,0.0
45,29.0,383.0,0.0
46,38.0,391.0,0.0
47,40.0,370.0,0.0
48,73.0,372.0,0.0
49,23.0,412.0,0.0
50,37.0,353.0,0.0
51,27.0,365.0,0.0
52,25.0,371.0,0.0
53,26.0,363.0,0.0
54,51.0,369.0,0.0
55,44.0,386.0,0.0
56,56.0,383.0,0.0
57,50.0,364.0,0.0
58,35.0,380.0,0.0
59,11.0,370.0,0.0
60,41.0,357.0,0.0
61,26.0,400.0,0.0
62,52.0,370.0,0.0
63,38.0,378.0,0.0
64,41.0,380.0,0.0
65,61.0,361.0,0.0
66,34.0,369.0,0.0
67,47.0,389.0,0.0
68,42.0,363.0,0.0
69,28.0,384.0,0.0
70,50.0,379.0,0.0
71,52.0,392.0,0.0
72,33.0,341.0,0.0
73,42.0,391.0,0.0
74,59.0,369.0,0.0
75,47.0,373.0,0.0
76,54.0,381.0,0.0
77,49.0,393.0,0.0
78,34.0,382.0,0.0
79,68.0,378.0,0.0
80,56.0,385.0,0.0
81,46.0,350.0,0.0
82,43.0,394.0,0.0
83,29.0,366.0,0.0
84,45.0,405.0,0.0
85,49.0,357.0,0.0
86,42.0,354.0,0.0
87,31.0,362.0,0.0
88,43.0,381.0,0.0
89,50.0,367.0,0.0
90,49.0,407.0,0.0
91,18.0,393.0,0.0
92,63.0,385.0,0.0
93,41.0,355.0,0.0
94,28.0,412.0,0.0
95,38.0,352.0,0.0
96,65.0,397.0,0.0
97,22.0,341.0,0.0
98,48.0,394.0,0.0
99,57.0,402.0,0.0
100,36.0,374.0,0.0
101,49.0,386.0,0.0
102,46.0,398.0,0.0
103,43.0,377.0,0.0
104,30.0,363.0,0.0
105,59.0,391.0,0.0
106,40.0,390.0,0.0
107,63.0,362.0,0.0
108,54.0,368.0,0.0
109,45.0,397.0,0.0
110,59.0,418.0,0.0
111,44.0,389.0,0.0
112,39.0,392.0,0.0
113,66.0,396.0,0.0
114,39.0,378.0,0.0
115,75.0,418.0,0.0
116,21.0,388.0,0.0
117,23.0,407.0,0.0
118,33.0,379.0,0.0
119,35.0,380.0,0.0
120,46.0,425.0,0.0
121,18.0,380.0,0.0
122,44.0,364.0,0.0
123,71.0,371.0,0.0
124,60.0,394.0,0.0
125,42.0,418.0,0.0
126,52.0,377.0,0.0
127,51.0,425.0,0.0
128,60.0,404.0,0.0
129,46.0,399.0,0.0
130,30.0,375.0,0.0
131,60.0,386.0,0.0
132,27.0,378.0,0.0
133,28.0,397.0,0.0
134,42.0,396.0,0.0
135,39.0,411.0,0.0
136,36.0,402.0,0.0
137,26.0,397.0,0.0
138,30.0,428.0,0.0
139,45.0,387.0,0.0
140,38.0,371.0,0.0
141,31.0,396.0,0.0
142,37.0,386.0,0.0
143,59.0,406.0,0.0
144,53.0,375.0,0.0
145,55.0,394.0,0.0
146,55.0,421.0,0.0
147,46.0,409.0,0.0
148,54.0,443.0,0.0
149,34.0,440.0,0.0
150,45.0,383.0,0.0
151,42.0,433.0,0.0
152,30.0,424.0,0.0
153,32.0,431.0,0.0
154,49.0,409.0,0.0
155,51.0,414.0,0.0
156,38.0,377.0,0.0
157,44.0,397.0,0.0
158,51.0,412.0,0.0
159,28.0,413.0,0.0
160,58.0,405.0,0.0
161,51.0,428.0,0.0
162,46.0,409.0,0.0
163,31.0,395.0,0.0
164,42.0,454.0,0.0
165,29.0,416.0,0.0
166,52.0,416.0,0.0
167,53.0,437.0,0.0
168,37.0,409.0,0.0
169,41.0,408.0,0.0
170,67.0,426.0,0.0
171,45.0,400.0,0.0
172,43.0,424.0,0.0
173,38.0,456.0,0.0
174,36.0,434.0,0.0
175,41.0,416.0,0.0
176,35.0,403.0,0.0
177,45.0,407.0,0.0
178,25.0,439.0,0.0
179,31.0,390.0,0.0
180,35.0,407.0,0.0
181,52.0,415.0,0.0
182,53.0,373.0,0.0
183,28.0,426.0,0.0
184,38.0,399.0,0.0
185,24.0,393.0,0.0
186,33.0,408.0,0.0
187,67.0,441.0,0.0
188,36.0,465.0,0.0
189,51.0,400.0,0.0
190,33.0,428.0,0.0
191,55.0,409.0,0.0
192,44.0,430.0,0.0
193,25.0,388.0,0.0
194,43.0,433.0,0.0
195,35.0,446.0,0.0
196,40.0,416.0,0.0
197,38.0,426.0,0.0
198,26.0,421.0,0.0
199,26.0,412.0,0.0
200,27.0,420.0,0.0
201,45.0,389.0,0.0
202,74.0,445.0,0.0
203,62.0,413.0,0.0
204,23.0,443.0,0.0
205,33.0,448.0,0.0
206,23.0,459.0,0.0
207,33.0,420.0,0.0
208,41.0,371.0,0.0
209,26.0,440.0,0.0
210,33.0,418.0,0.0
211,34.0,421.0,0.0
212,52.0,444.0,0.0
213,28.0,427.0,0.0
214,30.0,432.0,0.0
215,33.0,428.0,0.0
216,59.0,410.0,0.0
217,36.0,417.0,0.0
218,55.0,427.0,0.0
219,31.0,431.0,0.0
220,46.0,456.0,0.0
221,39.0,458.0,0.0
222,57.0,413.0,0.0
223,76.0,460.0,0.0
224,58.0,445.0,0.0
225,51.0,427.0,0.0
226,32.0,457.0,0.0
227,28.0,438.0,0.0
228,38.0,403.0,0.0
229,37.0,398.0,0.0
230,37.0,433.0,0.0
231,37.0,438.0,0.0
232,36.0,426.0,0.0
233,24.0,429.0,0.0
234,3.0,449.0,0.0
235,46.0,400.0,0.0
236,37.0,455.0,0.0
237,25.0,466.0,0.0
238,33.0,415.0,0.0
239,33.0,441.0,0.0
240,26.0,431.0,0.0
241,43.0,430.0,0.0
242,4.0,455.0,0.0
243,36.0,437.0,0.0
244,38.0,425.0,0.0
245,64.0,459.0,0.0
246,34.0,424.0,0.0
247,60.0,455.0,0.0
248,27.0,447.0,0.0
249,9.0,413.0,0.0
250,38.0,412.0,0.0
251,24.0,463.0,0.0
252,48.0,430.0,0.0
253,35.0,443.0,0.0
254,51.0,417.0,0.0
255,37.0,473.0,0.0
256,61.0,429.0,0.0
257,40.0,444.0,0.0
258,21.0,395.0,0.0
259,39.0,454.0,0.0
260,22.0,422.0,0.0
261,30.0,447.0,0.0
262,41.0,452.0,0.0
263,13.0,423.0,0.0
264,34.0,453.0,0.0
265,30.0,460.0,0.0
266,14.0,453.0,0.0
267,31.0,435.0,0.0
268,54.0,443.0,0.0
269,20.0,444.0,0.0
270,27.0,447.0,0.0
271,36.0,423.0,0.0
272,60.0,436.0,0.0
273,24.0,447.0,0.0
274,40.0,453.0,0.0
275,12.0,401.0,0.0
276,30.0,439.0,0.0
277,19.0,453.0,0.0
278,29.0,423.0,0.0
279,18.0,452.0,0.0
280,39.0,474.0,0.0
281,52.0,464.0,0.0
282,41.0,469.0,0.0
283,70.0,455.0,0.0
284,21.0,434.0,0.0
285,47.0,434.0,0.0
286,36.0,427.0,0.0
287,22.0,445.0,0.0
288,52.0,461.0,0.0
289,37.0,462.0,0.0
290,28.0,446.0,0.0
291,23.0,431.0,0.0
292,38.0,479.0,0.0
293,35.0,460.0,0.0
294,35.0,457.0,0.0
295,15.0,481.0,0.0
296,26.0,459.0,0.0
297,46.0,425.0,0.0
298,39.0,448.0,0.0
299,42.0,479.0,0.0
300,21.0,424.0,0.0
301,22.0,473.0,0.0
