,x,y,class
0,-0.1584552736,0.525841496,1
1,-0.8893322079,0.7873871517,2
2,-0.9175817803,-0.0128405746,2
3,0.0072217691,-0.6884298264,1
4,0.9545450881,0.2373079644,2
5,0.5432475661,0.1147152972,1
6,-0.1773290909,-0.8354510963,2
7,0.978337083,-0.0903340294,2
8,0.734986451,0.1867268765,1
9,-0.5360895577,0.6417670171,2
10,-0.6647719722,0.589072444,2
11,0.331461017,-0.4053909704,1
12,-0.7776894132,-0.8353567407,2
13,-0.8953186506,0.8694784753,2
14,-0.3365742997,-0.149483386,1
15,-0.3674599328,0.4486957425,1
16,0.0806732154,-0.7672634153,1
17,-0.4657338914,0.6721745287,2
18,-0.1881574597,0.3426909321,1
19,0.2925837473,0.3834044435,1
20,-0.9537784252,0.4783849381,2
21,-0.989598732,-0.4861229155,2
22,-0.6906265449,0.5348384045,2
23,-0.5887597608,-0.7166629657,2
24,0.5196146164,0.6014347663,1
25,0.4913410451,-0.3542708806,1
26,-0.4632900208,-0.6243000766,1
27,0.9492946072,-0.8867121981,2
28,-0.3644460239,0.6099613449,1
29,0.9558445415,0.3897544476,2
30,-0.9406261146,0.4051566757,2
31,-0.5324094724,-0.4171942729,1
32,-0.3838899541,-0.1001604809,1
33,0.8028563699,-0.3767822166,2
34,-0.8324204427,-0.4245355632,2
35,0.8569239448,0.8541191942,2
36,0.7052518534,0.6179752965,2
37,-0.5628862507,0.765999781,2
38,-0.6377393478,0.3139009424,1
39,0.2177836872,-0.4384908089,1
40,0.0977849416,0.3542706002,1
41,-0.7201860906,0.4046188029,2
42,0.5156644131,-0.87703308,2
43,-0.9640503074,-0.0247175819,2
44,-0.1197144561,0.6764411083,1
45,0.6233383804,-0.2704649339,1
46,-0.486144504,0.8836955577,2
47,-0.726926398,-0.193480337,1
48,0.8568920549,-0.7240422689,2
49,0.9635130507,-0.3494646009,2
50,-0.2223884547,0.629938642,1
51,-0.4631574764,0.6780316103,2
52,-0.2715402548,-0.7411481254,1
53,-0.3138495409,0.7776237838,2
54,-0.7018654454,0.4977294081,2
55,0.7451022193,0.1381415958,1
56,-0.4472194416,-0.3678659722,1
57,0.2916647089,0.4924822911,1
58,0.7836430077,0.6141625037,2
59,0.7073874027,-0.2106866185,1
60,-0.5839453838,-0.5474101333,2
61,0.9359918609,-0.3656559302,2
62,-0.0147765996,0.8512436356,2
63,0.1891599502,0.5947597367,1
64,0.6871343781,0.5692025465,2
65,0.4456242933,0.5559668788,1
66,0.4747294462,-0.5878709485,1
67,-0.2245220989,-0.014752584,1
68,0.0861676824,0.488897867,1
69,0.6063416279,-0.9031131133,2
70,0.6741069173,-0.913440851,2
71,-0.0635783356,0.6001844271,1
72,-0.8310635607,-0.3440247197,2
73,0.3929275325,-0.9497893206,2
74,0.2554110331,-0.2211612011,1
75,-0.4701108322,0.9796740259,2
76,-0.6624334091,-0.183985197,1
77,-0.2838488743,-0.4278355232,1
