,x,y,class
0,121.561996,81.001999,0
1,762.096985,70.461998,1
2,127.569,113.457001,0
3,95.467003,116.822998,0
4,652.234009,60.743,2
5,324.015991,91.058998,3
6,639.747986,109.970001,2
7,360.282013,38.381001,3
8,306.850006,71.127998,3
9,484.187012,87.379997,4
10,393.657013,84.093002,3
11,506.434998,122.746002,4
12,112.581001,19.120001,3
13,228.705002,74.679001,5
14,649.466003,77.259003,2
15,768.130005,109.450996,1
16,747.573975,84.311996,1
17,775.633972,78.057999,1
18,241.565002,83.218002,5
19,682.984985,77.012001,3
20,577.830994,106.556999,2
21,253.660995,77.766998,5
22,64.115997,94.832001,0
23,55.554001,77.417,0
24,548.424011,67.278999,3
25,733.078003,83.186996,1
26,310.682007,80.522003,3
27,745.864014,142.261002,3
28,290.442993,155.729996,3
29,598.054016,106.678001,2
30,87.004997,36.759998,0
31,639.640991,46.352001,2
32,119.848,119.064003,0
33,60.721001,116.612999,0
34,722.375,48.498001,1
35,691.05603,77.653,3
36,635.617004,104.271004,2
37,725.528015,89.980003,1
38,510.291992,66.658997,4
39,619.107971,126.945999,2
40,611.562988,121.912003,2
41,312.51001,81.755997,3
42,640.291016,99.178001,2
43,373.234985,45.612999,3
44,375.992004,91.449997,3
45,232.694,109.503998,5
46,605.695007,33.347,2
47,624.91803,76.685997,2
48,463.015991,70.754997,4
49,292.125,55.312,3
50,521.155029,65.891998,4
51,748.950012,118.772003,1
52,627.442993,148.744003,3
53,319.139008,114.913002,3
54,374.606995,90.989998,3
55,473.226013,86.073997,4
56,460.148987,87.914001,4
57,589.187012,41.852001,2
58,66.552002,102.445,0
59,428.223999,81.871002,3
60,719.450989,41.173,1
61,643.057007,88.280998,2
62,319.290985,114.130997,3
63,552.572021,91.389,3
64,372.127014,101.216003,3
65,219.613007,124.125999,5
66,305.470001,75.464996,3
67,190.897995,63.881001,5
68,669.844971,77.023003,3
69,747.578003,82.941002,1
70,612.718018,127.416,2
71,650.607971,85.202003,2
72,562.491028,77.732002,3
73,99.407997,123.476997,0
74,373.578003,47.561001,3
75,119.271004,41.755001,0
76,320.598999,102.574997,3
77,473.028015,97.907997,3
78,386.785004,61.125999,3
79,43.040001,145.251007,3
80,730.557983,89.420998,1
81,392.695007,89.742996,3
82,315.665985,79.015999,3
83,714.502991,103.897003,1
84,72.172997,36.658001,0
85,742.702026,44.07,1
86,232.733002,85.996002,5
87,589.484985,28.806999,3
88,510.835999,114.318001,4
89,458.40799,95.913002,4
90,544.504028,32.652,3
91,358.075012,35.200001,3
92,641.109009,97.644997,2
93,271.841003,76.975998,3
94,686.612,37.124001,3
95,451.606995,119.617996,4
96,597.505981,111.469002,2
97,506.488007,45.852001,4
98,191.632996,73.132004,5
99,220.776993,113.158997,5
100,594.893982,104.123001,2
101,507.376007,103.654999,4
102,342.789001,34.183998,3
103,223.962997,84.974998,5
104,74.682999,77.225998,3
105,50.952999,91.820999,0
106,641.02301,116.862999,2
107,687.879028,76.602997,3
108,447.983002,61.563999,4
109,195.001007,49.942001,5
110,637.169983,56.174999,2
111,107.400002,94.708,3
112,124.691002,88.194,0
113,286.438995,147.785995,3
114,79.572998,124.060997,0
115,516.916016,75.572998,4
116,93.746002,90.277,0
117,182.621002,154.496002,3
118,187.882004,94.653999,5
119,166.625,141.270004,3
120,776.242981,123.374001,1
121,651.09198,111.934998,2
122,372.493011,54.273998,3
123,372.528015,122.831001,3
124,520.409973,60.632,4
125,477.234985,35.341999,4
126,367.325012,148.106995,3
127,611.195984,40.414001,2
128,206.240005,76.779999,5
129,599.150024,114.672997,2
130,450.311005,123.221001,4
131,102.848,76.717003,0
132,620.140991,42.645,2
133,260.604004,75.376999,3
134,197.102005,38.658001,5
135,241.089996,83.378998,5
136,458.634003,51.484001,4
137,634.554993,121.371002,2
138,332.700012,116.450996,3
139,486.208008,39.754002,4
140,235.893005,82.325996,5
141,110.369003,35.653,0
142,305.644012,82.112,3
143,718.070984,109.137001,1
144,317.049011,71.785004,3
145,188.914001,90.891998,5
146,341.95401,113.425003,3
147,48.502998,96.016998,0
148,604.322021,109.995003,2
149,636.380981,38.622002,2
150,527.085999,135.666,3
151,69.582001,43.792,0
152,335.645996,33.296001,3
153,248.576004,76.853996,5
154,141.582993,68.907997,3
155,498.319,38.799999,4
156,457.346985,98.192001,4
157,658.244019,109.745003,2
158,459.993011,33.548,4
159,460.234009,33.227001,4
160,245.024002,49.400002,5
161,346.335999,44.568001,3
162,376.609009,90.900002,3
163,94.543999,121.655998,0
164,644.026001,71.632004,3
165,714.637024,122.553001,1
166,430.699005,127.126999,3
167,741.916016,78.759003,1
168,513.549988,95.879997,4
169,225.423996,36.782001,5
170,55.263,111.043999,0
171,493.289001,36.257,4
172,68.233002,119.808998,0
173,146.214005,63.529999,3
174,233.895996,123.693001,5
175,478.216003,88.043999,4
176,120.879997,91.778999,0
177,717.382996,94.103996,1
178,732.570984,48.646999,1
179,779.166992,37.557999,1
180,339.597992,33.405998,3
181,488.567993,107.682999,3
182,459.346008,61.339001,4
183,593.408997,65.935997,2
184,720.16803,48.491001,1
185,77.405998,123.671997,0
186,195.647995,96.322998,5
187,82.730003,124.036003,0
188,282.707001,77.032997,3
189,381.621002,53.877998,3
190,354.424988,31.01,3
191,456.967987,53.887001,4
192,384.653015,48.089001,3
193,588.317017,58.639,2
194,112.978996,81.394997,0
195,200.477997,120.681,5
196,29.712,141.990005,3
197,642.692993,43.034,2
198,486.373993,80.212997,4
199,515.658997,69.102997,4
200,636.481995,51.926998,2
201,587.796021,85.054001,2
202,510.266998,104.704002,4
203,778.062988,114.960999,1
204,423.18399,24.643,3
205,767.116028,85.416,1
206,461.837006,119.569,4
207,758.236023,49.355999,1
208,72.792,76.675003,3
209,530.013,13.297,3
210,320.278992,140.518005,3
211,508.720001,57.502998,4
212,249.076996,40.504002,5
213,72.396004,112.041,0
214,74.106003,45.66,0
215,516.254028,45.93,4
216,623.921997,84.581001,2
217,440.533997,113.839996,3
218,456.123993,44.028,4
219,375.730011,66.107002,3
220,317.127991,75.265999,3
221,745.804993,79.991997,1
222,604.692993,122.417,2
223,59.950001,60.261002,0
224,56.124001,45.519001,0
225,623.828979,44.862,2
226,254.873993,43.712002,3
227,354.355011,115.925003,3
228,629.955017,82.207001,2
229,121.353996,44.779999,0
230,380.589996,56.901001,3
