,x,y,class
0,563.225,56.748,0
1,564.887,58.119,0
2,565.434,68.061,0
3,565.926,79.953,0
4,566.762,69.405,0
5,567.99,81.669,0
6,569.194,62.483,0
7,569.791,55.458,0
8,570.576,73.136,0
9,572.167,73.306,0
10,573.101,47.248,0
11,573.649,88.769,0
12,575.847,55.477,0
13,576.019,55.179,0
14,576.686,66.819,0
15,577.379,44.799,0
16,577.513,51.055,0
17,578.727,80.574,0
18,579.476,39.921,0
19,580.633,44.737,0
20,581.278,65.616,0
21,582.023,54.002,0
22,583.593,76.708,0
23,583.796,79.86,0
24,584.366,53.483,0
25,586.459,59.779,0
26,587.023,85.774,0
27,587.679,71.899,0
28,588.232,39.995,0
29,588.672,51.99,0
30,589.312,38.724,0
31,591.027,44.019,0
32,591.4,91.172,0
33,592.217,89.381,0
34,593.16,66.805,0
35,594.063,66.893,0
36,594.76,74.765,0
37,595.356,80.827,0
38,595.79,75.361,0
39,596.355,83.586,0
40,596.668,86.122,0
41,598.529,58.733,0
42,599.626,59.223,0
43,600.848,85.828,0
44,601.795,80.356,0
45,602.177,43.649,0
46,603.088,68.333,0
47,604.009,86.323,0
48,605.044,65.636,0
49,605.162,87.564,0
50,605.689,81.98,0
51,606.666,65.305,0
52,609.273,46.702,0
53,609.805,79.983,0
54,610.426,66.076,0
55,611.214,67.693,0
56,612.12,50.623,0
57,612.611,80.34,0
58,615.622,67.058,0
59,616.511,69.774,0
60,185.148,187.84,1
61,186.379,210.891,1
62,190.146,203.939,1
63,192.725,200.574,1
64,193.58,191.945,1
65,196.524,209.577,1
66,198.153,194.02,1
67,199.639,189.935,1
68,200.871,193.293,1
69,202.992,198.882,1
70,206.631,195.446,1
71,208.041,192.715,1
72,209.812,189.853,1
73,211.981,200.95,1
74,214.217,207.195,1
75,216.775,196.353,1
76,218.926,212.944,1
77,220.754,190.068,1
78,221.351,191.195,1
79,222.246,185.421,1
80,223.856,211.078,1
81,224.959,201.679,1
82,226.243,191.191,1
83,227.497,199.323,1
84,232.63,208.815,1
85,233.817,198.346,1
86,236.097,201.321,1
87,241.224,206.679,1
88,242.439,191.389,1
89,244.763,189.957,1
90,245.674,206.491,1
91,247.434,208.13,1
92,249.004,200.664,1
93,249.977,198.39,1
94,250.814,208.034,1
95,253.545,215.389,1
96,256.788,192.156,1
97,257.962,208.085,1
98,260.626,210.016,1
99,264.383,201.5,1
100,265.424,194.869,1
101,267.976,208.111,1
102,272.218,187.568,1
103,275.199,196.881,1
104,281.512,193.436,1
105,282.56,198.533,1
106,283.104,202.56,1
107,284.464,215.55,1
108,286.95,198.506,1
109,288.923,213.113,1
110,289.933,208.837,1
111,290.501,200.067,1
112,292.782,209.527,1
113,295.307,185.377,1
114,296.686,208.971,1
115,300.462,210.472,1
116,301.987,213.201,1
117,303.553,213.944,1
118,13.354,264.529,2
119,16.103,255.247,2
120,17.339,249.372,2
121,18.137,258.655,2
122,19.608,265.248,2
123,21.247,262.794,2
124,22.098,281.747,2
125,22.758,242.831,2
126,23.345,251.326,2
127,23.635,245.377,2
128,24.691,273.256,2
129,26.117,244.136,2
130,27.203,257.622,2
131,28.94,244.752,2
132,29.936,234.543,2
133,30.809,233.232,2
134,31.169,284.702,2
135,32.489,266.777,2
136,32.93,271.838,2
137,33.591,283.933,2
138,33.773,281.922,2
139,34.513,276.181,2
140,34.652,252.158,2
141,35.524,243.571,2
142,35.876,243.583,2
143,37.343,233.625,2
144,38.62,246.751,2
145,40.455,255.385,2
146,41.524,284.287,2
147,42.817,248.056,2
148,44.067,281.238,2
149,45.476,271.387,2
150,46.187,286.244,2
151,47.739,252.702,2
152,48.338,258.763,2
153,48.994,234.513,2
154,49.857,253.511,2
155,50.245,237.932,2
156,50.976,267.189,2
157,51.328,270.145,2
158,51.66,262.632,2
159,53.837,292.781,2
160,54.617,291.696,2
161,54.983,230.195,2
162,55.211,290.125,2
163,56.785,252.76,2
164,58.204,276.242,2
165,59.035,272.023,2
166,59.624,282.485,2
167,60.396,231.942,2
168,61.014,242.437,2
169,61.448,245.848,2
170,62.185,263.182,2
171,62.725,245.593,2
172,63.76,274.755,2
173,64.487,237.96,2
174,64.713,252.737,2
175,65.05,227.462,2
176,65.823,290.489,2
177,66.296,267.64,2
178,67.832,281.385,2
179,68.888,226.002,2
180,69.967,246.5,2
181,70.286,260.492,2
182,71.834,228.468,2
183,72.206,243.232,2
184,72.789,287.178,2
185,73.157,293.775,2
186,73.85,264.688,2
187,74.708,264.807,2
188,75.394,254.897,2
189,76.311,243.142,2
190,76.972,287.451,2
191,77.989,230.004,2
192,78.233,266.766,2
193,78.502,237.794,2
194,79.202,287.122,2
195,79.272,242.156,2
196,79.722,264.361,2
197,80.199,298.082,2
198,81.069,261.888,2
199,81.534,276.974,2
200,81.913,237.585,2
201,83.034,247.402,2
202,83.679,240.902,2
203,83.855,297.607,2
204,84.888,253.396,2
205,85.499,236.795,2
206,86.941,232.489,2
207,87.406,299.783,2
208,88.392,237.048,2
209,88.701,250.651,2
210,88.982,299.489,2
211,89.319,226.7,2
212,90.41,257.448,2
213,90.58,231.072,2
214,91.23,262.604,2
215,92.209,222.15,2
216,92.786,227.418,2
217,93.554,293.737,2
218,93.768,293.591,2
219,94.697,258.708,2
220,95.536,237.686,2
221,96.182,228.088,2
222,96.715,223.257,2
223,97.527,273.821,2
224,97.685,278.438,2
225,98.38,284.748,2
226,99.108,296.813,2
227,99.767,224.9,2
228,100.165,222.073,2
229,100.778,278.911,2
230,101.931,266.622,2
231,102.84,240.178,2
232,103.131,239.699,2
233,103.347,251.559,2
234,103.919,268.385,2
235,104.593,279.342,2
236,104.851,266.407,2
237,105.187,268.4,2
238,105.396,267.244,2
239,105.877,248.509,2
240,106.187,280.048,2
241,106.267,221.253,2
242,106.699,250.833,2
243,107.251,233.71,2
244,107.427,264.254,2
245,107.743,239.853,2
246,108.98,262.284,2
247,109.713,272.873,2
248,109.967,298.248,2
249,110.534,224.346,2
250,110.823,229.572,2
251,111.309,226.288,2
252,111.731,278.228,2
253,113.107,268.624,2
254,113.726,289.755,2
255,113.971,233.849,2
256,114.502,226.788,2
257,114.867,299.812,2
258,115.386,274.375,2
259,116.25,285.816,2
260,116.901,239.932,2
261,117.588,279.468,2
262,117.808,296.526,2
263,117.991,296.388,2
264,118.793,226.169,2
265,119.412,292.521,2
266,119.916,279.182,2
267,120.435,281.88,2
268,121.329,271.627,2
269,122.254,274.67,2
270,122.962,272.851,2
271,123.476,263.763,2
272,123.817,290.177,2
273,124.895,225.312,2
274,125.876,237.528,2
275,126.299,248.847,2
276,127.881,277.424,2
277,128.782,258.494,2
278,129.474,259.443,2
279,129.986,263.765,2
280,130.248,254.418,2
281,130.953,288.629,2
282,132.874,236.928,2
283,133.637,287.142,2
284,134.173,262.139,2
285,135.02,242.398,2
286,135.631,288.789,2
287,136.99,279.42,2
288,137.468,248.605,2
289,138.208,250.879,2
290,139.394,251.962,2
291,140.295,288.066,2
292,140.989,255.222,2
293,141.315,270.173,2
294,141.852,235.406,2
295,142.609,245.018,2
296,143.009,238.399,2
297,143.719,276.511,2
298,144.26,231.112,2
299,145.175,256.033,2
300,145.439,275.743,2
301,145.89,252.356,2
302,146.859,269.907,2
303,147.058,258.492,2
304,147.155,235.835,2
305,147.203,236.173,2
306,148.38,258.14,2
307,149.106,257.056,2
308,149.431,255.84,2
309,150.654,287.67,2
310,151.7,255.743,2
311,152.675,261.621,2
