,x,y,z,class
0,0.2879883684,0.9822007461,0.7704912612,1
1,0.3641037794,0.7838999255,0.9295960217,1
2,0.5193094776,0.7859589314,0.8900013182,1
3,0.4057092168,0.9052338219,0.8360648726,1
4,0.1244934578,0.9567129919,0.9007867163,1
5,0.3052759608,0.8460619275,0.8244228271,1
6,0.3177433445,0.7511925687,0.8436319386,1
7,0.4826061958,0.7582144133,0.9786560111,1
8,0.0619281265,0.7969327057,0.9959058573,1
9,0.4444691159,0.8437332406,0.9952480937,1
10,0.1768552072,0.8483483755,0.9495360412,1
11,0.5791280968,0.8647889462,0.8151654056,1
12,0.6161618228,0.9921292655,0.886313103,1
13,0.2380379145,0.8028891675,0.7609452255,1
14,0.6378911785,0.8297633177,0.9927431598,1
15,0.9104522343,0.972901937,0.8654326788,1
16,0.8502344373,0.8691314408,0.8222902187,1
17,0.7928788743,0.8645232034,0.8261005268,1
18,0.6711485717,0.8426838735,0.8628362804,1
19,0.7487968057,0.8549470133,0.8469559976,1
20,0.1202097577,0.8222295282,0.94809323,1
21,0.9749812281,0.7586693788,0.908208373,1
22,0.3512126685,0.7668892304,0.8341262956,1
23,0.2610681071,0.8657224055,0.778958267,1
24,0.1045476755,0.868175817,0.919053853,1
25,0.8734905121,0.7562641608,0.8935360654,1
26,0.9626796308,0.7707775685,0.7842329768,1
27,0.1597907734,0.985287512,0.8531656188,1
28,0.811152824,0.7629577577,0.9815901638,1
29,0.5310773,0.7920924912,0.9294300174,1
30,0.3795820763,0.7988600165,0.8585302894,1
31,0.2680680009,0.8528443352,0.9127375371,1
32,0.8344686793,0.8894036391,0.8689859856,1
33,0.0420017049,0.8235630117,0.8376046729,1
34,0.7004414913,0.8733475422,0.9923411835,1
35,0.7781701528,0.9225743907,0.9330694957,1
36,0.0750694268,0.8214682127,0.8983604754,1
37,0.1448748955,0.8412187599,0.977516142,1
38,0.7719001081,0.9763532184,0.9828345592,1
39,0.4929918724,0.7651576132,0.8901847667,1
40,0.7248908987,0.9780313868,0.9439551794,1
41,0.2290821627,0.9128316089,0.9689221218,1
42,0.1040507169,0.9547632402,0.7853290084,1
43,0.3335760715,0.9714001992,0.8517545381,1
44,0.7289059504,0.8776078916,0.9314159598,1
45,0.1756481717,0.849206753,0.9347761666,1
46,0.5865972678,0.9486217865,0.8014965244,1
47,0.8993188532,0.9249899773,0.8701634799,1
48,0.0197939642,0.9532362881,0.8990634282,1
49,0.0066820732,0.7608251099,0.9672275669,1
50,0.1344651808,0.9957511518,0.8832217481,1
51,0.8837029075,0.8468392246,0.7623607192,1
52,0.8241261037,0.9001373954,0.790576117,1
53,0.6082148682,0.7822896679,0.9474103927,1
54,0.845643366,0.9126618666,0.9131528029,1
55,0.2283771071,0.7701592154,0.7502253472,1
56,0.6809791005,0.7669091421,0.9596738494,1
57,0.6623917643,0.9431392907,0.8732730094,1
58,0.6287424662,0.8540966559,0.9207844269,1
59,0.9777856765,0.8177988642,0.9358858949,1
60,0.0344993768,0.9778902681,0.9299317148,1
61,0.3114453256,0.9514652465,0.8006391738,1
62,0.0856773367,0.8814839501,0.8248788823,1
63,0.3804773078,0.7854031433,0.7597468866,1
64,0.3393212182,0.9083348106,0.9152878445,1
65,0.5462512868,0.9774552931,0.7732667731,1
66,0.7480847945,0.7681676972,0.8781378252,1
67,0.8209165772,0.8895016328,0.8283551504,1
68,0.7327729941,0.77578348,0.9749902102,1
69,0.3612347839,0.8206419803,0.8940392679,1
70,0.3476571976,0.8774070378,0.9211006222,1
71,0.6281246878,0.9988752801,0.8174424581,1
