,x,y,class
0,-0.845336,-0.533192,0
1,-0.731757,0.0996577,0
2,0.0183806,-0.751005,0
3,-0.867887,-0.365326,0
4,0.131603,-0.834194,0
5,0.139864,-0.168765,0
6,-0.511138,-0.421097,0
7,-0.464374,-0.232739,0
8,-0.946491,-0.473429,0
9,-0.684512,-0.48909,0
10,0.238993,-0.160429,0
11,-0.195673,-0.911223,0
12,-0.817743,-0.174156,0
13,-0.472617,-0.808901,0
14,-0.466596,-0.306017,0
15,-0.0059443,-0.1782,0
16,-0.829379,-0.0239821,0
17,0.0597428,-0.632937,0
18,-0.895687,-0.66457,0
19,-0.889686,-0.659984,0
20,-0.337966,-0.318005,0
21,0.221706,-0.251809,0
22,-0.603826,-0.0394047,0
23,0.108968,0.0268664,0
24,-0.596781,-0.69778,0
25,-0.570381,-0.62692,0
26,-0.1068,-0.695916,0
27,-0.727975,-0.74717,0
28,-0.0499491,-0.242626,0
29,-0.494243,0.171228,0
30,-0.754713,-0.636687,0
31,-0.502568,-0.0750076,0
32,-0.904765,-0.162216,0
33,-0.362562,-0.101634,0
34,0.364112,-0.397585,0
35,-0.329505,-0.781368,0
36,-0.875226,-0.295195,0
37,-0.160097,-0.0918583,0
38,-0.277217,-0.699183,0
39,-0.299431,-0.753466,0
40,-0.520871,-0.47465,0
41,-0.133016,0.180602,0
42,-0.343126,0.383888,0
43,-0.288447,-0.25641,0
44,-0.416981,-0.895924,0
45,-0.295424,-0.586521,0
46,0.205391,-0.41047,0
47,-0.613013,0.066293,0
48,-0.301609,0.268155,0
49,-0.411882,-0.0766718,0
50,-0.111058,-0.229829,0
51,-0.16962,0.103149,0
52,0.268755,-0.0354978,0
53,-0.501309,-0.149498,0
54,-0.404219,0.369042,0
55,0.184264,0.099545,0
56,-0.294125,0.0613403,0
57,-0.339992,0.252625,0
58,0.359872,-0.337897,0
59,-0.804468,-0.452948,0
60,0.0597215,-0.447657,0
61,-0.0294261,-0.0909801,0
62,-0.807597,-0.0477664,0
63,0.167056,-0.704272,0
64,-0.512349,-0.349746,0
65,0.198536,-0.184669,0
66,-0.129309,-0.144206,0
67,0.24612,-0.656467,0
68,-0.0120307,-0.0150062,0
69,0.06104,-0.336989,0
70,0.261726,-0.673188,0
71,-0.859827,0.00533362,0
72,0.107754,-0.649024,0
73,-0.389748,-0.00271722,0
74,0.242503,-0.23928,0
75,-0.0893898,-0.00126011,0
76,-0.0255801,0.143496,0
77,-0.714719,-0.493871,0
78,-0.189286,0.191492,0
79,-0.107693,-0.179578,0
80,-0.959185,-0.333448,0
81,0.105632,0.0489216,0
82,-0.183026,0.190697,0
83,-0.249358,-0.61646,0
84,-0.317514,-0.362865,0
85,-0.485969,-0.2444,0
86,-0.585835,-0.0695504,0
87,-0.979734,-0.258728,0
88,-0.381425,0.0924572,0
89,0.123565,-0.3974,0
90,-0.440491,-0.207423,0
91,0.383511,-0.408729,0
92,-0.174329,-0.28078,0
93,0.113398,-0.42585,0
94,-0.434579,-0.319234,0
95,-0.236767,0.364845,0
96,0.0530904,-0.0369481,0
97,-0.375727,-0.885929,0
98,-0.666157,-0.160435,0
99,-0.78591,0.0650706,0
100,0.321019,-0.541853,0
101,-0.734661,-0.629417,0
102,-0.270034,0.136157,0
103,-0.333731,0.317522,0
104,-0.418482,-0.906161,0
105,0.0739774,-0.526218,0
106,-0.120947,-0.735114,0
107,-0.779168,-0.309669,0
108,-0.812292,-0.19952,0
109,-0.480483,-0.206175,0
110,-0.057066,-0.0544293,0
111,-0.531684,0.25593,0
112,0.331246,-0.398609,0
113,-0.529684,-0.29144,0
114,0.119724,-0.858658,0
115,-0.134439,-0.805333,0
116,-0.175285,-0.135894,0
117,-0.62127,-0.207734,0
118,-0.601012,-0.133853,0
119,-0.798208,0.0108812,0
120,-0.196359,0.258321,0
121,-0.170273,-0.781005,0
122,-0.119861,-0.412407,0
123,-0.401321,-0.746075,0
124,-0.168275,-0.620361,0
125,-0.303688,-0.752197,0
126,-0.592528,-0.178122,0
127,-0.845345,-0.429146,0
128,-0.973842,-0.305254,0
129,-0.535246,0.00503671,0
130,0.288929,-0.31473,0
131,0.22196,0.136243,0
132,-0.225646,0.0986858,0
133,-0.825397,-0.474693,0
134,-0.241729,-0.226563,0
135,-0.740672,-0.456177,0
136,-0.715589,-0.479733,0
137,-0.47244,-0.106996,0
138,-0.341394,0.25254,0
139,-0.23505,-0.8264,0
140,-0.453618,-0.472866,0
141,0.0374289,-0.590282,0
142,-0.582366,-0.749589,0
143,-0.0283509,0.27238,0
144,-0.730476,-0.143248,0
145,-0.797196,0.143052,0
146,-0.350351,-0.297192,0
147,-0.629091,-0.242187,0
148,-0.5175,0.0661452,0
149,-0.949218,-0.491068,0
150,-0.151406,-0.151549,0
151,-0.600725,-0.474877,0
152,-0.903375,-0.0242168,0
153,-0.322776,-0.420263,0
154,-0.866341,-0.632617,0
155,0.0224708,-0.348856,0
156,-0.134815,-0.834705,0
157,-0.381838,-0.843906,0
158,-0.219416,-0.923288,0
159,-0.00718427,0.290802,0
160,-0.00818175,-0.480234,0
161,-0.0498723,-0.259256,0
162,0.303312,-0.560571,0
163,-0.787875,-0.0851004,0
164,-0.479842,-0.551641,0
165,-0.691298,-0.149375,0
166,-0.334675,-0.322751,0
167,-0.313351,-0.998131,0
168,0.0879341,-0.00950871,0
169,-0.383935,0.085593,0
170,0.111073,-0.085525,0
171,-0.657081,0.235665,0
172,-0.744904,-0.325409,0
173,0.0900768,-0.0202703,0
174,-0.234966,-0.239148,0
175,-0.105845,-0.262108,0
176,-0.607309,-0.425996,0
177,-0.468871,0.285194,0
178,-0.284429,0.0587517,0
179,-0.394906,-0.927364,0
180,-0.727719,-0.83011,0
181,-0.256181,0.341078,0
182,-0.141431,0.180632,0
183,-0.615083,0.315792,0
184,-0.00780828,-0.848889,0
185,-0.274844,-0.665489,0
186,0.186394,-0.0781547,0
187,-0.686011,-0.773018,0
188,-0.610973,-0.032065,0
189,-0.0131184,-0.0162505,0
190,-0.117475,0.185686,0
191,-0.00599974,0.248172,0
192,0.198043,-0.556729,0
193,0.0994229,-0.723239,0
194,-0.409157,-0.709934,0
195,0.0994195,0.107188,0
196,-0.430355,-0.448186,0
197,-0.393632,-0.209908,0
198,-0.176472,-0.111593,0
199,-0.877969,0.0571747,0
200,-0.0124775,-0.785608,0
201,-0.134065,0.378797,0
202,-0.82753,-0.0570917,0
203,-0.246578,-0.0462389,0
204,-0.374448,-0.849579,0
205,0.291323,0.056852,0
206,-0.639528,-0.0916744,0
207,-0.724766,0.0864223,0
208,0.119646,-0.377267,0
209,-0.102016,-0.380313,0
210,0.0143146,0.205788,0
211,-0.617648,-0.0980424,0
212,-0.719646,-0.80377,0
213,-0.498888,-0.135992,0
214,0.119371,-0.458934,0
215,0.333461,-0.329411,0
216,0.013365,-0.542476,0
217,-0.889778,-0.04873,0
218,-0.0763296,0.110163,0
219,-0.478129,0.105986,0
220,-0.367179,-0.927925,0
221,0.0714927,0.271088,0
222,0.0491459,-0.177109,0
223,-0.381255,0.058547,0
224,0.189536,-0.764935,0
225,0.0630315,-0.168143,0
226,0.268988,-0.571279,0
227,0.258411,-0.509885,0
228,-0.455425,0.169506,0
229,0.0748492,-0.6443,0
230,-0.507167,-0.785125,0
231,-0.550404,-0.71582,0
232,-0.571898,0.0199746,0
233,-0.0847584,-0.74838,0
234,-0.892742,0.0218382,0
235,0.279903,-0.588736,0
236,-0.337889,0.0119032,0
237,-0.156207,-0.187983,0
238,-0.452258,0.219095,0
239,0.210402,-0.511679,0
240,-0.640018,0.00752515,0
241,-0.330511,-0.693694,0
242,-0.525096,-0.0156134,0
243,-0.401445,-0.976257,0
244,-0.0229795,-0.373759,0
245,0.264162,-0.572503,0
246,-0.342679,-0.24562,0
247,-0.497291,-0.937411,0
248,-0.625609,0.297393,0
249,-0.624394,-0.637036,0
250,-0.871849,-0.279981,0
251,-0.0241472,-0.516243,0
252,-0.899043,-0.628282,0
253,-0.555863,-0.260282,0
254,-0.807143,-0.474273,0
255,0.0688889,-0.631216,0
256,0.0710186,-0.486906,0
257,-0.356133,-0.922053,0
258,-0.765401,-0.358484,0
259,0.114747,-0.663968,0
260,-0.539267,0.330676,0
261,-0.483208,-0.783231,0
262,0.178604,-0.686568,0
263,-0.645098,-0.603439,0
264,-0.261024,-0.456366,0
265,-0.517667,-0.865995,0
266,-0.199452,-0.0631643,0
267,-0.107655,-0.851561,0
268,-0.13671,-0.862976,0
269,-0.730192,0.0889994,0
270,-0.196043,-0.288245,0
271,-0.155986,0.130346,0
272,0.220822,-0.54321,0
273,-0.806091,0.145005,0
274,-0.106136,0.209049,0
275,-0.612256,-0.0977694,0
276,-0.181883,-0.0416314,0
277,-0.280817,-0.621799,0
278,-0.808875,-0.348583,0
279,-0.160645,-0.187255,0
280,-0.501794,-0.394296,0
281,-0.109161,-0.858482,0
282,0.161679,-0.239694,0
283,-0.850337,-0.0887547,0
284,-0.157584,-0.14669,0
