,x,y,class
0,-0.590353,-0.566736,0
1,-0.147896,-0.257437,0
2,0.0554175,-0.760445,0
3,-0.619365,-0.81719,0
4,-0.55372,-0.329719,0
5,-0.623149,-0.0693254,0
6,-0.0304975,0.310295,0
7,-0.771859,0.00436378,0
8,0.0363532,-0.0271469,0
9,-0.12448,-0.230267,0
10,-0.728251,-0.523934,0
11,-0.413924,0.231446,0
12,-0.739494,-0.668529,0
13,0.22555,-0.136087,0
14,-0.419842,-0.674177,0
15,0.131428,0.212703,0
16,-0.753607,-0.538087,0
17,-0.859821,0.0159097,0
18,-0.246242,0.280654,0
19,-0.101881,-0.83754,0
20,-0.159756,-0.632868,0
21,-0.134943,-0.468011,0
22,-0.769734,0.0354122,0
23,-0.226786,-0.4967,0
24,-0.831374,0.128236,0
25,-0.183741,-0.284105,0
26,-0.654905,-0.214161,0
27,-0.339083,-0.505677,0
28,0.120308,-0.424478,0
29,-0.0453352,-0.906498,0
30,-0.605506,-0.627796,0
31,-0.956438,-0.228154,0
32,0.0054546,-0.533362,0
33,-0.051429,-0.451626,0
34,0.118633,-0.807592,0
35,0.230406,-0.296434,0
36,-0.10253,-0.320387,0
37,-0.0453318,-0.858963,0
38,-0.200003,-0.611264,0
39,-0.317149,-0.556796,0
40,0.195414,-0.781258,0
41,0.128375,-0.64397,0
42,-0.428799,0.140714,0
43,-0.367854,-0.151063,0
44,-0.353013,0.312472,0
45,-0.350015,-0.466724,0
46,-0.478442,-0.585955,0
47,0.290796,-0.600338,0
48,-0.20309,-0.333909,0
49,-0.582982,-0.745122,0
50,-0.874671,-0.233067,0
51,-0.444086,-0.0929195,0
52,0.0438461,-0.894403,0
53,0.301041,0.0540828,0
54,0.000434993,-0.163903,0
55,-0.26669,-0.666484,0
56,-0.469953,-0.949347,0
57,-0.726297,-0.320855,0
58,-0.309394,0.0418541,0
59,-0.265321,0.179025,0
60,-0.906713,-0.0382791,0
61,-0.00503287,-0.0286831,0
62,-0.249517,0.0201011,0
63,-0.664682,0.2783,0
64,-0.399247,-0.861496,0
65,-0.413328,0.345039,0
66,0.343788,-0.455331,0
67,-0.440747,-0.856001,0
68,0.32132,-0.0974025,0
69,-0.266467,-0.256084,0
70,-0.668913,0.166772,0
71,-0.167169,-0.631487,0
72,-0.364264,-0.607945,0
73,0.0549001,-0.481164,0
74,-0.983094,-0.215513,0
75,-0.607556,0.250722,0
76,0.0310692,0.0407995,0
77,-0.574746,-0.53145,0
78,0.0482034,0.097027,0
79,0.0243542,-0.63885,0
80,-0.614393,-0.863738,0
81,-0.909936,-0.0540048,0
82,0.363498,-0.102157,0
83,-0.0415349,0.0946566,0
84,-0.189353,-0.892563,0
85,0.282281,-0.157533,0
86,0.0584294,-0.717148,0
87,0.0224513,-0.31435,0
88,0.1296,-0.195239,0
89,-0.0787636,-0.855512,0
90,0.209478,-0.13065,0
91,-0.84749,0.0581845,0
92,-0.0812732,-0.90019,0
93,0.275837,-0.0859193,0
94,0.0753628,-0.00443303,0
95,-0.250862,0.0226575,0
96,-0.892103,-0.26983,0
97,-0.466186,0.0496478,0
98,-0.767438,-0.562191,0
99,-0.000451888,-0.627022,0
100,0.250498,-0.644295,0
101,0.167404,-0.370509,0
102,-0.971987,-0.309751,0
103,-0.573048,0.340027,0
104,-0.747656,0.0815372,0
105,-0.852828,-0.190035,0
106,-0.390851,0.174841,0
107,-0.891726,-0.0273364,0
108,-0.938541,-0.250743,0
109,-0.771833,-0.49935,0
110,-0.199263,-0.580271,0
111,-0.23781,0.141309,0
112,-0.345488,0.282457,0
113,-0.240033,0.171709,0
114,-0.748198,-0.326801,0
115,-0.35171,0.349434,0
116,-0.383032,0.0415288,0
117,-0.429906,-0.655125,0
118,-0.145354,0.182946,0
119,-0.169341,-0.681928,0
120,0.338489,-0.440503,0
121,-0.522624,-0.47094,0
122,-0.0292015,-0.116976,0
123,-0.138263,-0.615811,0
124,-0.402965,0.0115957,0
125,-0.925521,-0.0829293,0
126,0.388407,-0.206274,0
127,0.036662,-0.382975,0
128,-0.763326,-0.694777,0
129,0.090005,0.201843,0
130,-0.745538,-0.502092,0
131,-0.758295,-0.545834,0
132,-0.489624,-0.295936,0
133,-0.0360281,0.311047,0
134,0.36129,-0.464947,0
135,0.109651,0.150396,0
136,-0.32736,-0.301318,0
137,-0.214574,0.294144,0
138,-0.247107,-0.77831,0
139,-0.140322,-0.502455,0
140,-0.661053,-0.584954,0
141,-0.40036,-0.758585,0
142,0.270654,-0.52738,0
143,-0.303261,-0.375775,0
144,-0.194537,0.0737495,0
145,0.257459,0.00437355,0
146,0.0213069,-0.818781,0
147,-0.690956,-0.456435,0
148,-0.376981,-0.383117,0
149,-0.101305,-0.562514,0
150,-0.59085,0.290113,0
151,-0.624713,-0.914442,0
152,-0.207133,-0.545739,0
153,-0.300592,-0.532291,0
154,-0.874334,-0.0365301,0
155,-0.0175115,-0.258857,0
156,-0.0888609,-0.523929,0
157,-0.426005,-0.308447,0
158,-0.422197,-0.346672,0
159,-0.871573,0.0248619,0
160,0.197369,-0.259524,0
161,-0.214249,0.00206892,0
162,0.139388,-0.817973,0
163,0.214971,-0.150423,0
164,0.0431965,0.123908,0
165,-0.421433,0.234504,0
166,-0.397172,-0.0874468,0
