,a0,a1,class
0,-0.2,0.7,0
1,-0.2,0.700314,0
2,-0.200002,0.700628,0
3,-0.200004,0.700942,0
4,-0.200008,0.701257,0
5,-0.200012,0.701571,0
6,-0.200018,0.701885,0
7,-0.200024,0.702199,0
8,-0.200032,0.702513,0
9,-0.20004,0.702827,0
10,-0.200049,0.703141,0
11,-0.20006,0.703455,0
12,-0.200071,0.703769,0
13,-0.200083,0.704083,0
14,-0.200097,0.704397,0
15,-0.200111,0.704711,0
16,-0.200126,0.705024,0
17,-0.200143,0.705338,0
18,-0.20016,0.705652,0
19,-0.200178,0.705965,0
20,-0.200197,0.706279,0
21,-0.200218,0.706593,0
22,-0.200239,0.706906,0
23,-0.200261,0.707219,0
24,-0.200284,0.707533,0
25,-0.200308,0.707846,0
26,-0.200333,0.708159,0
27,-0.20036,0.708472,0
28,-0.200387,0.708785,0
29,-0.200415,0.709098,0
30,-0.200444,0.709411,0
31,-0.200474,0.709724,0
32,-0.200505,0.710036,0
33,-0.200537,0.710349,0
34,-0.20057,0.710661,0
35,-0.200604,0.710973,0
36,-0.200639,0.711286,0
37,-0.200675,0.711598,0
38,-0.200712,0.71191,0
39,-0.20075,0.712222,0
40,-0.200789,0.712533,0
41,-0.200828,0.712845,0
42,-0.200869,0.713156,0
43,-0.200911,0.713468,0
44,-0.200954,0.713779,0
45,-0.200998,0.71409,0
46,-0.201042,0.714401,0
47,-0.201088,0.714712,0
48,-0.201135,0.715023,0
49,-0.201183,0.715333,0
50,-0.201231,0.715643,0
51,-0.201281,0.715954,0
52,-0.201331,0.716264,0
53,-0.201383,0.716574,0
54,-0.201436,0.716883,0
55,-0.201489,0.717193,0
56,-0.201544,0.717502,0
57,-0.201599,0.717812,0
58,-0.201655,0.718121,0
59,-0.201713,0.718429,0
60,-0.201771,0.718738,0
61,-0.201831,0.719047,0
62,-0.201891,0.719355,0
63,-0.201952,0.719663,0
64,-0.202014,0.719971,0
65,-0.202078,0.720279,0
66,-0.202142,0.720586,0
67,-0.202207,0.720894,0
68,-0.202273,0.721201,0
69,-0.20234,0.721508,0
70,-0.202408,0.721814,0
71,-0.202477,0.722121,0
72,-0.202547,0.722427,0
73,-0.202618,0.722733,0
74,-0.20269,0.723039,0
75,-0.202763,0.723345,0
76,-0.202837,0.72365,0
77,-0.202912,0.723955,0
78,-0.202987,0.72426,0
79,-0.203064,0.724565,0
80,-0.203142,0.724869,0
81,-0.20322,0.725173,0
82,-0.2033,0.725477,0
83,-0.20338,0.725781,0
84,-0.203462,0.726084,0
85,-0.203544,0.726387,0
86,-0.203628,0.72669,0
87,-0.203712,0.726993,0
88,-0.203797,0.727295,0
89,-0.203883,0.727597,0
90,-0.203971,0.727899,0
91,-0.204059,0.728201,0
92,-0.204148,0.728502,0
93,-0.204238,0.728803,0
94,-0.204329,0.729104,0
95,-0.204421,0.729404,0
96,-0.204514,0.729704,0
97,-0.204607,0.730004,0
98,-0.204702,0.730304,0
99,-0.204798,0.730603,0
100,-0.204894,0.730902,0
101,-0.204992,0.7312,0
102,-0.20509,0.731499,0
103,-0.20519,0.731797,0
104,-0.20529,0.732094,0
105,-0.205391,0.732392,0
106,-0.205494,0.732689,0
107,-0.205597,0.732986,0
108,-0.205701,0.733282,0
109,-0.205806,0.733578,0
110,-0.205912,0.733874,0
111,-0.206019,0.734169,0
112,-0.206127,0.734464,0
113,-0.206235,0.734759,0
114,-0.206345,0.735053,0
115,-0.206456,0.735347,0
116,-0.206567,0.735641,0
117,-0.20668,0.735935,0
118,-0.206793,0.736228,0
119,-0.206907,0.73652,0
120,-0.207022,0.736812,0
121,-0.207138,0.737104,0
122,-0.207255,0.737396,0
123,-0.207373,0.737687,0
124,-0.207492,0.737978,0
125,-0.207612,0.738268,0
126,-0.207733,0.738558,0
127,-0.207854,0.738848,0
128,-0.207977,0.739137,0
129,-0.2081,0.739426,0
130,-0.208225,0.739715,0
131,-0.20835,0.740003,0
132,-0.208476,0.740291,0
133,-0.208603,0.740578,0
134,-0.208731,0.740865,0
135,-0.20886,0.741151,0
136,-0.208989,0.741438,0
137,-0.20912,0.741723,0
138,-0.209252,0.742009,0
139,-0.209384,0.742293,0
140,-0.209517,0.742578,0
141,-0.209652,0.742862,0
142,-0.209787,0.743146,0
143,-0.209923,0.743429,0
144,-0.210059,0.743712,0
145,-0.210197,0.743994,0
146,-0.210336,0.744276,0
147,-0.210475,0.744557,0
148,-0.210616,0.744838,0
149,-0.210757,0.745119,0
150,-0.210899,0.745399,0
151,-0.211042,0.745679,0
152,-0.211186,0.745958,0
153,-0.211331,0.746237,0
154,-0.211477,0.746515,0
155,-0.211623,0.746793,0
156,-0.211771,0.74707,0
157,-0.211919,0.747347,0
158,-0.212068,0.747624,0
159,-0.212218,0.7479,0
160,-0.212369,0.748175,0
161,-0.212521,0.74845,0
162,-0.212674,0.748725,0
163,-0.212827,0.748999,0
164,-0.212982,0.749273,0
165,-0.213137,0.749546,0
166,-0.213293,0.749819,0
167,-0.21345,0.750091,0
168,-0.213608,0.750362,0
169,-0.213766,0.750633,0
170,-0.213926,0.750904,0
171,-0.214086,0.751174,0
172,-0.214247,0.751444,0
173,-0.214409,0.751713,0
174,-0.214572,0.751982,0
175,-0.214736,0.75225,0
176,-0.214901,0.752517,0
177,-0.215066,0.752785,0
178,-0.215232,0.753051,0
179,-0.215399,0.753317,0
180,-0.215567,0.753583,0
181,-0.215736,0.753848,0
182,-0.215906,0.754112,0
183,-0.216076,0.754376,0
184,-0.216247,0.754639,0
185,-0.216419,0.754902,0
186,-0.216592,0.755165,0
187,-0.216766,0.755426,0
188,-0.21694,0.755688,0
189,-0.217116,0.755948,0
190,-0.217292,0.756208,0
191,-0.217469,0.756468,0
192,-0.217647,0.756727,0
193,-0.217825,0.756985,0
194,-0.218005,0.757243,0
195,-0.218185,0.757501,0
196,-0.218366,0.757757,0
197,-0.218548,0.758013,0
198,-0.218731,0.758269,0
199,-0.218914,0.758524,0
200,-0.219098,0.758779,0
201,-0.219283,0.759032,0
202,-0.219469,0.759286,0
203,-0.219656,0.759538,0
204,-0.219843,0.75979,0
205,-0.220032,0.760042,0
206,-0.220221,0.760293,0
207,-0.22041,0.760543,0
208,-0.220601,0.760793,0
209,-0.220792,0.761042,0
210,-0.220984,0.761291,0
211,-0.221177,0.761539,0
212,-0.221371,0.761786,0
213,-0.221566,0.762033,0
214,-0.221761,0.762279,0
215,-0.221957,0.762524,0
216,-0.222154,0.762769,0
217,-0.222351,0.763013,0
218,-0.22255,0.763257,0
219,-0.222749,0.7635,0
220,-0.222949,0.763742,0
221,-0.223149,0.763984,0
222,-0.223351,0.764225,0
223,-0.223553,0.764466,0
224,-0.223756,0.764706,0
225,-0.223959,0.764945,0
226,-0.224164,0.765183,0
227,-0.224369,0.765421,0
228,-0.224575,0.765659,0
229,-0.224782,0.765895,0
230,-0.224989,0.766131,0
231,-0.225197,0.766367,0
232,-0.225406,0.766601,0
233,-0.225615,0.766835,0
234,-0.225826,0.767069,0
235,-0.226037,0.767301,0
236,-0.226249,0.767533,0
237,-0.226461,0.767765,0
238,-0.226674,0.767995,0
239,-0.226888,0.768225,0
240,-0.227103,0.768455,0
241,-0.227319,0.768683,0
242,-0.227535,0.768911,0
243,-0.227752,0.769139,0
244,-0.227969,0.769365,0
245,-0.228187,0.769591,0
246,-0.228406,0.769817,0
247,-0.228626,0.770041,0
248,-0.228846,0.770265,0
249,-0.229068,0.770488,0
250,-0.229289,0.770711,0
251,-0.229512,0.770932,0
252,-0.229735,0.771154,0
253,-0.229959,0.771374,0
254,-0.230183,0.771594,0
255,-0.230409,0.771813,0
256,-0.230635,0.772031,0
257,-0.230861,0.772248,0
258,-0.231089,0.772465,0
259,-0.231317,0.772681,0
260,-0.231545,0.772897,0
261,-0.231775,0.773112,0
262,-0.232005,0.773326,0
263,-0.232235,0.773539,0
264,-0.232467,0.773751,0
265,-0.232699,0.773963,0
266,-0.232931,0.774174,0
267,-0.233165,0.774385,0
268,-0.233399,0.774594,0
269,-0.233633,0.774803,0
270,-0.233869,0.775011,0
