,a0,a1,class
0,-0.3,0.5,0
1,-0.300063,0.505026,0
2,-0.300253,0.510049,0
3,-0.300568,0.515065,0
4,-0.30101,0.520072,0
5,-0.301577,0.525067,0
6,-0.30227,0.530045,0
7,-0.303087,0.535005,0
8,-0.304029,0.539942,0
9,-0.305095,0.544854,0
10,-0.306283,0.549738,0
11,-0.307594,0.55459,0
12,-0.309027,0.559408,0
13,-0.31058,0.564189,0
14,-0.312253,0.568929,0
15,-0.314045,0.573625,0
16,-0.315954,0.578275,0
17,-0.317979,0.582875,0
18,-0.320119,0.587423,0
19,-0.322373,0.591916,0
20,-0.324739,0.596351,0
21,-0.327215,0.600725,0
22,-0.329801,0.605035,0
23,-0.332494,0.609279,0
24,-0.335293,0.613454,0
25,-0.338197,0.617557,0
26,-0.341202,0.621586,0
27,-0.344308,0.625538,0
28,-0.347511,0.629411,0
29,-0.350812,0.633202,0
30,-0.354206,0.636909,0
31,-0.357693,0.64053,0
32,-0.361269,0.644062,0
33,-0.364933,0.647503,0
34,-0.368683,0.65085,0
35,-0.372515,0.654103,0
36,-0.376428,0.657258,0
37,-0.380419,0.660313,0
38,-0.384485,0.663268,0
39,-0.388625,0.666119,0
40,-0.392835,0.668866,0
41,-0.397112,0.671505,0
42,-0.401455,0.674037,0
43,-0.405859,0.676458,0
44,-0.410323,0.678768,0
45,-0.414844,0.680965,0
46,-0.419419,0.683048,0
47,-0.424044,0.685015,0
48,-0.428718,0.686866,0
49,-0.433436,0.688598,0
50,-0.438197,0.690211,0
51,-0.442996,0.691704,0
52,-0.447832,0.693076,0
53,-0.4527,0.694326,0
54,-0.457599,0.695454,0
55,-0.462524,0.696457,0
56,-0.467473,0.697337,0
57,-0.472442,0.698092,0
58,-0.477429,0.698722,0
59,-0.48243,0.699227,0
60,-0.487442,0.699605,0
61,-0.492462,0.699858,0
62,-0.497487,0.699984,0
63,-0.502513,0.699984,0
64,-0.507538,0.699858,0
65,-0.512558,0.699605,0
66,-0.51757,0.699227,0
67,-0.522571,0.698722,0
68,-0.527558,0.698092,0
69,-0.532527,0.697337,0
70,-0.537476,0.696457,0
71,-0.542401,0.695454,0
72,-0.5473,0.694326,0
73,-0.552168,0.693076,0
74,-0.557004,0.691704,0
75,-0.561803,0.690211,0
76,-0.566564,0.688598,0
77,-0.571282,0.686866,0
78,-0.575956,0.685015,0
79,-0.580581,0.683048,0
80,-0.585156,0.680965,0
81,-0.589677,0.678768,0
82,-0.594141,0.676458,0
83,-0.598545,0.674037,0
84,-0.602888,0.671505,0
85,-0.607165,0.668866,0
86,-0.611375,0.666119,0
87,-0.615515,0.663268,0
88,-0.619581,0.660313,0
89,-0.623572,0.657258,0
90,-0.627485,0.654103,0
91,-0.631317,0.65085,0
92,-0.635067,0.647503,0
93,-0.638731,0.644062,0
94,-0.642307,0.64053,0
95,-0.645794,0.636909,0
96,-0.649188,0.633202,0
97,-0.652489,0.629411,0
98,-0.655692,0.625538,0
99,-0.658798,0.621586,0
100,-0.661803,0.617557,0
101,-0.664707,0.613454,0
102,-0.667506,0.609279,0
103,-0.670199,0.605035,0
104,-0.672785,0.600725,0
105,-0.675261,0.596351,0
106,-0.677627,0.591916,0
107,-0.679881,0.587423,0
108,-0.682021,0.582875,0
109,-0.684046,0.578275,0
110,-0.685955,0.573625,0
111,-0.687747,0.568929,0
112,-0.68942,0.564189,0
113,-0.690973,0.559408,0
114,-0.692406,0.55459,0
115,-0.693717,0.549738,0
116,-0.694905,0.544854,0
117,-0.695971,0.539942,0
118,-0.696913,0.535005,0
119,-0.69773,0.530045,0
120,-0.698423,0.525067,0
121,-0.69899,0.520072,0
122,-0.699432,0.515065,0
123,-0.699747,0.510049,0
124,-0.699937,0.505026,0
125,-0.7,0.5,0
126,-0.699937,0.494974,0
127,-0.699747,0.489951,0
128,-0.699432,0.484935,0
129,-0.69899,0.479928,0
130,-0.698423,0.474933,0
131,-0.69773,0.469955,0
132,-0.696913,0.464995,0
133,-0.695971,0.460058,0
134,-0.694905,0.455146,0
135,-0.693717,0.450262,0
136,-0.692406,0.44541,0
137,-0.690973,0.440592,0
138,-0.68942,0.435811,0
139,-0.687747,0.431071,0
140,-0.685955,0.426375,0
141,-0.684046,0.421725,0
142,-0.682021,0.417125,0
143,-0.679881,0.412577,0
144,-0.677627,0.408084,0
145,-0.675261,0.403649,0
146,-0.672785,0.399275,0
147,-0.670199,0.394965,0
148,-0.667506,0.390721,0
149,-0.664707,0.386546,0
150,-0.661803,0.382443,0
151,-0.658798,0.378414,0
152,-0.655692,0.374462,0
153,-0.652489,0.370589,0
154,-0.649188,0.366798,0
155,-0.645794,0.363091,0
156,-0.642307,0.35947,0
157,-0.638731,0.355938,0
158,-0.635067,0.352497,0
159,-0.631317,0.34915,0
160,-0.627485,0.345897,0
161,-0.623572,0.342742,0
162,-0.619581,0.339687,0
163,-0.615515,0.336732,0
164,-0.611375,0.333881,0
165,-0.607165,0.331134,0
166,-0.602888,0.328495,0
167,-0.598545,0.325963,0
168,-0.594141,0.323542,0
169,-0.589677,0.321232,0
170,-0.585156,0.319035,0
171,-0.580581,0.316952,0
172,-0.575956,0.314985,0
173,-0.571282,0.313134,0
174,-0.566564,0.311402,0
175,-0.561803,0.309789,0
176,-0.557004,0.308296,0
177,-0.552168,0.306924,0
