,x,y,class
0,7.58859,1.35137,0
1,-7.5016,0.536143,0
2,-9.05113,-2.40333,0
3,7.19311,-5.32045,0
4,-0.778891,9.18315,0
5,1.24272,6.46307,0
6,4.79006,6.59126,0
7,-0.65149,-9.59093,0
8,5.17691,8.4009,0
9,-6.06384,5.05089,0
10,-8.72013,0.815354,0
11,3.66194,6.30387,0
12,-2.82294,-5.22962,1
13,5.79075,5.09581,0
14,5.34556,2.83135,0
15,1.07067,-5.2708,1
16,-6.3998,-1.48529,1
17,-3.29536,-5.07341,1
18,-8.74271,1.33427,0
19,5.15935,-6.75606,0
20,-6.37003,-1.05832,1
21,-7.1684,0.617811,0
22,3.55363,5.84906,0
23,5.14664,-0.364442,1
24,-5.18104,2.3373,1
25,2.94633,-1.03125,1
26,3.71296,3.74007,1
27,-0.633286,-3.63625,1
28,5.62124,-3.85959,0
29,-6.11654,-0.650556,1
30,6.10438,-3.68123,0
31,-3.28985,7.55747,0
32,-1.68207,9.47039,0
33,-5.08338,3.59612,1
34,-0.0860008,-5.4159,1
35,-5.0722,-8.50356,0
36,0.685169,-4.36534,1
37,-8.3419,-2.35208,0
38,-3.3232,6.92302,0
39,-4.85943,7.59606,0
40,6.97555,-1.849,0
41,3.80482,7.67642,0
42,-2.36873,8.67654,0
43,-8.29031,4.74467,0
44,4.49782,-5.13979,0
45,-4.37552,0.60231,1
46,3.02741,1.75753,1
47,-1.27597,-5.20494,1
48,0.500507,-7.98658,0
49,6.84694,-3.50158,0
50,-3.38259,8.88547,0
51,-1.92489,8.34487,0
52,-1.51697,4.36878,1
53,6.0836,7.10695,0
54,6.58507,-4.65909,0
55,-5.24193,-1.07976,1
56,-6.78072,-3.51561,0
57,-6.83744,3.21008,0
58,-8.2621,-1.17661,0
59,4.75724,-5.06305,0
60,5.26002,5.19353,0
61,0.973943,9.06473,0
62,-9.06309,-3.27195,0
63,8.30699,-4.38988,0
64,-0.777788,7.71928,0
65,-2.02908,-2.77974,1
66,0.935513,3.17169,1
67,1.94964,7.59441,0
68,6.39015,-0.701341,0
69,-7.44211,0.421027,0
70,1.72645,-3.53022,1
71,7.66924,-3.09799,0
72,9.7484,1.41817,0
73,-4.8573,3.34175,1
74,4.77685,4.56327,0
75,-5.10164,-3.20946,0
76,-7.3918,5.98368,0
77,7.76314,-4.82877,0
