,x,y,class
0,-1.98666,-0.00228882,0
1,-1.95108,0.0324707,0
2,-1.92679,-0.046936,0
3,-1.86688,-0.0678101,0
4,-1.84698,0.00881958,0
5,-1.8064,-0.108795,0
6,-1.784,-0.0264893,0
7,-1.75729,-0.185059,0
8,-1.7399,-0.0408325,0
9,-1.73489,-0.0914001,0
10,-1.71658,-0.0308838,0
11,-1.70807,-0.2211,0
12,-1.70673,-0.13623,0
13,-1.68668,0.270081,0
14,-1.66971,-0.298492,0
15,-1.66492,0.0975952,0
16,-1.64252,-0.310272,0
17,-1.63068,-0.00253296,0
18,-1.62112,0.0897827,0
19,-1.61554,0.166321,0
20,-1.61407,-0.382355,0
21,-1.6066,0.347351,0
22,-1.60306,-0.199371,0
23,-1.595,0.07901,0
24,-1.59195,0.360779,0
25,-1.58936,0.0223999,0
26,-1.58804,0.362732,0
27,-1.58438,-0.113831,0
28,-1.57388,0.262939,0
29,-1.57239,-0.361328,0
30,-1.56573,0.375122,0
31,-1.5614,-0.254486,0
32,-1.55902,-0.278778,0
33,-1.5528,0.357086,0
34,-1.54498,0.242676,0
35,-1.54111,0.337036,0
36,-1.53464,0.228302,0
37,-1.52863,0.0557861,0
38,-1.51288,-0.059082,0
39,-1.51059,-0.361603,0
40,-1.50552,0.48938,0
41,-1.49927,0.184265,0
42,-1.49515,-0.0307922,0
43,-1.48807,0.451355,0
44,-1.48346,0.173767,0
45,-1.47598,-0.3526,0
46,-1.46555,0.50119,0
47,-1.46384,0.35965,0
48,-1.45856,0.42926,0
49,-1.45395,-0.180267,0
50,-1.44376,-0.00686646,0
51,-1.44016,0.107635,0
52,-1.43466,0.224274,0
53,-1.42972,-0.295868,0
54,-1.42075,-0.220917,0
55,-1.4133,0.225006,0
56,-1.40979,0.18042,0
57,-1.40314,0.413483,0
58,-1.40115,-0.119781,0
59,-1.39865,0.140106,0
60,-1.38828,-0.548767,0
61,-1.38297,0.533112,0
62,-1.37769,-0.435028,0
63,-1.37555,0.324554,0
