,x,y,class
0,6.77101,0.29793,0
1,-6.85514,5.68313,0
2,-6.3068,1.59655,0
3,-1.08697,-8.63115,0
4,4.03184,3.17779,0
5,5.38353,0.931514,0
6,-4.0468,5.43281,0
7,6.00508,7.41909,0
8,-7.32808,-3.01134,0
9,1.24065,-8.45068,0
10,9.45564,1.02474,0
11,2.76399,-5.54772,0
12,-8.72038,-3.38741,0
13,-3.906,-8.18853,0
14,-4.56221,2.92588,0
15,-4.73956,2.21574,0
16,4.80481,-5.5315,0
17,2.4231,4.95831,0
18,-5.68924,0.877061,0
19,-0.852782,7.28705,0
20,-6.51762,-1.66816,0
21,3.20632,8.59146,0
22,-6.96047,-4.57366,0
23,0.930105,-7.73284,0
24,-5.79074,-4.89515,0
25,5.02067,2.43065,0
26,-8.07435,-5.52144,0
27,1.13114,-8.97512,0
28,-3.6464,-4.97373,0
29,6.46487,-4.97292,0
30,0.204998,5.3987,0
31,5.30721,-1.65576,0
32,-8.33677,3.88621,0
33,-5.03855,-2.85397,0
34,-3.44116,4.48913,0
35,-4.5299,5.96743,0
36,-5.35617,-1.11369,0
37,2.16015,5.58681,0
38,-5.64747,3.02682,0
39,3.99759,7.55882,0
40,1.0504,-5.87017,0
41,5.70626,5.04071,0
42,0.819446,-7.57104,0
43,-6.39758,-4.19984,0
44,-6.74962,-0.870044,0
45,-2.82221,7.07469,0
46,5.36167,-6.48099,0
47,-6.01856,6.00392,0
48,7.85395,1.35534,0
49,-0.756292,8.99325,0
50,4.71325,-4.45005,0
51,7.93979,3.99343,0
52,-2.39124,-9.5002,0
53,-0.0994007,9.37171,0
54,-1.37607,-7.66584,0
55,0.433914,-7.20904,0
56,-2.32369,5.6998,0
57,-1.92861,5.88528,0
58,-6.14497,1.56885,0
59,7.26364,0.0201162,0
60,8.55115,-0.769498,0
61,7.04681,-4.23247,0
62,4.95968,-2.64794,0
63,-3.98238,8.16655,0
64,5.7454,2.85895,0
65,1.55581,8.53966,0
66,6.03125,7.3008,0
67,4.57753,-5.42894,0
