,a0,a1,class
0,0.0464265,0.72294,0
1,0.0619887,0.692245,0
2,0.0436812,0.708402,0
3,0.0455098,0.714163,0
4,0.0614739,0.693369,0
5,0.0551352,0.703397,0
6,0.040135,0.695185,0
7,0.030243,0.703903,0
8,0.0298174,0.712842,0
9,0.0493234,0.709206,0
10,0.0599673,0.708696,0
11,0.0461936,0.688634,0
12,0.0591041,0.690484,0
13,0.0453783,0.708063,0
14,0.0505511,0.696423,0
15,0.057278,0.7104,0
16,0.0560773,0.69326,0
17,0.0596147,0.70271,0
18,0.0505042,0.690104,0
19,0.0496045,0.692989,0
20,0.0520478,0.692667,0
21,0.0475154,0.687109,0
22,0.0514875,0.713972,0
23,0.0672136,0.715323,0
24,0.0412261,0.676755,0
25,0.0636039,0.688547,0
26,0.0561505,0.69611,0
27,0.050965,0.687182,0
28,0.0472229,0.709995,0
29,0.0457087,0.699998,0
30,0.0466797,0.694839,0
31,0.0605373,0.690954,0
32,0.073573,0.708997,0
33,0.0579941,0.698943,0
34,0.0636856,0.700978,0
35,0.0486554,0.704031,0
36,0.0467465,0.707465,0
37,0.056792,0.713635,0
38,0.0437437,0.68532,0
39,0.0713848,0.688666,0
40,0.0449419,0.687448,0
41,0.0332,0.694762,0
42,0.0600951,0.697302,0
43,0.0726652,0.703676,0
44,0.0392351,0.708563,0
45,0.0266919,0.698937,0
46,0.0406356,0.690528,0
47,0.0526959,0.703368,0
48,0.0428712,0.686391,0
49,0.0551799,0.69232,0
50,0.0429143,0.688725,0
51,0.0424076,0.691745,0
52,0.066242,0.706381,0
53,0.034346,0.710587,0
54,0.0304781,0.730134,0
55,0.0426301,0.699369,0
56,0.048908,0.697099,0
57,0.0452896,0.7013,0
58,0.0492631,0.691204,0
59,0.0531735,0.694491,0
60,0.0385012,0.694623,0
61,0.066128,0.701807,0
62,0.0594525,0.702444,0
63,0.0389518,0.695832,0
64,0.0482975,0.694328,0
65,0.0603192,0.684412,0
66,0.0522561,0.71666,0
67,0.0535184,0.703148,0
68,0.0483898,0.69184,0
69,0.0595295,0.697024,0
70,0.0431278,0.712757,0
71,0.0432545,0.702967,0
72,0.0684589,0.712407,0
73,0.0223254,0.701506,0
74,0.0427497,0.709069,0
75,0.0405412,0.691275,0
76,0.0581378,0.69533,0
77,0.0396783,0.694677,0
78,0.0604974,0.671557,0
79,0.0443954,0.705278,0
80,0.0490617,0.698398,0
81,0.0425411,0.684429,0
82,0.0600409,0.697713,0
83,0.052718,0.699661,0
84,0.0388805,0.703197,0
85,0.0588434,0.691685,0
86,0.0515213,0.691335,0
87,0.0566517,0.693741,0
88,0.0667965,0.713748,0
89,0.0475145,0.694455,0
90,0.0344608,0.691744,0
91,0.0580593,0.699007,0
92,0.0629631,0.683256,0
93,0.0540253,0.698592,0
94,0.0468358,0.69983,0
95,0.0641802,0.704174,0
