,x,y,class
0,0.28283,0.88552,1
1,0.27609,0.86195,1
2,0.27273,0.84512,1
3,0.27273,0.82492,1
4,0.27273,0.78451,1
5,0.26936,0.81145,1
6,0.27609,0.76094,1
7,0.2963,0.77778,1
8,0.29966,0.81818,1
9,0.30303,0.86869,1
10,0.28956,0.85185,1
11,0.2862,0.81481,1
12,0.2862,0.78114,1
13,0.2862,0.79461,1
14,0.30303,0.83838,1
15,0.28956,0.75758,1
16,0.28956,0.73064,1
17,0.27946,0.74074,1
18,0.26936,0.76768,1
19,0.3064,0.77778,1
20,0.2963,0.74747,1
21,0.30303,0.80135,1
22,0.30976,0.84848,1
23,0.29966,0.85522,1
24,0.2963,0.87205,1
25,0.30976,0.76094,1
26,0.3165,0.79461,1
27,0.3165,0.83165,1
28,0.31313,0.73064,1
29,0.3064,0.74074,1
30,0.29293,0.72391,1
31,0.28283,0.71044,1
32,0.28283,0.73064,1
33,0.27609,0.75084,1
34,0.27609,0.72054,1
35,0.30303,0.72054,1
36,0.26936,0.74747,1
37,0.2963,0.70707,1
38,0.2862,0.83502,1
39,0.28283,0.86869,1
40,0.28956,0.69697,2
41,0.27609,0.6835,2
42,0.27609,0.6734,2
43,0.28283,0.69024,2
44,0.29966,0.67677,2
45,0.29293,0.6835,2
46,0.2862,0.6734,2
47,0.2862,0.64983,2
48,0.29966,0.68013,2
49,0.30303,0.65657,2
50,0.30303,0.633,2
51,0.30303,0.60269,2
52,0.29966,0.57239,2
53,0.3064,0.60269,2
54,0.31313,0.64646,2
55,0.30976,0.67677,2
56,0.30976,0.63973,2
57,0.28956,0.62626,2
58,0.29966,0.64646,2
59,0.2862,0.65993,2
60,0.27946,0.633,2
61,0.28283,0.61616,2
62,0.28283,0.60269,2
63,0.29293,0.61279,2
64,0.31313,0.6229,2
65,0.3064,0.6229,2
66,0.29293,0.58586,2
67,0.29293,0.56566,2
68,0.2862,0.57912,2
69,0.3064,0.56229,2
70,0.31313,0.58923,2
71,0.31313,0.59596,2
72,0.3165,0.60943,2
73,0.29966,0.61279,2
74,0.30303,0.66667,2
75,0.27609,0.6633,2
76,0.26936,0.633,2
77,0.27273,0.64983,2
78,0.29966,0.69697,2
79,0.2862,0.58923,2
80,0.26936,0.61953,2
81,0.27609,0.60943,2
82,0.30303,0.59259,2
83,0.31313,0.57912,2
84,0.29293,0.59933,2
85,0.3165,0.65657,2
86,0.3266,0.62963,2
87,0.3266,0.60606,2
88,0.32323,0.6532,2
89,0.3266,0.63973,2
90,0.3468,0.6229,2
91,0.27609,0.59259,2
92,0.3165,0.71717,2
93,0.3367,0.6835,2
94,0.3266,0.6734,2
95,0.29966,0.6835,2
96,0.29966,0.6532,2
97,0.29966,0.63973,2
98,0.28956,0.6633,2
99,0.27946,0.6633,2
100,0.27946,0.63636,2
101,0.28956,0.60943,2
102,0.28956,0.62963,2
103,0.28956,0.6431,2
104,0.29293,0.68687,2
105,0.2862,0.68687,2
106,0.28283,0.6532,2
107,0.2862,0.61953,2
108,0.29966,0.633,2
109,0.29293,0.68013,2
110,0.30303,0.69697,2
111,0.28956,0.64646,2
112,0.28956,0.6229,2
113,0.27609,0.62626,2
114,0.27609,0.6431,2
115,0.3064,0.61279,2
116,0.29966,0.6229,2
117,0.27609,0.67003,2
118,0.27946,0.6835,2
119,0.28283,0.6431,2
120,0.2862,0.61616,2
121,0.28956,0.59933,2
122,0.29293,0.55219,3
123,0.31313,0.55219,3
124,0.2862,0.56229,3
125,0.2862,0.53199,3
126,0.27946,0.53535,3
127,0.2862,0.51515,3
128,0.28283,0.49832,3
129,0.28283,0.47811,3
130,0.29293,0.45455,3
131,0.30303,0.49495,3
132,0.29293,0.52862,3
133,0.30976,0.53535,3
134,0.3064,0.50842,3
135,0.31987,0.47811,3
136,0.30303,0.47811,3
137,0.2963,0.48148,3
138,0.28283,0.46465,3
139,0.2862,0.51515,3
140,0.30976,0.54209,3
141,0.3165,0.52525,3
142,0.29966,0.50842,3
143,0.29966,0.51852,3
144,0.29966,0.53535,3
145,0.29293,0.50505,3
146,0.30976,0.46801,3
147,0.29966,0.43771,3
148,0.30303,0.44781,3
149,0.31987,0.47138,3
150,0.31987,0.50505,3
151,0.32323,0.53535,3
152,0.3266,0.47811,3
153,0.31987,0.43771,3
154,0.30976,0.42088,3
155,0.3064,0.46128,3
156,0.30303,0.46465,3
157,0.28956,0.41751,3
158,0.28283,0.44444,3
159,0.3165,0.47138,3
160,0.33333,0.45791,3
161,0.31987,0.45455,3
162,0.30303,0.41751,3
163,0.35354,0.57239,3
164,0.33333,0.55556,3
165,0.31987,0.52189,3
166,0.2862,0.48485,3
167,0.27946,0.51515,3
168,0.2963,0.46128,3
169,0.31313,0.48822,3
170,0.33333,0.53199,3
171,0.35017,0.54545,3
172,0.30303,0.42761,3
173,0.32997,0.43434,3
174,0.34343,0.67677,4
175,0.33333,0.68687,4
176,0.34343,0.69697,4
177,0.36027,0.7138,4
178,0.34343,0.66667,4
179,0.36027,0.6633,4
180,0.38047,0.67677,4
181,0.38384,0.71044,4
182,0.367,0.71044,4
183,0.3569,0.68687,4
184,0.36027,0.6835,4
185,0.367,0.6936,4
186,0.367,0.7037,4
187,0.35354,0.7037,4
188,0.39057,0.70034,4
189,0.38047,0.6835,4
190,0.367,0.6734,4
191,0.35017,0.6532,4
192,0.34343,0.65993,4
193,0.3771,0.66667,4
194,0.38721,0.69024,4
195,0.37374,0.70707,4
196,0.34343,0.70707,4
197,0.32997,0.7037,4
198,0.32997,0.65657,4
199,0.3468,0.6633,4
200,0.38047,0.66667,4
201,0.39394,0.6835,4
202,0.35354,0.6835,4
203,0.36027,0.69697,4
204,0.32323,0.6936,4
205,0.3266,0.6633,4
206,0.36027,0.6532,4
207,0.38047,0.65657,4
208,0.39394,0.67677,4
209,0.3771,0.69697,4
210,0.3569,0.67677,4
211,0.37037,0.6835,4
212,0.35017,0.66667,4
213,0.35017,0.68013,4
214,0.35017,0.69697,4
215,0.33333,0.69697,4
216,0.33333,0.68687,4
217,0.33333,0.67677,4
218,0.3367,0.6835,4
219,0.3367,0.6936,4
220,0.36364,0.6936,4
221,0.39057,0.69024,4
222,0.38047,0.6734,4
223,0.36364,0.6734,4
224,0.36364,0.6633,4
225,0.36027,0.68013,4
226,0.34343,0.69024,4
227,0.3569,0.62963,5
228,0.3468,0.62963,5
229,0.34343,0.60269,5
230,0.36027,0.60606,5
231,0.3367,0.61279,5
232,0.34007,0.63636,5
233,0.36027,0.63636,5
234,0.3569,0.61953,5
235,0.37037,0.6229,5
236,0.38047,0.63973,5
237,0.3468,0.61616,5
