,x,y,class
0,3.51,8.23,4
1,1.15,7.98,4
2,0.36,9.5,4
3,0.75,8.45,4
4,0.73,8.27,4
5,-0.1,7.94,4
6,-0.18,6.3,4
7,3.26,6.88,4
8,-0.88,7.83,4
9,-1.9,7.67,4
10,2.69,8.71,4
11,-0.27,8.91,4
12,2.44,9.5,4
13,-1.01,8.5,4
14,-0.89,9.21,4
15,3.21,7.17,4
16,1.35,7.64,4
17,-0.03,8.47,4
18,3.28,7.86,4
19,-0.01,7.68,4
20,3.19,8.95,4
21,-0.54,8.18,4
22,0.39,7.13,4
23,2.75,9.17,4
24,0.08,7.1,4
25,-0.42,7.61,4
26,-1.24,7.36,4
27,-1.87,8.33,4
28,-1.38,8.78,4
29,-0.83,8.1,4
30,0.64,6.72,4
31,-0.15,6.55,4
32,0.36,8.75,4
33,-0.63,6.76,4
34,1.37,7.87,4
35,-1.7,8.83,4
36,2.58,8.09,4
37,0.18,7.66,4
38,-1.26,7.62,4
39,1.37,9.06,4
40,-0.09,6.72,4
41,2.72,8.73,4
42,-0.03,9.43,4
43,2.38,6.71,4
44,-0.5,9.21,4
45,-1.18,6.92,4
46,-1.68,7.51,4
47,0.17,9.49,4
48,1.28,7.82,4
49,0.31,6.54,4
50,6.23,3.1,5
51,6.77,4.38,5
52,7.09,3.27,5
53,2.45,4.39,5
54,6.59,4.56,5
55,4.22,2.94,5
56,3.66,5.42,5
57,2.96,5.0,5
58,5.64,4.64,5
59,3.12,5.01,5
60,5.39,5.66,5
61,3.84,5.67,5
62,3.47,2.65,5
63,6.53,3.05,5
64,4.3,3.71,5
65,3.38,4.3,5
66,5.03,2.61,5
67,5.23,5.38,5
68,7.11,3.54,5
69,2.55,3.35,5
70,6.39,2.91,5
71,5.97,4.79,5
72,3.57,3.75,5
73,2.96,3.88,5
74,5.74,5.3,5
75,3.13,5.29,5
76,6.22,3.43,5
77,4.95,3.88,5
78,5.42,2.29,5
79,3.42,3.83,5
80,4.3,4.15,5
81,2.97,3.89,5
82,2.73,4.98,5
83,4.12,3.66,5
84,6.13,3.26,5
85,4.91,2.3,5
86,2.9,5.06,5
87,2.35,3.55,5
88,7.36,4.95,5
89,5.71,2.66,5
90,6.56,4.28,5
91,3.65,5.28,5
92,6.44,2.52,5
93,3.1,2.9,5
94,3.72,3.89,5
95,3.77,3.29,5
96,6.1,2.2,5
97,3.9,3.49,5
98,4.12,4.97,5
99,3.8,3.71,5
100,0.74,-5.26,6
101,-0.22,-6.19,6
102,-1.44,-6.59,6
103,-1.81,-6.49,6
104,0.54,-5.04,6
105,-3.06,-7.39,6
106,0.14,-6.69,6
107,-1.81,-7.64,6
108,-3.01,-5.02,6
109,-3.8,-4.65,6
110,-0.96,-5.37,6
111,-1.51,-4.37,6
112,-1.28,-7.34,6
113,-4.64,-5.19,6
114,-2.34,-7.03,6
115,-4.69,-6.23,6
116,0.09,-6.91,6
117,-1.14,-6.33,6
118,-1.91,-4.32,6
119,-0.82,-4.39,6
120,-4.51,-5.64,6
121,-3.06,-4.23,6
122,0.8,-6.32,6
123,-1.87,-5.2,6
124,-1.5,-6.57,6
125,-0.79,-4.58,6
126,-0.38,-5.96,6
127,-4.15,-6.54,6
128,-3.4,-7.2,6
129,-0.32,-6.29,6
130,-2.73,-4.26,6
131,-3.34,-5.03,6
132,0.1,-4.95,6
133,-1.17,-4.98,6
134,-2.93,-5.28,6
135,-3.71,-6.66,6
136,-0.27,-7.33,6
137,-3.05,-7.13,6
138,-3.03,-7.27,6
139,-1.8,-7.12,6
140,-2.04,-4.33,6
141,-2.72,-4.49,6
142,-3.25,-5.96,6
143,-3.86,-7.34,6
144,-0.34,-6.89,6
145,0.28,-7.09,6
146,-3.83,-7.1,6
147,-2.24,-5.96,6
148,-0.44,-7.1,6
149,-3.06,-4.57,6
150,0.57,1.59,2
151,-1.1,0.14,2
152,-0.46,-1.79,2
153,2.72,-0.34,2
154,0.97,-0.3,2
155,0.45,-1.17,2
156,-1.24,-0.78,2
157,1.82,0.34,2
158,0.86,1.69,2
159,-0.76,-1.92,2
160,0.26,-0.42,2
161,1.93,-1.25,2
162,0.45,0.1,2
163,-2.0,0.1,2
164,2.24,0.82,2
165,-1.12,1.84,2
166,1.67,0.82,2
167,-0.64,-1.36,2
168,-1.17,1.43,2
169,0.24,-1.9,2
170,1.26,-1.43,2
171,-0.68,0.03,2
172,-2.25,-1.11,2
173,-0.6,-1.72,2
174,1.25,0.68,2
175,-0.71,-1.38,2
176,0.61,-1.83,2
177,-1.27,0.98,2
178,-1.78,-0.14,2
179,0.26,-1.05,2
180,1.49,1.3,2
181,-2.67,-0.53,2
182,1.22,-1.52,2
183,-0.76,1.62,2
184,-0.26,-0.74,2
