,x,y,class
0,-0.585835,-0.401656,0
1,-1.13392,-0.910653,0
2,-0.898172,-1.07502,0
3,-0.365161,-0.379199,0
4,0.172448,-0.203041,0
5,-1.43784,-0.83774,0
6,-0.586947,-0.865428,0
7,-0.509167,-0.913249,0
8,0.0160104,-0.265462,0
9,-0.303003,-0.668266,0
10,-1.32478,-0.761519,0
11,-0.789443,-0.604025,0
12,-0.681078,-0.266194,0
13,-1.20215,-0.815888,0
14,-0.588469,-0.547638,0
15,-0.356192,-0.252426,0
16,-1.52899,-1.16619,0
17,-0.571526,-0.525328,0
18,-1.10776,-0.90191,0
19,0.0854506,-0.200078,0
20,-0.0795118,-0.244821,0
21,-1.58956,-0.82734,0
22,-0.882815,-1.03291,0
23,-0.0226562,-0.330175,0
24,-0.603857,-0.607451,0
25,-0.939056,-0.923235,0
26,-1.54462,-1.22342,0
27,-1.25772,-1.07925,0
28,-0.638864,-0.791312,0
29,-0.605087,-0.225404,0
30,-1.22772,-0.962691,0
31,-1.59126,-0.955835,0
32,-0.490727,-0.452298,0
33,-0.0195369,-0.282084,0
34,-1.17823,-0.662493,0
35,-0.226727,-0.630257,0
36,-0.363046,-0.591963,0
37,-1.64826,-1.42303,0
38,-0.938966,-0.583673,0
39,-0.647177,-1.07351,0
40,-0.751564,-0.76207,0
41,-1.60725,-1.33554,0
42,-0.936239,-0.716931,0
43,-0.297093,-0.0826591,0
44,-1.31761,-0.656078,0
45,-1.50532,-1.16879,0
46,-1.65098,-1.241,0
47,-0.321559,-0.48635,0
48,-0.4488,-0.339232,0
49,-0.518523,-0.285819,0
50,-0.643772,-0.539759,0
51,-0.711098,-0.313798,0
52,-0.0668361,-0.0328402,0
53,-0.61127,-0.905858,0
54,-0.92148,-0.885539,0
55,-1.02333,-0.968717,0
56,-1.54719,-1.15118,0
57,-1.26029,-0.959315,0
58,-0.319118,-0.466954,0
59,-0.177719,-0.155611,0
60,-0.506707,-0.384676,0
61,0.241723,-0.152738,0
62,-0.726694,-0.324555,0
63,-0.766221,-0.581867,0
64,0.222186,-0.246717,0
65,-0.564669,-0.697595,0
66,-1.19146,-1.1202,0
67,-1.38869,-0.930326,0
68,-0.211033,-0.0694245,0
69,-1.74823,-1.02762,0
70,-1.44603,-1.07043,0
71,-0.281285,-0.403171,0
72,0.167996,-0.0711532,0
73,-0.0854518,-0.141995,0
74,-0.448893,-0.40739,0
75,-1.2473,-0.784423,0
76,0.103036,-0.527119,0
77,0.10599,-0.121666,0
78,-0.862378,-0.758065,0
79,-1.83386,-1.22837,0
80,-1.00853,-0.923721,0
81,-1.11958,-1.12774,0
82,-1.0647,-1.15874,0
83,-1.13463,-0.985945,0
84,-0.570435,-1.04625,0
85,-1.46636,-0.783364,0
86,-1.64958,-1.17206,0
87,-0.516398,-0.468889,0
88,-1.36599,-1.33378,0
89,-1.30711,-0.645879,0
90,-0.237667,-0.423474,0
91,-1.50285,-0.987157,0
92,-0.97778,-0.588835,0
93,0.0671051,-0.299607,0
94,-1.65967,-1.24569,0
95,-0.366234,-0.466544,0
96,-0.571356,-0.347466,0
97,-0.429063,-0.453724,0
98,-0.98477,-1.10406,0
99,-0.8123,-0.708308,0
100,-0.79821,-1.00958,0
101,-0.579938,-0.761309,0
102,-0.537748,-0.56848,0
103,-0.30264,-0.342319,0
104,-0.842391,-0.732896,0
105,-1.23492,-0.906338,0
106,-1.79088,-1.14082,0
107,-1.26478,-1.1849,0
108,-0.843117,-0.754856,0
109,-0.948825,-1.08643,0
110,-1.50044,-1.04681,0
111,-0.933405,-1.11914,0
112,-0.273563,-0.439946,0
113,-0.369036,-0.416664,0
114,-1.36042,-1.16305,0
115,-1.76158,-1.35602,0
116,-0.197375,-0.592986,0
117,-0.607059,-0.505345,0
118,-0.562626,-0.683408,0
119,0.144665,-0.211468,0
120,0.220343,-0.34969,0
121,-0.581623,-0.963184,0
122,-0.133789,-0.464616,0
123,-1.21212,-0.824299,0
124,-1.28217,-1.11003,0
125,-0.192406,-0.291159,0
126,-1.63248,-1.04487,0
127,-0.133453,-0.599766,0
128,0.0692506,-0.319421,0
129,-1.4999,-0.907588,0
130,-1.19433,-0.789085,0
131,-0.795208,-0.819344,0
132,-1.52462,-1.24739,0
133,-0.173608,-0.535402,0
134,-0.409848,-0.330759,0
135,-1.58818,-1.14141,0
136,-0.601206,-0.792217,0
137,-0.460027,-0.302771,0
138,-0.481636,-0.669796,0
139,-0.84439,-0.765982,0
140,-1.06653,-0.683752,0
141,-0.671334,-0.614558,0
142,-1.63227,-1.34141,0
143,-0.989481,-1.07831,0
144,-1.40006,-1.03903,0
145,-1.44438,-1.26208,0
146,-0.141613,-0.0523385,0
147,-0.59391,-1.03964,0
148,-0.16278,-0.417046,0
149,-0.915247,-0.748029,0
150,-1.79151,-1.27673,0
151,-1.28764,-0.984605,0
152,-0.82374,-1.04987,0
153,-0.352946,-0.0962342,0
154,-0.0286291,-0.131426,0
155,-0.496043,-0.526966,0
156,-0.190448,-0.396327,0
157,-1.14499,-0.916689,0
158,-1.39443,-0.746652,0
159,-0.908277,-1.02232,0
160,-1.44719,-0.999583,0
161,-1.52655,-0.98479,0
162,-0.825774,-0.777939,0
163,-0.97136,-1.27296,0
164,-0.405186,-0.49455,0
165,-0.535241,-0.181429,0
166,-1.69591,-1.36152,0
167,-0.737435,-0.488719,0
168,-0.35622,-0.306958,0
169,-0.976388,-0.787457,0
170,0.101095,-0.232239,0
171,-0.944946,-1.14355,0
172,-0.139942,-0.257978,0
173,-1.22338,-1.1698,0
174,-0.0528075,-0.113643,0
175,-1.57894,-1.05312,0
176,-0.959237,-0.793686,0
177,-1.16586,-1.2165,0
178,-0.251113,-0.457571,0
179,0.135096,-0.249598,0
180,-0.890729,-0.374777,0
181,-0.747481,-0.380005,0
182,-1.58102,-1.21327,0
183,-0.124202,-0.195426,0
184,-1.89331,-1.25127,0
185,-0.664059,-0.767556,0
186,-0.636296,-0.351712,0
187,0.0292661,-0.474749,0
188,-0.841541,-0.721598,0
189,-1.39087,-0.91469,0
190,-0.90491,-0.538059,0
191,-0.349811,-0.277408,0
