,x,y,class
0,-0.796472,-0.538789,0
1,1.07415,0.283016,0
2,-0.0882453,-0.0154108,0
3,0.238279,-0.0570198,0
4,0.708839,0.165585,0
5,0.163807,-0.0402066,0
6,-0.200248,0.692106,0
7,0.0641332,-0.47997,0
8,-0.388032,-0.415745,0
9,-0.751184,0.672181,0
10,-0.607715,-0.814858,0
11,0.26011,0.335198,0
12,-0.546444,0.251202,0
13,0.101309,0.424941,0
14,0.436923,0.784839,0
15,-0.0189449,0.603242,0
16,-0.476297,0.00590647,0
17,0.199583,-0.177538,0
18,-0.981166,0.472785,0
19,0.129555,0.156186,0
20,0.824547,-0.69325,0
21,0.223874,-0.0875816,0
22,-0.601323,-0.569979,0
23,0.762652,0.387553,0
24,0.120625,0.537594,0
25,3.01053,-0.212716,1
26,3.79178,-0.0714351,1
27,3.97677,0.0425788,1
28,4.21977,-0.737742,1
29,4.7352,-0.275757,1
30,4.29667,-0.0791719,1
31,3.9759,-0.0661088,1
32,4.04327,-0.0410543,1
33,4.01564,0.0331227,1
34,4.27207,0.113586,1
35,4.6347,-0.377884,1
36,3.72788,-0.705706,1
37,4.55564,-0.0716247,1
38,3.92393,-1.42917,1
39,3.11443,-0.239851,1
40,4.30702,-0.107685,1
41,4.29674,0.60503,1
42,4.03765,0.00249412,1
43,5.15323,0.276954,1
44,4.29675,0.152049,1
45,4.00786,-0.0671036,1
46,3.69175,-0.550353,1
47,2.87988,0.363631,1
48,3.74257,1.18664,1
49,3.97348,0.506361,1
50,8.32419,-1.17856,2
51,7.73708,1.44513,2
52,7.1999,0.28729,2
53,8.07462,0.337588,2
54,7.54879,-0.310762,2
55,7.56662,-0.704622,2
56,9.24661,-0.121555,2
57,8.81637,0.276002,2
58,8.64203,0.415519,2
59,7.44744,-0.46857,2
60,7.41791,0.548326,2
61,8.29063,-0.846479,2
62,7.9532,-0.955921,2
63,7.6995,0.31141,2
64,7.61241,0.37876,2
65,7.76966,-0.232545,2
66,8.11709,0.103819,2
67,7.90047,-0.517087,2
68,7.65481,-0.248699,2
69,8.65947,-0.370796,2
70,7.81227,0.269439,2
71,8.38809,-0.17127,2
72,7.56891,0.538494,2
73,7.61015,0.278909,2
74,7.84017,-0.790742,2
75,12.2809,0.303709,3
76,11.1523,-0.336136,3
77,11.3569,-0.497622,3
78,12.4477,-0.291661,3
79,11.7262,0.552916,3
80,12.3093,-0.279156,3
81,11.9166,0.447148,3
82,12.0,0.00645392,3
83,13.0704,0.591449,3
84,11.6717,0.569751,3
85,11.4784,0.698509,3
86,12.8676,-0.979057,3
87,12.503,-0.280088,3
88,11.4247,0.0910561,3
89,13.0199,-0.0895692,3
90,12.9604,0.265662,3
91,12.1187,-0.110861,3
92,13.0311,-0.226739,3
93,11.2842,0.562014,3
94,12.2879,0.234708,3
95,11.9574,-0.36161,3
96,12.3445,-0.725916,3
97,12.8942,0.145759,3
98,11.6446,-0.416159,3
99,11.6631,-1.54415,3
100,15.6993,-0.416461,4
101,15.9364,0.338083,4
102,16.6751,-0.141313,4
103,16.273,0.777651,4
104,15.7235,0.742506,4
105,15.8778,-0.186271,4
106,15.5987,-0.302537,4
107,16.8896,1.03886,4
108,15.4213,-0.609232,4
109,16.9586,0.130016,4
110,15.7548,0.202269,4
111,16.5594,0.52837,4
112,16.5707,-0.31159,4
113,14.5954,-0.512358,4
114,15.8228,0.130091,4
115,16.5049,-0.0937206,4
116,16.0924,-0.392365,4
117,15.6908,0.233581,4
118,16.0681,0.133851,4
119,16.525,0.902382,4
120,15.965,0.91102,4
121,16.6208,0.790518,4
122,16.271,-0.479934,4
123,15.7912,-0.0525799,4
124,15.7649,0.199848,4
125,-0.400469,4.53691,5
126,-0.0968634,4.50867,5
127,-0.187944,4.02405,5
128,-0.873714,3.76999,5
129,0.935654,5.37757,5
130,-0.346292,3.73288,5
131,1.11593,4.0069,5
132,0.728485,4.66706,5
133,0.175503,5.11378,5
134,0.552438,3.62921,5
135,-0.0639243,4.12319,5
136,0.00233343,4.02054,5
137,0.487888,3.76658,5
138,0.237496,3.4453,5
139,-0.586712,4.41836,5
140,0.25498,4.32225,5
141,0.753669,3.8778,5
142,-0.255619,3.6784,5
143,-0.0664025,3.56703,5
144,0.50721,4.28617,5
145,0.175297,3.96575,5
146,1.10055,3.66583,5
147,0.69815,4.33183,5
148,0.103895,3.73596,5
149,0.882744,4.82995,5
150,3.60791,4.35873,6
151,4.02089,3.89618,6
152,4.4513,4.28694,6
153,4.19773,4.09148,6
154,4.10998,3.95141,6
155,4.18485,3.69915,6
156,4.75913,4.60196,6
157,3.92758,4.06112,6
158,3.82976,4.37559,6
159,3.62118,3.56982,6
160,3.01888,3.89984,6
161,3.74945,4.49419,6
162,3.41476,4.53944,6
163,4.00047,4.8749,6
164,4.48065,4.44873,6
165,3.93146,3.67659,6
166,3.75353,3.79958,6
167,4.16299,4.31182,6
168,3.99231,3.93775,6
169,4.15217,3.4812,6
170,4.3181,3.75948,6
171,4.67728,4.65658,6
172,3.79562,3.55473,6
173,3.88985,3.79529,6
174,3.93726,4.27393,6
175,8.29873,3.38475,7
176,8.22472,3.16729,7
177,7.72151,3.84654,7
178,7.35678,4.08594,7
179,8.80231,4.07732,7
180,7.95642,4.54662,7
181,7.41659,3.64959,7
182,7.71529,3.93861,7
183,7.79562,3.76861,7
184,7.56522,3.882,7
185,7.69313,3.5759,7
186,6.66802,4.34386,7
187,7.99377,4.19416,7
188,8.219,4.25412,7
189,7.0989,4.72362,7
190,8.50083,4.93503,7
191,9.34245,4.51824,7
192,7.88111,3.89439,7
193,7.86579,3.83493,7
194,8.60149,3.59284,7
195,7.99102,3.7765,7
196,7.87104,4.22742,7
197,8.2503,4.39172,7
198,7.02483,4.00498,7
199,8.34851,4.62209,7
200,12.0397,3.56849,8
201,12.5822,4.03329,8
202,12.5281,3.82999,8
203,12.5537,4.04238,8
204,12.4262,4.38597,8
205,12.579,3.99377,8
206,11.9759,4.12265,8
207,13.2895,4.50097,8
208,12.3915,4.28201,8
209,11.9145,3.38511,8
210,12.3275,4.50976,8
211,12.2082,4.31848,8
212,11.9116,3.76931,8
213,12.2697,4.04646,8
214,12.6677,4.44352,8
215,12.112,3.17371,8
216,12.3845,3.37243,8
217,11.8085,4.68242,8
218,11.9154,3.66935,8
219,12.6266,4.77965,8
220,11.7132,4.10217,8
221,12.3003,4.86216,8
222,11.6807,4.44927,8
223,11.2805,4.15022,8
224,11.4623,3.63941,8
225,15.8416,3.52499,9
226,15.5225,2.84921,9
227,16.7106,4.67125,9
228,15.8422,3.16156,9
229,15.5107,3.45824,9
230,16.0057,4.56791,9
231,16.594,4.48895,9
232,16.3173,4.23208,9
233,16.1673,3.45855,9
234,16.3178,3.36127,9
235,17.0975,3.20025,9
236,15.9159,3.75032,9
237,15.334,3.40451,9
238,15.7469,3.87649,9
239,17.1669,3.95842,9
240,16.311,3.27976,9
241,15.8008,4.54787,9
242,16.1231,3.68588,9
243,16.3409,4.08619,9
244,16.5888,4.41906,9
245,15.6103,4.48753,9
246,16.6368,3.85915,9
247,16.3442,3.76203,9
248,15.3046,4.00494,9
249,15.9868,4.47535,9
250,-0.238043,7.77529,10
251,-0.156919,7.91536,10
252,-0.477023,8.4939,10
253,1.05136,8.1613,10
254,-0.0806346,8.01404,10
255,0.437855,8.90328,10
256,0.854143,7.79479,10
257,0.0205852,7.81385,10
258,0.0573788,7.36663,10
259,0.0146803,8.31008,10
260,-0.000501475,8.15822,10
261,0.377673,7.26594,10
262,0.0652555,7.36144,10
263,-0.725486,8.16953,10
264,-0.561303,6.94982,10
265,-0.262935,7.89618,10
266,-0.126494,7.98927,10
267,0.122046,7.31109,10
268,-0.233286,8.31813,10
269,-0.0951861,8.38905,10
270,-0.0459457,7.75927,10
271,0.291698,7.98718,10
272,0.789141,8.18664,10
273,0.195394,7.81626,10
274,0.183484,7.96095,10
275,3.82378,8.19359,11
276,2.64181,8.22515,11
277,3.68237,7.66394,11
278,3.94599,8.80704,11
279,4.21587,8.51938,11
280,4.4694,8.2143,11
281,4.64999,8.54899,11
282,4.25338,8.30637,11
283,3.63877,7.91247,11
284,3.08302,7.77863,11
285,3.5907,7.34658,11
286,4.9149,7.91834,11
287,3.49211,7.41565,11
288,3.965,8.9205,11
289,4.20597,7.05887,11
290,4.09382,7.81821,11
291,4.58079,8.10268,11
292,4.34856,7.87344,11
293,3.80219,7.44517,11
294,4.39093,7.50505,11
295,3.28161,7.42356,11
296,4.95557,7.18295,11
297,4.7,8.31714,11
298,3.65486,8.4101,11
299,3.69912,8.51398,11
300,7.55276,8.55086,12
301,7.78987,6.79719,12
302,8.55566,8.11632,12
303,8.02022,8.3045,12
304,7.54463,8.69394,12
305,8.36397,7.81641,12
306,7.72049,8.72943,12
307,8.10773,7.82423,12
308,8.14186,8.57309,12
309,8.64493,7.5114,12
310,8.93473,7.40131,12
311,7.83365,7.17706,12
312,9.01344,8.44753,12
313,7.1984,7.65443,12
314,8.57559,8.26139,12
315,8.10794,7.92101,12
316,6.87298,7.54991,12
317,7.95203,7.61078,12
318,7.59422,8.04617,12
319,7.70636,8.95698,12
320,7.96514,7.94858,12
321,7.8508,7.94113,12
322,7.02758,8.31633,12
323,8.59756,8.34825,12
324,7.61358,8.11069,12
325,11.8626,7.91218,13
326,11.4723,8.44743,13
327,12.2005,8.2181,13
328,11.6484,7.13005,13
329,12.0303,9.45924,13
330,12.2685,7.4675,13
331,11.3471,7.75341,13
332,11.6244,7.4704,13
333,12.2907,8.84796,13
334,11.8822,8.21831,13
335,12.1229,7.6639,13
336,12.4616,7.547,13
337,12.625,7.61878,13
338,12.0227,8.45424,13
339,11.4506,8.85839,13
340,11.4776,8.94921,13
341,12.3313,7.87894,13
342,11.8247,8.12964,13
343,12.2947,8.23479,13
344,12.3245,7.58659,13
345,11.4545,9.28397,13
346,11.7065,8.00276,13
347,11.5713,8.60388,13
348,13.0731,7.54767,13
349,11.6684,8.06806,13
350,15.2812,8.45972,14
351,15.8221,7.89977,14
352,16.395,7.51146,14
353,16.2387,7.98565,14
354,15.4244,7.3249,14
355,15.5004,8.01048,14
356,16.1344,7.58169,14
357,15.52,8.88884,14
358,17.1112,8.9034,14
359,14.8586,8.37262,14
360,15.9951,7.53108,14
361,16.2455,8.18902,14
362,15.8333,7.76508,14
363,15.4944,7.61279,14
364,16.6565,8.38178,14
365,15.494,8.08684,14
366,14.5039,8.28948,14
367,16.9246,8.62038,14
368,16.2885,7.38404,14
369,16.104,7.82267,14
370,16.1326,7.69581,14
371,15.8592,8.30326,14
372,15.3785,7.97671,14
373,15.6521,7.99903,14
374,15.6945,8.73113,14
375,0.909529,13.4163,15
376,0.651567,11.5584,15
377,0.359847,11.9278,15
378,0.223655,11.7149,15
379,0.407562,11.7086,15
380,0.0578853,12.3926,15
381,-0.656921,12.4511,15
382,-0.35719,12.6263,15
383,0.140048,11.842,15
384,-0.5763,11.0048,15
385,0.268712,11.109,15
386,0.141295,11.3359,15
387,0.530255,11.7258,15
388,-0.271167,12.9722,15
389,1.56196,11.7119,15
390,0.122903,11.5137,15
391,0.498132,11.2111,15
392,-0.417756,11.825,15
393,0.193604,11.5293,15
