,x,y,class
0,0.2295062133,0.8231317126,1
1,0.2101823209,0.7710729392,1
2,0.1710677122,0.857589455,1
3,0.2182434214,0.9136487062,1
4,0.2507282651,0.8073085602,1
5,0.1994095722,0.7565814927,1
6,0.1590357035,0.8881813393,1
7,0.1743493924,0.8473925476,1
8,0.3180025733,0.8186812575,1
9,0.2729018852,0.8354528724,1
10,0.0937149028,0.7227351659,1
11,0.1303203585,0.8334381745,1
12,0.2316561962,0.8951921453,1
13,0.1903300667,0.8112003412,1
14,0.1971507791,0.7457021196,1
15,0.1983478478,0.7614323973,1
16,0.2175292865,0.7084857016,1
17,0.2230580237,0.8493925514,1
18,0.2094968987,0.7810227163,1
19,0.2553484068,0.7978636125,1
20,0.2091656314,0.7920226301,1
21,0.1860555797,0.8474874123,1
22,0.1504754627,0.8092128803,1
23,0.1933739477,0.7967288822,1
24,0.2443930951,0.7927364195,1
25,0.1599559865,0.7776241195,1
26,0.1997999767,0.7879802506,1
27,0.1745159065,0.7726214463,1
28,0.1993017931,0.788564055,1
29,0.1906488565,0.7253801069,1
30,0.1654824344,0.7919097619,1
31,0.1933897139,0.8274636881,1
32,0.1440199483,0.8352059722,1
33,0.2265429151,0.7955684867,1
34,0.2050613413,0.8259944822,1
35,0.2272505588,0.8387429834,1
36,0.1340929211,0.6923955636,1
37,0.2317055547,0.8588710522,1
38,0.2220807751,0.8838338257,1
39,0.168088908,0.700906032,1
40,0.1780379718,0.73965244,1
41,0.1865979829,0.6194705074,1
42,0.2264106998,0.8221386633,1
43,0.1161104609,0.9163103228,1
44,0.2550019907,0.6641692659,1
45,0.2028333753,0.7724065584,1
46,0.2700145055,0.8434091783,1
47,0.2286817023,0.8385807524,1
48,0.2208976732,0.8173210361,1
49,0.1561094449,0.7917144674,1
50,0.7493861869,0.360956012,2
51,0.6191840157,0.3322562009,2
52,0.7397448033,0.3634553523,2
53,0.7206264906,0.2829094061,2
54,0.6989113066,0.3028658052,2
55,0.6983478486,0.3325899334,2
56,0.6815415352,0.4268278147,2
57,0.7708858042,0.31903459,2
58,0.6490624488,0.2558056944,2
59,0.6259773821,0.303398458,2
60,0.8757273278,0.2887807529,2
61,0.6895577252,0.3054917826,2
62,0.6067810337,0.3537047857,2
63,0.7057724515,0.3356996144,2
64,0.7825946084,0.3000068493,2
65,0.7971454866,0.2861692643,2
66,0.7980992111,0.3695142891,2
67,0.5898914901,0.2728186798,2
68,0.6181676841,0.3770006718,2
69,0.5383013211,0.2871725323,2
70,0.7664987186,0.2128083604,2
71,0.7043309662,0.2546147103,2
72,0.6398427399,0.2859645036,2
73,0.7602595787,0.3373340472,2
74,0.663136957,0.2443535585,2
75,0.7568152344,0.2870650189,2
76,0.7562921495,0.2701112064,2
77,0.7237906149,0.2432845564,2
78,0.8088685734,0.3202229747,2
79,0.6639740458,0.2649469824,2
80,0.771943148,0.3111529955,2
81,0.5877914148,0.3553538519,2
82,0.7580682141,0.2470424468,2
83,0.654428988,0.2974793534,2
84,0.626497384,0.3213433179,2
85,0.6297448813,0.2651138368,2
86,0.7557800485,0.1721767004,2
87,0.6615255825,0.3568570948,2
88,0.6660361056,0.3304213937,2
89,0.7666968068,0.3009098857,2
90,0.6792460487,0.3320169928,2
91,0.687607894,0.2753904011,2
92,0.6967061454,0.270449802,2
93,0.718817349,0.3268431085,2
94,0.7540103256,0.1940821363,2
95,0.6989133791,0.2768329113,2
96,0.6977310332,0.2961004933,2
97,0.6681678382,0.3450773249,2
98,0.6047427733,0.3291465936,2
99,0.6832611396,0.3463847482,2
