,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,class
0,b'A11',6.0,b'A34',b'A43',1169.0,b'A65',b'A75',4.0,b'A93',b'A101',4.0,b'A121',67.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
1,b'A12',48.0,b'A32',b'A43',5951.0,b'A61',b'A73',2.0,b'A92',b'A101',2.0,b'A121',22.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
2,b'A14',12.0,b'A34',b'A46',2096.0,b'A61',b'A74',2.0,b'A93',b'A101',3.0,b'A121',49.0,b'A143',b'A152',1.0,b'A172',2.0,b'A191',b'A201',1
3,b'A11',42.0,b'A32',b'A42',7882.0,b'A61',b'A74',2.0,b'A93',b'A103',4.0,b'A122',45.0,b'A143',b'A153',1.0,b'A173',2.0,b'A191',b'A201',1
4,b'A11',24.0,b'A33',b'A40',4870.0,b'A61',b'A73',3.0,b'A93',b'A101',4.0,b'A124',53.0,b'A143',b'A153',2.0,b'A173',2.0,b'A191',b'A201',2
5,b'A14',36.0,b'A32',b'A46',9055.0,b'A65',b'A73',2.0,b'A93',b'A101',4.0,b'A124',35.0,b'A143',b'A153',1.0,b'A172',2.0,b'A192',b'A201',1
6,b'A14',24.0,b'A32',b'A42',2835.0,b'A63',b'A75',3.0,b'A93',b'A101',4.0,b'A122',53.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
7,b'A12',36.0,b'A32',b'A41',6948.0,b'A61',b'A73',2.0,b'A93',b'A101',2.0,b'A123',35.0,b'A143',b'A151',1.0,b'A174',1.0,b'A192',b'A201',1
8,b'A14',12.0,b'A32',b'A43',3059.0,b'A64',b'A74',2.0,b'A91',b'A101',4.0,b'A121',61.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
9,b'A12',30.0,b'A34',b'A40',5234.0,b'A61',b'A71',4.0,b'A94',b'A101',2.0,b'A123',28.0,b'A143',b'A152',2.0,b'A174',1.0,b'A191',b'A201',2
10,b'A12',12.0,b'A32',b'A40',1295.0,b'A61',b'A72',3.0,b'A92',b'A101',1.0,b'A123',25.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',2
11,b'A11',48.0,b'A32',b'A49',4308.0,b'A61',b'A72',3.0,b'A92',b'A101',4.0,b'A122',24.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',2
12,b'A12',12.0,b'A32',b'A43',1567.0,b'A61',b'A73',1.0,b'A92',b'A101',1.0,b'A123',22.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
13,b'A11',24.0,b'A34',b'A40',1199.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A123',60.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',2
14,b'A11',15.0,b'A32',b'A40',1403.0,b'A61',b'A73',2.0,b'A92',b'A101',4.0,b'A123',28.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
15,b'A11',24.0,b'A32',b'A43',1282.0,b'A62',b'A73',4.0,b'A92',b'A101',2.0,b'A123',32.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',2
16,b'A14',24.0,b'A34',b'A43',2424.0,b'A65',b'A75',4.0,b'A93',b'A101',4.0,b'A122',53.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
17,b'A11',30.0,b'A30',b'A49',8072.0,b'A65',b'A72',2.0,b'A93',b'A101',3.0,b'A123',25.0,b'A141',b'A152',3.0,b'A173',1.0,b'A191',b'A201',1
18,b'A12',24.0,b'A32',b'A41',12579.0,b'A61',b'A75',4.0,b'A92',b'A101',2.0,b'A124',44.0,b'A143',b'A153',1.0,b'A174',1.0,b'A192',b'A201',2
19,b'A14',24.0,b'A32',b'A43',3430.0,b'A63',b'A75',3.0,b'A93',b'A101',2.0,b'A123',31.0,b'A143',b'A152',1.0,b'A173',2.0,b'A192',b'A201',1
20,b'A14',9.0,b'A34',b'A40',2134.0,b'A61',b'A73',4.0,b'A93',b'A101',4.0,b'A123',48.0,b'A143',b'A152',3.0,b'A173',1.0,b'A192',b'A201',1
21,b'A11',6.0,b'A32',b'A43',2647.0,b'A63',b'A73',2.0,b'A93',b'A101',3.0,b'A121',44.0,b'A143',b'A151',1.0,b'A173',2.0,b'A191',b'A201',1
22,b'A11',10.0,b'A34',b'A40',2241.0,b'A61',b'A72',1.0,b'A93',b'A101',3.0,b'A121',48.0,b'A143',b'A151',2.0,b'A172',2.0,b'A191',b'A202',1
23,b'A12',12.0,b'A34',b'A41',1804.0,b'A62',b'A72',3.0,b'A93',b'A101',4.0,b'A122',44.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
24,b'A14',10.0,b'A34',b'A42',2069.0,b'A65',b'A73',2.0,b'A94',b'A101',1.0,b'A123',26.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A202',1
25,b'A11',6.0,b'A32',b'A42',1374.0,b'A61',b'A73',1.0,b'A93',b'A101',2.0,b'A121',36.0,b'A141',b'A152',1.0,b'A172',1.0,b'A192',b'A201',1
26,b'A14',6.0,b'A30',b'A43',426.0,b'A61',b'A75',4.0,b'A94',b'A101',4.0,b'A123',39.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
27,b'A13',12.0,b'A31',b'A43',409.0,b'A64',b'A73',3.0,b'A92',b'A101',3.0,b'A121',42.0,b'A143',b'A151',2.0,b'A173',1.0,b'A191',b'A201',1
28,b'A12',7.0,b'A32',b'A43',2415.0,b'A61',b'A73',3.0,b'A93',b'A103',2.0,b'A121',34.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
29,b'A11',60.0,b'A33',b'A49',6836.0,b'A61',b'A75',3.0,b'A93',b'A101',4.0,b'A124',63.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',2
30,b'A12',18.0,b'A32',b'A49',1913.0,b'A64',b'A72',3.0,b'A94',b'A101',3.0,b'A121',36.0,b'A141',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
31,b'A11',24.0,b'A32',b'A42',4020.0,b'A61',b'A73',2.0,b'A93',b'A101',2.0,b'A123',27.0,b'A142',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
32,b'A12',18.0,b'A32',b'A40',5866.0,b'A62',b'A73',2.0,b'A93',b'A101',2.0,b'A123',30.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
33,b'A14',12.0,b'A34',b'A49',1264.0,b'A65',b'A75',4.0,b'A93',b'A101',4.0,b'A124',57.0,b'A143',b'A151',1.0,b'A172',1.0,b'A191',b'A201',1
34,b'A13',12.0,b'A32',b'A42',1474.0,b'A61',b'A72',4.0,b'A92',b'A101',1.0,b'A122',33.0,b'A141',b'A152',1.0,b'A174',1.0,b'A192',b'A201',1
35,b'A12',45.0,b'A34',b'A43',4746.0,b'A61',b'A72',4.0,b'A93',b'A101',2.0,b'A122',25.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',2
36,b'A14',48.0,b'A34',b'A46',6110.0,b'A61',b'A73',1.0,b'A93',b'A101',3.0,b'A124',31.0,b'A141',b'A153',1.0,b'A173',1.0,b'A192',b'A201',1
37,b'A13',18.0,b'A32',b'A43',2100.0,b'A61',b'A73',4.0,b'A93',b'A102',2.0,b'A121',37.0,b'A142',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
38,b'A13',10.0,b'A32',b'A44',1225.0,b'A61',b'A73',2.0,b'A93',b'A101',2.0,b'A123',37.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
39,b'A12',9.0,b'A32',b'A43',458.0,b'A61',b'A73',4.0,b'A93',b'A101',3.0,b'A121',24.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
40,b'A14',30.0,b'A32',b'A43',2333.0,b'A63',b'A75',4.0,b'A93',b'A101',2.0,b'A123',30.0,b'A141',b'A152',1.0,b'A174',1.0,b'A191',b'A201',1
41,b'A12',12.0,b'A32',b'A43',1158.0,b'A63',b'A73',3.0,b'A91',b'A101',1.0,b'A123',26.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
42,b'A12',18.0,b'A33',b'A45',6204.0,b'A61',b'A73',2.0,b'A93',b'A101',4.0,b'A121',44.0,b'A143',b'A152',1.0,b'A172',2.0,b'A192',b'A201',1
43,b'A11',30.0,b'A34',b'A41',6187.0,b'A62',b'A74',1.0,b'A94',b'A101',4.0,b'A123',24.0,b'A143',b'A151',2.0,b'A173',1.0,b'A191',b'A201',1
44,b'A11',48.0,b'A34',b'A41',6143.0,b'A61',b'A75',4.0,b'A92',b'A101',4.0,b'A124',58.0,b'A142',b'A153',2.0,b'A172',1.0,b'A191',b'A201',2
45,b'A14',11.0,b'A34',b'A40',1393.0,b'A61',b'A72',4.0,b'A92',b'A101',4.0,b'A123',35.0,b'A143',b'A152',2.0,b'A174',1.0,b'A191',b'A201',1
46,b'A14',36.0,b'A32',b'A43',2299.0,b'A63',b'A75',4.0,b'A93',b'A101',4.0,b'A123',39.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
47,b'A11',6.0,b'A32',b'A41',1352.0,b'A63',b'A71',1.0,b'A92',b'A101',2.0,b'A122',23.0,b'A143',b'A151',1.0,b'A171',1.0,b'A192',b'A201',1
48,b'A14',11.0,b'A34',b'A40',7228.0,b'A61',b'A73',1.0,b'A93',b'A101',4.0,b'A122',39.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
49,b'A14',12.0,b'A32',b'A43',2073.0,b'A62',b'A73',4.0,b'A92',b'A102',2.0,b'A121',28.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
50,b'A12',24.0,b'A33',b'A42',2333.0,b'A65',b'A72',4.0,b'A93',b'A101',2.0,b'A122',29.0,b'A141',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
51,b'A12',27.0,b'A33',b'A41',5965.0,b'A61',b'A75',1.0,b'A93',b'A101',2.0,b'A123',30.0,b'A143',b'A152',2.0,b'A174',1.0,b'A192',b'A201',1
52,b'A14',12.0,b'A32',b'A43',1262.0,b'A61',b'A73',3.0,b'A93',b'A101',2.0,b'A123',25.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
53,b'A14',18.0,b'A32',b'A41',3378.0,b'A65',b'A73',2.0,b'A93',b'A101',1.0,b'A122',31.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
54,b'A12',36.0,b'A33',b'A40',2225.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A124',57.0,b'A141',b'A153',2.0,b'A173',1.0,b'A192',b'A201',2
55,b'A14',6.0,b'A31',b'A40',783.0,b'A65',b'A73',1.0,b'A93',b'A103',2.0,b'A121',26.0,b'A142',b'A152',1.0,b'A172',2.0,b'A191',b'A201',1
56,b'A12',12.0,b'A32',b'A43',6468.0,b'A65',b'A71',2.0,b'A93',b'A101',1.0,b'A124',52.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',2
57,b'A14',36.0,b'A34',b'A43',9566.0,b'A61',b'A73',2.0,b'A92',b'A101',2.0,b'A123',31.0,b'A142',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
58,b'A13',18.0,b'A32',b'A40',1961.0,b'A61',b'A75',3.0,b'A92',b'A101',2.0,b'A123',23.0,b'A143',b'A152',1.0,b'A174',1.0,b'A191',b'A201',1
