,x,y,class
0,-5.5538,0.561013,0
1,-6.48494,6.32478,0
2,-5.71956,5.52794,0
3,-6.38215,5.17034,0
4,-6.01679,3.07758,0
5,-6.01846,4.79616,0
6,-6.01227,6.4737,0
7,-5.46068,5.22418,0
8,-5.95261,5.38285,0
9,-6.46936,6.76123,0
10,-6.10169,5.76893,0
11,-4.84795,5.991,0
12,-5.13455,5.02859,0
13,-8.62973,3.38394,0
14,-5.67727,5.40218,0
15,-3.68992,3.57811,0
16,-4.93594,4.59442,0
17,-6.00821,5.42598,0
18,-5.58433,5.892,0
19,-6.46587,5.09685,0
20,-5.51081,3.53541,0
21,-5.46751,5.62884,0
22,-4.71418,5.04396,0
23,-4.25315,3.89072,0
24,-3.03618,3.91557,0
25,-5.30597,5.02881,0
26,-5.00902,6.24916,0
27,-5.2256,4.47079,0
28,-2.95128,5.12341,0
29,-5.89386,5.48168,0
30,-3.50281,4.99085,0
31,-4.73937,5.60602,0
32,-3.01446,6.69575,0
33,-5.55209,5.47763,0
34,-5.18979,6.96739,0
35,-3.69935,6.90111,0
36,-5.32046,1.6687,0
37,-6.17828,6.57676,0
38,-4.80562,5.13304,0
39,-2.93172,2.82274,0
40,-5.56137,3.75279,0
41,-2.58879,7.64645,0
42,-7.34446,5.88776,0
43,-3.54352,5.90599,0
44,-7.54487,7.49871,0
45,-5.28389,3.48979,0
46,-5.89679,6.39172,0
47,-8.20351,4.00773,0
48,-5.2678,4.78224,0
49,-6.89723,5.48855,0
50,-5.24779,5.29832,0
51,-4.02118,5.09547,0
52,-3.76136,7.9317,0
53,-5.57312,0.0,0
54,-5.78186,6.74538,0
55,-4.49065,5.20749,0
56,-5.56968,4.1766,0
57,-4.40403,6.19029,0
58,-5.26131,5.19262,0
59,0.0,8.07708,3
60,-5.70507,6.32683,0
61,-5.28073,5.68546,0
62,-5.27156,5.35248,0
63,-4.86771,8.04125,0
64,-3.66952,3.63414,0
65,-6.54304,5.62981,0
66,-6.30769,5.04971,0
67,-6.59916,5.36963,0
68,-3.09429,4.73249,0
69,-5.50309,4.78656,0
70,-3.7504,6.49037,0
71,-3.53147,6.74278,0
72,-6.67045,5.39207,0
73,-3.91602,5.03638,0
74,-6.21466,6.88665,0
75,-7.85139,4.44472,0
76,-5.83847,0.135315,0
