,x,y,class
0,3.277701,0.814082,1
1,0.387577,0.17678,1
2,0.268546,0.582963,1
3,2.031145,0.244597,1
4,0.188677,0.46128,1
5,3.525472,0.265579,1
6,2.229583,0.682189,1
7,3.392074,0.420976,1
8,3.589815,0.832527,1
9,1.227873,0.810909,1
10,1.300699,0.146538,1
11,3.596968,0.421791,1
12,3.106757,0.779664,1
13,0.221139,0.612603,1
14,1.496841,0.495985,1
15,2.860498,0.535719,1
16,1.45071,0.142352,1
17,1.745799,0.066373,1
18,1.4048,0.32968,1
19,1.7696,0.777809,1
20,0.464511,0.672442,1
21,2.750803,0.16552,1
22,1.571006,0.091428,1
23,1.18166,0.857799,1
24,0.661957,0.612812,1
25,0.828567,0.798048,1
26,3.313914,0.216602,1
27,3.625645,0.538592,1
28,3.611238,0.584716,1
29,2.904519,0.465036,1
30,3.080431,0.24549,1
31,3.851167,0.574214,1
32,0.944956,0.077006,1
33,3.834215,0.224878,1
34,2.179064,0.784896,1
35,2.716449,0.944268,1
36,0.02978,0.931252,1
37,0.095525,0.349743,1
38,3.835506,0.889721,1
39,1.142732,0.811691,1
40,3.747439,0.654886,1
41,0.948862,0.122011,1
42,0.160755,0.702042,1
43,3.288779,0.737797,1
44,1.35625,0.029101,1
45,0.91626,0.59616,1
46,1.252876,0.500998,1
47,2.471178,0.39643,1
48,2.364922,0.992772,1
49,2.172301,0.283717,1
50,0.671267,0.055467,1
51,2.165402,0.152,1
52,2.661288,0.467768,1
53,1.92646,0.74119,1
54,1.899647,0.649203,1
55,3.82986,0.726794,1
56,1.133497,0.516173,1
57,2.309857,0.767935,1
58,1.371371,0.956664,1
59,0.151858,0.284416,1
60,2.096938,0.411357,1
61,1.30049,0.720155,1
62,3.534799,0.181775,1
63,1.217877,0.460971,1
64,2.726977,0.699328,1
65,0.682141,0.054686,1
66,0.837813,0.912877,1
67,0.799211,0.501879,1
68,0.042015,0.689603,1
69,0.520977,0.079651,1
70,0.71972,0.445045,1
71,0.197504,0.36273,1
72,1.724494,0.670107,1
73,3.57454,0.08528,1
74,1.416691,0.723741,1
75,3.037057,0.548241,1
76,3.644992,0.349585,1
77,0.049575,0.013442,1
78,1.023898,0.977225,1
79,1.815563,0.32859,1
80,2.312471,0.520445,1
81,0.855281,0.42998,1
82,0.760641,0.724534,1
83,1.48494,0.793583,1
84,2.725697,0.764628,1
85,2.789323,0.243674,1
86,3.803611,0.25148,1
87,1.591552,0.431951,1
88,3.102531,0.674293,1
89,0.565235,0.679348,1
90,0.985402,0.187597,1
91,2.948159,0.311962,1
92,1.323618,0.644543,1
93,0.552512,0.648435,1
94,0.635387,0.474052,1
95,3.928676,0.204357,1
96,0.780925,0.800335,1
97,1.872623,0.814694,1
98,2.759808,0.162941,1
99,3.504794,0.648843,1
100,3.683266,0.59175,1
101,2.441121,0.097041,1
102,0.031457,0.462131,1
103,3.387011,0.07938,1
104,1.982598,0.588441,1
105,2.696483,0.24238,1
106,1.159278,0.190088,1
107,0.576024,0.996298,1
108,3.538351,0.281543,1
109,3.304712,0.77258,1
110,0.438501,0.884463,1
111,1.937908,0.82629,1
112,1.434005,0.338369,1
113,3.112876,0.655144,1
114,0.413395,0.150636,1
115,1.358768,0.479656,1
116,1.731313,0.95869,1
117,2.130866,0.004658,1
118,0.057906,0.933944,1
119,1.365225,0.699019,1
120,3.101071,0.982575,1
121,0.331075,0.263808,1
122,1.086791,0.353972,1
123,1.996396,0.528335,1
124,3.845884,0.795806,1
125,0.985853,0.434387,1
126,1.688165,0.938172,1
127,0.161953,0.829518,1
128,0.287702,0.857928,1
129,0.972789,0.916516,1
130,1.30506,0.621873,1
131,3.515395,0.462665,1
132,1.736284,0.812699,1
133,1.788111,0.112125,1
134,0.692963,0.831389,1
135,0.459059,0.283671,1
136,1.421594,0.942622,1
137,3.222115,0.997386,1
138,3.055062,0.603635,1
139,3.439667,0.514822,1
140,2.742587,0.603127,1
141,0.258403,0.395579,1
142,1.707936,0.209115,1
143,3.110911,0.81924,1
144,2.199103,0.812362,1
145,1.784882,0.387625,1
146,1.886291,0.684541,1
147,2.886793,0.942807,1
148,2.7774,0.706607,1
149,1.463492,0.491627,1
150,2.073286,0.916573,1
151,3.728174,0.954035,1
152,0.0787,0.263543,1
153,1.37351,0.62181,1
154,0.698877,0.482423,1
155,0.448893,0.098618,1
156,0.735566,0.119708,1
157,2.724216,0.58073,1
158,1.635384,0.533324,1
159,1.288393,0.847085,1
160,1.18528,0.543564,1
161,0.452272,0.70928,1
162,1.020964,0.583399,1
163,3.465723,0.52496,1
164,2.532696,0.959479,1
165,0.985995,0.008335,1
166,2.750285,0.620354,1
167,2.577899,0.245998,1
168,3.036657,0.930898,1
169,1.564616,0.954967,1
170,1.518451,0.978359,1
171,3.142274,0.434848,1
172,1.483197,0.185676,1
173,1.293469,0.897792,1
174,3.176521,0.047388,1
175,0.398666,0.166009,1
176,1.717029,0.111247,1
177,2.777236,0.026691,1
178,2.702432,0.510408,1
179,1.807774,0.762573,1
180,2.882574,0.514512,1
181,3.29973,0.231124,1
182,0.725724,0.585824,1
183,2.92698,0.244504,1
184,1.434889,0.489006,1
185,3.61203,0.621951,1
186,1.258017,0.242269,1
187,1.286561,0.568048,1
188,0.689474,0.760472,1
189,0.598052,0.279905,1
190,3.499457,0.153595,1
191,3.093691,0.158748,1
192,1.431273,0.568599,1
193,0.460369,0.295192,1
194,0.884156,0.513333,1
195,3.275009,0.432164,1
196,1.164767,0.62918,1
197,0.039219,0.052828,1
198,2.412745,0.512431,1
199,0.833625,0.325255,1
200,0.725273,3.965634,2
201,0.573147,2.923034,2
202,1.177763,2.565923,2
203,0.661644,3.973707,2
204,0.652245,2.253018,2
205,0.812158,3.260725,2
206,0.652892,1.693079,2
207,0.963136,4.958545,2
208,1.328618,3.566781,2
209,1.49669,5.272268,2
210,1.152723,3.543348,2
211,1.369882,2.380564,2
212,1.49389,4.247095,2
213,1.34549,5.278332,2
214,0.819666,4.616232,2
215,1.107822,4.153609,2
216,1.283312,4.321069,2
217,0.748762,1.619142,2
218,0.821916,4.852253,2
219,0.90795,3.163114,2
220,1.060966,1.963245,2
221,1.20534,4.321613,2
222,1.477937,5.03948,2
223,1.097946,2.953946,2
224,0.938634,3.012962,2
225,0.780331,5.235518,2
226,0.903332,4.814365,2
227,0.5591,3.571814,2
228,1.173636,2.044423,2
229,1.347315,5.234,2
230,1.288732,2.683106,2
