,x,y,class
0,845753.0,636607.0,4
1,812954.0,643720.0,4
2,868217.0,609046.0,4
3,920248.0,607272.0,4
4,841621.0,639394.0,4
5,843907.0,598777.0,4
6,817712.0,620917.0,4
7,865980.0,632292.0,4
8,876539.0,639944.0,4
9,805247.0,642901.0,4
10,829227.0,565484.0,4
11,834679.0,669557.0,4
12,851242.0,630615.0,4
13,890325.0,702688.0,4
14,832159.0,638667.0,4
15,833736.0,637738.0,4
16,778784.0,571492.0,4
17,844489.0,672382.0,4
18,825802.0,638894.0,4
19,875471.0,622426.0,4
20,879225.0,639387.0,4
21,819482.0,633447.0,4
22,818212.0,633262.0,4
23,839324.0,651033.0,4
24,817439.0,678071.0,4
25,876202.0,600942.0,4
26,841025.0,623927.0,4
27,850781.0,619234.0,4
28,754610.0,657392.0,4
29,842733.0,640979.0,4
30,881538.0,613492.0,4
31,804685.0,671123.0,4
32,877083.0,575129.0,4
33,847312.0,655073.0,4
34,827558.0,623170.0,4
35,896258.0,707205.0,4
36,829939.0,644422.0,4
37,880719.0,597439.0,4
38,828313.0,669762.0,4
39,778978.0,589645.0,4
40,832323.0,624353.0,4
41,838906.0,655174.0,4
42,913673.0,576755.0,4
43,875535.0,587227.0,4
44,797487.0,625675.0,4
45,893942.0,596033.0,4
46,770410.0,662419.0,4
47,814804.0,605047.0,4
48,832215.0,638387.0,4
49,840280.0,643770.0,4
50,833327.0,621905.0,4
51,763542.0,635170.0,4
52,825599.0,608689.0,4
53,813209.0,683512.0,4
54,938544.0,680392.0,4
55,834393.0,656902.0,4
56,787129.0,643393.0,4
57,801229.0,617139.0,4
58,886144.0,566002.0,4
59,865073.0,661021.0,4
60,796962.0,632416.0,4
61,822877.0,612926.0,4
62,835985.0,639514.0,4
63,908901.0,628142.0,4
64,807989.0,610817.0,4
65,823816.0,651852.0,4
66,818245.0,618659.0,4
67,827601.0,640196.0,4
68,846830.0,641704.0,4
69,829041.0,623258.0,4
70,858850.0,714281.0,4
71,835967.0,564514.0,4
72,835698.0,660461.0,4
73,843223.0,632872.0,4
74,880916.0,697241.0,4
75,813541.0,641007.0,4
76,913911.0,586519.0,4
77,707529.0,693451.0,13
78,846436.0,659041.0,4
