,region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vegde-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturation-mean,hue-mean,class
0,217.0,167.0,0.0,1.0,0.0,56.0,229.0,68.0,183.0,924.0,412.0,562.0,413.0,182.0,503.0,33.0,566.0,803.0,997.0,4.0
1,112.0,119.0,0.0,0.0,0.0,10.0,79.0,10.0,106.0,24.0,0.0,23.0,1.0,351.0,139.0,237.0,23.0,1898.0,697.0,2.0
2,201.0,30.0,0.0,0.0,0.0,69.0,332.0,68.0,419.0,1155.0,593.0,723.0,604.0,89.0,532.0,107.0,727.0,176.0,304.0,5.0
3,31.0,162.0,0.0,0.0,0.0,91.0,629.0,196.0,1018.0,705.0,315.0,411.0,313.0,266.0,338.0,116.0,415.0,372.0,1145.0,4.0
4,60.0,186.0,0.0,0.0,0.0,84.0,570.0,100.0,646.0,787.0,347.0,469.0,351.0,230.0,410.0,80.0,473.0,656.0,1070.0,4.0
5,148.0,174.0,0.0,0.0,0.0,88.0,458.0,109.0,646.0,782.0,357.0,451.0,352.0,267.0,363.0,90.0,455.0,421.0,1242.0,4.0
6,196.0,216.0,0.0,0.0,0.0,83.0,582.0,69.0,197.0,369.0,126.0,159.0,178.0,277.0,98.0,289.0,186.0,878.0,1904.0,3.0
7,28.0,100.0,0.0,0.0,0.0,16.0,75.0,26.0,34.0,126.0,62.0,57.0,27.0,410.0,119.0,193.0,61.0,1558.0,1579.0,0.0
8,0.0,70.0,0.0,0.0,0.0,206.0,1070.0,199.0,1167.0,448.0,125.0,266.0,162.0,178.0,336.0,207.0,268.0,1610.0,47.0,2.0
9,68.0,74.0,0.0,1.0,0.0,122.0,990.0,126.0,1052.0,451.0,182.0,244.0,129.0,348.0,269.0,105.0,246.0,1293.0,1392.0,0.0
10,151.0,72.0,0.0,0.0,0.0,146.0,527.0,57.0,248.0,538.0,207.0,284.0,194.0,289.0,270.0,163.0,286.0,699.0,905.0,1.0
11,246.0,142.0,0.0,0.0,0.0,10.0,15.0,3.0,3.0,10.0,0.0,10.0,0.0,365.0,114.0,248.0,10.0,1836.0,791.0,6.0
12,136.0,130.0,0.0,0.0,0.0,2.0,40.0,2.0,33.0,1.0,0.0,1.0,0.0,374.0,97.0,257.0,1.0,29.0,791.0,6.0
13,85.0,186.0,0.0,1.0,1.0,89.0,553.0,72.0,440.0,968.0,438.0,579.0,445.0,186.0,477.0,56.0,583.0,472.0,880.0,4.0
14,219.0,208.0,0.0,1.0,0.0,103.0,474.0,94.0,933.0,154.0,51.0,48.0,69.0,354.0,69.0,269.0,74.0,1248.0,1664.0,3.0
15,206.0,104.0,0.0,0.0,0.0,74.0,118.0,4.0,5.0,33.0,4.0,26.0,3.0,354.0,139.0,234.0,26.0,1868.0,890.0,6.0
