,x,y,class
0,-0.9173983933,1.3140645692,1
1,-1.4281361302,1.5268668431,1
2,-0.88636236,1.3527769438,1
3,-0.8085286057,1.2744757131,1
4,-1.2801274078,1.3659883692,1
5,-1.0563775887,1.2618544966,1
6,-1.5911913215,1.5159355571,1
7,-0.9703949654,1.7412650195,1
8,-1.1537924054,1.4991907004,1
9,-0.9643144336,1.4819669217,1
10,-1.0423832493,1.2597369838,1
11,-0.6344759434,1.7217237676,1
12,-1.2354838108,1.5018063745,1
13,-1.1579141225,1.4096438748,1
14,-1.4542081535,1.7264951398,1
15,-1.2757556115,1.5582223388,1
16,-0.6967007805,1.4202669276,1
17,-0.8495406921,1.1739205567,1
18,-0.6533427046,1.1293140817,1
19,-1.0862002948,1.6174399249,1
20,-0.817822236,1.3488264001,1
21,-0.8804036889,1.1333057627,1
22,-1.1209673745,1.5785679909,1
23,-1.2222890457,1.6355489867,1
24,-1.1953221819,1.230444496,1
25,-1.1813428488,1.3914696017,1
26,-1.4147349895,1.7059297937,1
27,-1.2506051786,1.3260648184,1
28,-0.9805623159,1.4979158983,1
29,-1.1036554435,1.9009245285,1
30,-1.1376838444,1.6389557369,1
31,-1.1903443817,1.7228299178,1
32,-0.8466694976,1.4870356148,1
33,-1.3666971201,1.4597011068,1
34,-1.2724042637,1.5251709281,1
35,-1.0022171645,1.3772837707,1
36,-1.0989366872,1.6172815665,1
37,-1.2199847827,1.2377589572,1
38,-0.9522656113,1.4216719574,1
39,-1.3012799527,1.6497523294,1
40,-0.8973252151,1.6350270987,1
41,-1.0998918321,1.3248928331,1
42,-0.734249569,1.7106473683,1
43,-1.0563996609,1.6126371352,1
44,-0.8894250918,1.75585302,1
45,-1.0368394802,1.2214224666,1
46,-0.5722628195,1.3862929323,1
47,-1.1577065967,1.683516286,1
48,-0.7837391447,1.3446298141,1
49,-0.8876036264,1.8650652779,1
50,-1.179761333,1.3071497305,1
51,-1.2040191427,1.2295368376,1
52,-0.9301925874,1.3819869417,1
53,-0.7719246702,1.5522117627,1
54,-1.345629603,1.3009999859,1
55,-0.5151357112,1.594746424,1
56,-0.9195445172,1.7732295132,1
57,-1.005059935,1.856209768,1
58,-0.6130457712,1.4549176015,1
59,-0.804368714,1.8470662789,1
60,-0.8642962579,1.4187560183,1
61,-1.1471367133,1.5370399556,1
62,-0.876844477,1.4487014231,1
63,-1.3519171552,1.275247368,1
64,-1.2834519157,1.4849748226,1
65,-1.34357134,1.4741657978,1
66,-1.3133799199,1.5795292695,1
67,-1.0677202202,1.4684128229,1
68,-1.0988970437,1.2054688396,1
69,-1.5442145183,1.905777284,1
70,-0.8848746864,1.3148720735,1
71,-0.7937406963,1.1297036662,1
72,-1.1887317125,1.2477550972,1
73,-0.9402148502,1.6861790994,1
74,-1.0971217463,1.3414221989,1
75,-1.0806775084,1.8523270388,1
76,-1.2014328718,1.5558628015,1
77,-0.9248296164,1.6352808975,1
78,-0.6616153952,0.801877915,1
79,-1.0967823335,1.4619873741,1
80,-1.2746172529,1.645910328,1
81,-1.3258235356,2.0291966549,1
82,-1.3912727422,1.6094392149,1
83,-0.9384066046,1.6140623074,1
84,-0.8868915892,1.6369351339,1
85,-0.8564487404,1.8957724445,1
