,x,y,z,class
0,-0.13,1.39,0.33,1
1,1.21,-0.18,0.65,1
2,1.14,-0.17,0.13,1
3,-0.51,1.29,1.15,1
4,1.08,0.33,1.35,1
5,0.95,-0.14,1.4,1
6,0.87,0.12,-1.05,1
7,0.73,0.49,-0.08,1
8,-0.12,-0.64,-1.11,1
9,0.4,-1.66,-1.02,1
10,-0.52,1.85,0.55,1
11,0.26,-1.26,1.16,1
12,-0.25,0.5,1.4,1
13,0.79,0.72,-0.09,1
14,0.08,1.81,-0.26,1
15,0.8,0.99,-0.84,1
16,0.23,-0.19,-0.22,1
17,0.38,0.82,-0.26,1
18,-1.43,0.4,-1.04,1
19,0.45,0.28,1.55,1
20,0.36,1.33,0.01,1
21,-1.59,0.75,0.64,1
22,0.98,-0.25,-0.58,1
23,0.22,-1.37,0.25,1
24,-0.84,0.67,-1.17,1
25,-0.17,0.76,-0.54,1
26,0.83,-0.95,-1.27,1
27,-0.28,-1.69,-0.87,1
28,-0.44,-0.12,0.92,1
29,1.02,0.12,0.58,1
30,1.44,-1.08,-0.64,1
31,0.71,1.32,-1.0,1
32,0.37,-0.47,1.09,1
33,-1.57,-0.31,0.91,1
34,-1.5,0.89,0.48,1
35,-0.35,-1.04,-0.54,1
36,0.93,0.05,0.23,1
37,1.18,-0.29,-1.48,1
38,-0.38,0.22,-1.52,1
39,-0.82,-1.19,-1.16,1
40,-0.83,-1.36,-0.47,1
41,0.24,-0.53,-1.37,1
42,0.81,1.26,0.89,1
43,-0.74,0.6,1.75,1
44,-1.27,-0.39,0.42,1
45,1.55,0.91,0.81,1
46,0.59,1.83,-0.43,1
47,-1.05,-0.43,-0.89,1
48,-1.04,1.18,-1.14,1
49,1.37,-0.13,0.1,1
50,-0.23,-0.83,1.77,1
51,0.37,-0.98,0.05,1
52,-0.05,-0.16,1.44,1
53,0.62,-1.2,-0.13,1
54,-0.25,-0.61,-1.39,1
55,0.24,-0.72,-1.56,1
56,-1.58,-0.37,0.14,1
57,-0.2,1.72,0.43,1
58,0.7,-0.28,1.3,1
59,-0.93,0.11,1.27,1
