,x,y,class
0,14.86,16.6,1
1,14.13,16.280001,1
2,17.1,16.639999,1
3,14.82,17.4,1
4,17.16,15.54,1
5,16.719999,16.530001,1
6,15.37,15.95,1
7,17.26,14.75,1
8,14.27,15.99,1
9,17.51,16.42,1
10,16.290001,14.13,1
11,15.72,17.85,1
12,15.92,16.709999,1
13,15.86,16.040001,1
14,14.19,15.32,1
15,14.54,15.71,1
16,16.18,15.57,1
17,15.58,16.98,1
18,16.629999,15.6,1
19,17.299999,16.24,1
20,14.94,14.79,1
21,14.61,16.84,1
22,17.940001,16.280001,1
23,15.79,17.879999,1
24,17.690001,16.370001,1
25,15.34,16.58,1
26,15.08,16.540001,1
27,15.33,14.52,1
28,16.129999,15.58,1
29,15.43,16.5,1
30,16.4,15.09,1
31,16.5,15.46,1
32,15.8,14.87,1
33,17.030001,16.17,1
34,15.68,16.6,1
35,16.82,15.14,1
36,16.299999,15.7,1
37,16.15,16.290001,1
38,15.62,14.81,1
39,16.5,17.799999,1
40,14.77,15.24,1
41,15.76,16.639999,1
42,17.639999,15.59,1
43,14.24,16.059999,1
44,15.46,16.09,1
45,17.540001,16.34,1
46,16.1,17.690001,1
47,16.02,15.05,1
48,15.99,14.11,1
49,15.94,15.01,1
50,5.11,3.08,2
51,4.06,3.69,2
52,3.18,4.34,2
53,4.65,4.45,2
54,5.08,4.53,2
55,5.92,6.27,2
56,5.12,5.16,2
57,4.27,4.2,2
58,5.18,5.99,2
59,4.78,4.3,2
60,3.74,4.56,2
61,5.61,3.53,2
62,4.77,4.66,2
63,5.4,5.22,2
64,5.77,4.88,2
65,4.22,3.18,2
66,4.41,6.6,2
67,5.3,3.64,2
68,6.59,5.74,2
69,5.16,6.93,2
70,5.69,5.29,2
71,3.54,4.39,2
72,5.64,4.5,2
73,5.41,6.07,2
74,3.4,4.35,2
75,4.72,3.98,2
76,5.08,5.7,2
77,3.95,4.31,2
78,6.62,5.4,2
79,4.05,4.54,2
80,3.67,5.04,2
81,3.89,6.56,2
82,3.69,6.51,2
83,3.74,5.0,2
84,5.07,3.07,2
85,3.56,4.63,2
86,4.0,6.48,2
87,6.51,4.73,2
88,6.22,4.69,2
89,5.63,5.47,2
90,5.69,5.71,2
91,4.29,5.34,2
92,4.28,6.15,2
93,5.58,4.0,2
94,6.45,4.83,2
95,6.08,6.28,2
96,6.06,6.68,2
97,5.31,5.86,2
98,5.73,5.94,2
99,6.46,5.16,2
100,8.68,9.72,3
101,9.62,9.97,3
102,7.65,9.81,3
103,8.54,7.08,3
104,10.46,7.64,3
105,8.3,7.28,3
106,9.1,8.25,3
107,9.52,9.08,3
108,7.93,9.48,3
109,9.28,10.19,3
110,7.5,8.12,3
111,10.3,8.27,3
112,7.2,8.42,3
113,8.92,9.31,3
114,8.6,9.6,3
115,7.76,10.52,3
116,8.95,9.47,3
117,7.7,9.57,3
118,9.33,8.39,3
119,10.5,8.77,3
120,8.93,8.15,3
121,8.88,8.92,3
122,9.6,10.29,3
123,9.89,10.42,3
124,9.85,8.07,3
125,10.51,10.03,3
126,9.87,7.37,3
127,7.43,9.9,3
128,8.84,7.04,3
129,9.02,9.83,3
130,9.9,10.25,3
131,7.73,8.33,3
132,10.32,8.07,3
133,9.57,10.63,3
134,10.45,10.33,3
135,8.97,9.27,3
136,8.62,9.68,3
137,8.19,9.37,3
138,8.69,9.64,3
139,9.35,10.65,3
140,9.76,8.43,3
141,9.88,8.43,3
142,9.2,9.79,3
143,9.72,8.73,3
144,7.82,8.54,3
145,9.62,8.72,3
146,9.19,9.05,3
147,9.33,10.44,3
148,8.21,7.26,3
149,9.49,8.65,3
150,21.92,20.469999,4
151,21.860001,20.559999,4
152,19.700001,19.02,4
153,20.83,21.219999,4
154,19.129999,18.25,4
155,20.709999,18.290001,4
156,19.07,21.58,4
157,20.280001,20.24,4
158,19.129999,20.18,4
159,19.129999,19.84,4
160,21.52,20.51,4
161,19.370001,21.16,4
162,18.950001,19.42,4
163,18.809999,19.040001,4
164,21.620001,20.879999,4
