,a0,a1,class
0,1.5,0.0,0
1,1.50973,0.0284611,0
2,1.51892,0.0572891,0
3,1.52755,0.0864734,0
4,1.53562,0.116003,0
5,1.54312,0.145868,0
6,1.55003,0.176056,0
7,1.55635,0.206556,0
8,1.56207,0.237356,0
9,1.56717,0.268445,0
10,1.57166,0.29981,0
11,1.57552,0.331439,0
12,1.57873,0.363319,0
13,1.58131,0.395437,0
14,1.58323,0.42778,0
15,1.58448,0.460335,0
16,1.58508,0.493089,0
17,1.58499,0.526027,0
18,1.58422,0.559137,0
19,1.58277,0.592403,0
20,1.58062,0.625812,0
21,1.57777,0.659349,0
22,1.57421,0.692999,0
23,1.56995,0.726748,0
24,1.56497,0.760581,0
25,1.55926,0.794483,0
26,1.55283,0.828439,0
27,1.54567,0.862433,0
28,1.53778,0.896449,0
29,1.52916,0.930473,0
30,1.51979,0.964488,0
31,1.50968,0.998479,0
32,1.49883,1.03243,0
33,1.48723,1.06632,0
34,1.47488,1.10015,0
35,1.46179,1.13388,0
36,1.44794,1.16751,0
37,1.43334,1.20101,0
38,1.41799,1.23438,0
39,1.40189,1.2676,0
40,1.38504,1.30064,0
41,1.36744,1.3335,0
42,1.34909,1.36615,0
43,1.32999,1.39858,0
44,1.31015,1.43078,0
45,1.28956,1.46272,0
46,1.26823,1.49439,0
47,1.24616,1.52577,0
48,1.22336,1.55685,0
49,1.19983,1.58761,0
50,1.17557,1.61803,0
51,1.15059,1.6481,0
52,1.12489,1.6778,0
53,1.09848,1.70712,0
54,1.07136,1.73603,0
55,1.04353,1.76452,0
56,1.01502,1.79258,0
57,0.985813,1.82018,0
58,0.955926,1.84732,0
59,0.925365,1.87398,0
60,0.894137,1.90014,0
61,0.86225,1.92578,0
62,0.829712,1.95089,0
63,0.796533,1.97546,0
64,0.762721,1.99946,0
65,0.728287,2.02289,0
66,0.693238,2.04573,0
67,0.657587,2.06797,0
68,0.621342,2.08958,0
69,0.584515,2.11055,0
70,0.547118,2.13088,0
71,0.509161,2.15055,0
72,0.470656,2.16954,0
73,0.431615,2.18783,0
74,0.392052,2.20542,0
75,0.351978,2.2223,0
76,0.311406,2.23844,0
77,0.270351,2.25384,0
78,0.228825,2.26849,0
79,0.186843,2.28236,0
80,0.144418,2.29546,0
81,0.101566,2.30777,0
82,0.0583018,2.31927,0
83,0.0146397,2.32995,0
84,-0.0294045,2.33982,0
85,-0.0738153,2.34884,0
86,-0.118577,2.35702,0
87,-0.163672,2.36434,0
88,-0.209086,2.3708,0
89,-0.254801,2.37638,0
90,-0.3008,2.38108,0
91,-0.347066,2.38488,0
92,-0.393582,2.38778,0
93,-0.44033,2.38977,0
94,-0.487292,2.39085,0
95,-0.534451,2.391,0
96,-0.581788,2.39021,0
97,-0.629284,2.38849,0
98,-0.676921,2.38583,0
