,a0,a1,class
0,7.28531,12.5879,0
1,10.3977,6.4489,0
2,6.73624,9.68033,0
3,7.10197,10.8327,0
4,10.2948,6.67373,0
5,9.02703,8.67945,0
6,6.02699,7.03695,0
7,4.04861,8.78055,0
8,3.96348,10.5684,0
9,7.86468,9.84118,0
10,9.99347,9.73924,0
11,7.23873,5.7269,0
12,9.82083,6.09689,0
13,7.07566,9.61258,0
14,8.11022,7.28457,0
15,9.4556,10.08,0
16,9.21546,6.65196,0
17,9.92294,8.54198,0
18,8.10084,6.02085,0
19,7.9209,6.59777,0
20,8.40957,6.53336,0
21,7.50307,5.42181,0
22,8.29751,10.7944,0
23,11.4427,11.0645,0
24,6.24522,3.35108,0
25,10.7208,5.70933,0
26,9.2301,7.22207,0
27,8.193,5.43631,0
28,7.44458,9.99901,0
29,7.14173,7.99963,0
30,7.33594,6.96782,0
31,10.1075,6.19083,0
32,12.7146,9.79938,0
33,9.59882,7.78853,0
34,10.7371,8.19569,0
35,7.73108,8.80624,0
36,7.3493,9.49292,0
37,9.35841,10.7269,0
38,6.74875,5.06392,0
39,12.277,5.7331,0
40,6.98839,5.48958,0
41,4.63999,6.95249,0
42,10.019,7.46032,0
43,12.533,8.73529,0
44,5.84702,9.71259,0
45,3.33838,7.78748,0
46,6.12712,6.10559,0
47,8.53917,8.67358,0
48,6.57425,5.27815,0
49,9.03597,6.46403,0
50,6.58285,5.74504,0
51,6.48151,6.34905,0
52,11.2484,9.27621,0
53,4.8692,10.1175,0
54,4.09561,14.0267,0
55,6.52603,7.87376,0
56,7.7816,7.41973,0
57,7.05791,8.25993,0
58,7.85262,6.24078,0
59,8.63471,6.8983,0
60,5.70024,6.92462,0
61,11.2256,8.36132,0
62,9.8905,8.48874,0
63,5.79037,7.16634,0
64,7.6595,6.86563,0
65,10.0638,4.88238,0
66,8.45122,11.332,0
67,8.70368,8.62953,0
68,7.67796,6.36794,0
69,9.9059,7.40477,0
70,6.62556,10.5514,0
71,6.65089,8.59332,0
72,11.6918,10.4815,0
73,2.46508,8.30123,0
74,6.54994,9.81373,0
75,6.10825,6.25509,0
76,9.62755,7.0659,0
77,5.93566,6.93538,0
78,10.0995,2.31138,0
79,6.87907,9.05554,0
80,7.81235,7.67958,0
81,6.50823,4.88579,0
82,10.0082,7.5426,0
83,8.5436,7.93228,0
84,5.7761,8.63942,0
85,9.76867,6.33691,0
86,8.30426,6.26709,0
87,9.33034,6.74822,0
88,11.3593,10.7495,0
89,7.5029,6.89098,0
90,4.89216,6.34875,0
91,9.61186,7.80137,0
92,10.5926,4.65122,0
93,8.80505,7.71849,0
94,7.36716,7.96609,0
95,10.836,8.83486,0
96,10.3408,8.20427,0
97,10.7508,5.3146,0
98,6.99295,4.53347,0
99,9.14819,5.50987,0
100,8.84085,9.49512,0
101,8.30862,8.36246,0
102,7.1322,9.57351,0
103,8.72761,9.78502,0
104,7.30566,5.542,0
105,7.98021,8.3726,0
106,6.5823,9.24782,0
107,6.62857,7.66298,0
108,6.77491,6.00527,0
109,8.0897,8.89156,0
110,6.01785,8.55247,0
111,7.47169,11.3645,0
112,8.68765,6.90464,0
113,8.23833,7.56372,0
114,11.1656,8.39682,0
115,12.1475,10.1248,0
116,7.79824,4.08769,0
117,6.02572,8.8846,0
118,10.028,12.6536,0
119,10.3239,10.8874,0
120,10.2465,8.48935,0
121,9.40946,5.46356,0
122,4.3978,10.9913,0
123,8.09691,7.99308,0
124,10.2247,10.1124,0
125,10.8525,11.2269,0
126,4.21638,6.42039,0
127,9.95116,8.86836,0
128,9.86975,9.15925,0
129,5.72302,7.09301,0
130,10.1057,6.25801,0
131,6.5473,2.07281,0
132,6.51972,7.66828,0
133,8.52537,8.8748,0
134,11.8802,5.98323,0
135,10.6516,6.84141,0
136,9.08235,2.91214,0
137,6.77808,7.15448,0
138,8.7698,10.0919,0
139,10.6008,6.8102,0
140,6.02262,9.92415,0
141,7.88875,8.56865,0
142,8.88609,8.12866,0
143,7.77966,7.93818,0
144,7.48003,10.6462,0
145,8.08403,6.74642,0
146,9.06245,8.6505,0
147,8.71949,6.08855,0
148,3.97507,8.10269,0
149,9.43804,2.24336,0
150,7.59868,7.10545,0
151,5.47802,6.59164,0
152,11.2945,8.80331,0
153,9.31845,8.3911,0
154,12.5576,7.50309,0
155,6.21559,4.11077,0
156,10.6122,10.7167,0
157,8.11981,11.2858,0
158,6.3429,4.78901,0
159,4.89259,6.05398,0
160,5.08104,6.13574,0
161,7.81318,5.23553,0
162,7.5701,8.39647,0
163,5.31482,11.028,0
164,10.6697,5.43822,0
165,11.8645,9.46709,0
166,7.78445,8.31931,0
167,8.19792,6.22076,0
168,7.93044,9.66319,0
169,9.20259,6.75698,0
170,9.67078,5.65239,0
171,12.7353,9.24336,0
172,12.0138,10.1325,0
173,7.97716,8.51295,0
174,9.67837,9.24979,0
175,8.75891,8.86681,0
176,5.35056,7.42417,0
177,9.18784,8.44429,0
178,6.52211,8.85701,0
179,7.24623,3.47186,0
180,5.7203,8.16994,0
181,10.3429,5.04905,0
182,9.97651,7.1169,0
183,7.89544,10.5722,0
184,8.93859,5.67109,0
185,8.76829,11.6537,0
186,6.43957,10.4901,0
187,10.1157,7.00317,0
188,6.46814,7.16604,0
189,7.42364,10.6233,0
190,9.97083,11.3025,0
191,8.14175,6.16177,0
192,8.39046,9.22241,0
193,11.1173,6.33278,0
194,9.88118,10.3915,0
195,13.5706,7.2696,0
196,9.19834,5.28932,0
197,8.77766,8.93866,0
198,6.61968,5.05069,0
199,11.6348,6.40862,0
200,7.84587,7.02506,0
201,9.0707,10.3296,0
202,5.69622,8.37956,0
203,7.87384,9.45982,0
204,7.02847,9.06408,0
205,7.1496,9.57138,0
206,6.04627,6.20369,0
207,6.45447,4.33871,0
208,8.53725,12.5629,0
209,7.35666,13.2297,0
210,8.07828,8.00651,0
211,8.26763,8.24585,0
212,9.19087,5.76906,0
213,8.43696,9.33475,0
214,8.46186,8.31612,0
215,9.55777,9.8791,0
216,10.1924,6.95816,0
217,10.237,7.06315,0
218,10.5455,6.44122,0
219,7.46512,7.01636,0
220,4.80068,8.56432,0
221,9.55692,8.3326,0
222,9.21127,13.1372,0
223,10.7987,11.2023,0
224,9.22259,7.04498,0
225,8.80729,6.50124,0
226,6.32831,7.57361,0
227,5.55944,7.41454,0
228,9.27556,5.60753,0
