,x,y,class
0,-1.357818,-2.071201,7
1,-0.011177,1.705894,2
2,0.984379,0.236823,6
3,-3.032441,1.158165,1
4,-0.65397,2.226539,2
5,-0.197106,2.102319,2
6,0.662488,1.460443,2
7,0.555874,1.461527,2
8,-2.414818,1.72212,1
9,-2.225339,-1.938249,7
10,2.040196,1.818911,3
11,2.052167,0.863156,6
12,-2.714617,-2.528982,7
13,-1.690757,-2.763342,7
14,-0.067806,0.761232,5
15,2.281874,1.472221,3
16,-1.534681,1.003197,4
17,-2.432296,-2.455307,7
18,-1.882905,0.783619,4
19,-0.731151,1.971621,2
20,3.089637,-0.982379,6
21,2.015626,1.972188,3
22,-1.26017,-0.87911,7
23,2.553107,1.682078,3
24,2.874399,0.887695,6
25,1.91771,2.139633,3
26,-2.228993,-0.323981,4
27,2.030653,1.62334,3
28,2.24188,2.492965,3
29,1.544266,-0.04973,6
30,0.031953,-1.131856,8
31,1.600776,-1.207922,9
32,-2.213644,2.678879,1
33,-1.953524,-0.540983,4
34,-2.310441,-1.740028,7
35,-2.450011,-2.749208,7
36,0.547534,2.003953,2
37,2.119233,1.736949,3
38,1.608189,-1.687368,9
39,2.431226,-1.647599,9
40,-2.472206,2.896035,1
41,-2.76633,1.271111,1
42,1.862631,2.90364,3
43,-1.830787,-0.956537,7
44,-2.54774,-2.758177,7
45,-2.412839,1.896345,1
46,1.58809,-1.78702,9
47,0.699396,0.854389,5
48,-2.147214,-1.876566,7
49,-1.422819,0.366605,4
50,1.235696,-0.337979,6
51,-0.60349,2.662569,2
52,-2.068476,-2.073554,7
53,1.856359,2.206405,3
54,1.721161,0.915932,6
55,2.268337,2.119233,3
56,0.015024,2.209096,2
57,-0.293286,3.079113,2
58,-2.796668,1.606939,1
59,-2.179661,-0.160263,4
60,1.99258,-1.712844,9
61,1.531772,-1.84281,9
62,-2.407333,1.926278,1
63,1.765358,2.210373,3
64,2.377331,2.654129,3
65,2.081909,1.901207,3
66,-2.578824,-2.184458,7
67,2.330289,-0.321658,6
68,-0.798469,-1.324846,7
69,1.649773,0.605566,6
70,2.740383,2.31373,3
71,2.826119,-3.031671,9
72,2.232127,0.508126,6
73,-1.772403,-0.037906,4
74,0.422896,0.735702,5
75,-2.08047,-0.936886,7
76,1.58524,-2.920118,9
77,0.196311,-1.452191,8
78,-2.148916,-1.755827,7
79,0.232224,-0.158228,5
80,0.537458,-2.937201,8
81,-0.468848,-0.317975,5
82,2.048164,-2.755992,9
83,-0.968905,2.500413,1
84,-1.807281,0.192393,4
85,1.476616,2.504746,3
86,2.614687,-2.057552,9
87,-0.18178,-1.132572,8
88,1.788158,-1.530593,9
89,1.885692,0.180628,6
90,-1.905536,-1.678553,7
91,-1.616724,-2.507085,7
92,-0.339427,1.835793,2
93,-0.362855,-1.772884,8
94,-2.153675,0.328536,4
95,0.007859,-0.948759,5
96,-0.356383,0.803076,2
97,-1.94932,2.086108,1
98,2.388919,1.389215,3
99,1.641647,-1.748375,9
100,-0.583847,-2.093609,8
101,0.659985,1.954799,2
102,-1.820247,-2.322608,7
103,-0.077935,0.172182,5
104,0.47414,2.181734,2
105,0.171313,1.035007,2
106,0.565853,0.135109,5
107,0.151562,2.761806,2
108,-0.071831,0.865405,5
109,-2.659099,-2.788335,7
110,-2.19095,-0.544252,4
111,-0.564519,0.221028,5
112,2.035783,-0.065882,6
113,2.277224,-2.259873,9
114,-2.083773,2.867428,1
115,-2.18951,1.882033,1
116,0.096262,1.018594,2
117,-3.090128,-0.018239,4
118,0.824706,0.979255,2
119,-0.257792,-2.281115,8
120,-0.16067,1.464974,2
121,-2.355891,-2.167071,7
122,2.654129,0.371813,6
123,0.532402,-2.420488,8
124,1.389739,1.151589,3
125,-1.637695,-2.720729,7
126,-1.958493,2.689939,1
127,2.303274,-0.742137,6
128,-1.921685,-1.136607,7
129,-0.328164,1.094403,2
130,-1.119252,-1.61695,7
131,-1.793501,0.020898,4
132,0.477018,-0.193278,5
133,-2.385077,-1.322945,7
134,1.842042,-2.172273,9
135,1.019886,-1.409278,9
136,-0.353545,-2.428322,8
137,-0.177223,1.319707,2
138,2.020575,-1.625014,9
139,-1.434849,2.906251,1
140,0.817384,-0.317922,5
141,-0.449587,-2.149274,8
142,-1.508695,-2.506759,7
143,-0.618234,-1.84028,8
144,1.84583,-0.887945,6
145,-1.949031,1.698587,1
146,-1.171933,0.420136,5
147,-2.564659,-2.897058,7
148,-0.402263,0.199634,5
149,1.856538,0.199353,6
150,1.31528,-0.977864,6
151,-1.912617,-0.221363,4
152,0.793085,-1.782979,9
153,-2.555944,-2.878295,7
154,0.409474,-1.680553,8
155,2.589051,-0.287768,6
156,1.526983,2.031262,3
157,1.790762,-1.278023,9
158,-2.093694,0.758939,4
159,-2.019689,-1.947792,7
160,-1.590874,-2.040155,7
161,-0.078906,-2.283446,8
162,-0.276317,1.703893,2
163,2.433723,-0.333326,6
164,-0.119059,-2.007181,8
165,0.055395,-0.251084,5
166,-2.173554,0.457875,4
167,-3.031095,0.34887,4
168,-2.504163,0.024936,4
169,1.416369,-1.094098,6
170,-2.097248,-0.123434,4
171,0.828738,2.003357,2
172,-1.571382,-0.576967,4
173,0.469842,-2.029069,8
174,-1.868516,2.144176,1
175,0.853811,2.583847,2
176,2.434438,-0.57277,6
177,-1.465715,0.177729,4
178,1.464231,2.55629,3
179,1.732462,1.697088,3
180,2.12994,1.232413,3
181,-2.549593,-1.665874,7
182,-2.470588,-1.709324,7
183,2.327475,-0.075153,6
184,-2.833026,-2.472767,7
185,-0.326361,1.908826,2
186,-1.662504,1.801115,1
187,-0.529852,-2.11157,8
188,-1.958698,-2.571707,7
189,-2.594294,-1.997677,7
190,-0.807755,0.131748,5
191,-0.920653,2.522056,1
192,1.979707,1.928631,3
193,0.031099,2.371091,2
194,1.374923,1.568061,3
195,-1.778541,-1.795151,7
196,1.907545,1.591973,3
197,-0.339588,-0.045201,5
198,0.906152,-0.552693,6
199,-2.241588,-1.078181,4
200,1.431473,2.034885,3
201,-0.906513,3.237391,2
202,0.801094,3.10972,2
203,0.454941,1.475753,2
204,1.053291,-0.410865,6
205,1.25406,0.009057,6
206,0.536241,-2.584352,8
207,0.01358,0.222272,5
208,2.042327,1.483493,3
209,-0.030409,2.298267,2
210,-1.869884,0.388862,4
211,2.653251,-1.111804,9
212,0.088702,2.082756,2
213,-1.987582,-1.792888,7
214,-0.41377,1.249949,2
215,0.710156,0.314619,6
216,0.710928,0.669566,5
217,0.16935,-2.341093,8
218,-1.036697,2.379066,1
219,-0.391073,0.479591,5
220,-0.542547,2.844658,2
221,-1.972878,0.491752,4
222,-1.773172,0.118622,4
223,0.866832,1.276236,2
224,0.449587,0.550763,5
225,-1.360713,0.350716,4
226,-2.087255,-0.274706,4
227,-0.178832,-1.961072,8
228,-0.352782,2.118927,2
229,-2.298216,-0.061501,4
230,-1.181439,-0.916881,7
231,-0.03905,-0.555736,5
232,1.599745,1.795339,3
233,-0.925738,1.723582,1
234,-0.78552,1.586172,2
235,-0.146052,2.514995,2
