,x,y,z,class
0,1.295428,0.050829,-0.385217,1
1,1.409178,-0.035191,-0.25198,1
2,1.096803,0.246365,-0.415011,1
3,1.463328,0.265354,-0.513488,1
4,1.603284,0.080577,-0.470257,1
5,1.001833,-0.083266,-0.681399,1
6,1.517445,0.286702,-0.547891,1
7,1.617901,-0.158504,-0.301126,1
8,1.083162,-0.371103,-0.358668,1
9,1.669991,0.0866,-0.280595,1
10,1.457644,-0.401268,-0.407497,1
11,0.914329,0.242193,-0.310915,1
12,1.643737,0.153696,-0.241876,1
13,1.595419,-0.310447,-0.368662,1
14,1.153698,-0.25427,-0.87687,1
15,1.524989,0.162923,-0.877225,1
16,1.247658,-0.333062,-0.037487,1
17,0.826074,-0.31543,-0.389405,1
18,0.877268,0.354988,-0.618269,1
19,0.809343,0.313444,-0.296642,1
20,1.546564,0.055433,0.057049,1
21,1.555207,0.48368,-0.659155,1
22,1.570894,-0.469775,-0.218926,1
23,0.9618,0.345034,-0.838026,1
24,0.948567,-0.327407,-0.020961,1
25,1.527893,-0.082015,-1.018224,1
26,0.788416,-0.376902,-0.297599,1
27,0.90298,-0.180361,0.045153,1
28,1.834789,-0.1316,-0.725146,1
29,1.369116,-0.0194,-1.095284,1
30,1.248246,-0.632417,-0.625915,1
31,1.554125,-0.002265,0.175737,1
32,1.757288,-0.461343,-0.29954,1
33,1.868755,-0.024153,-0.790365,1
34,1.302702,0.689971,-0.424533,1
35,1.924263,-0.075534,-0.683471,1
36,1.269947,-0.495785,-0.961158,1
37,1.094222,-0.623419,-0.759255,1
38,1.990546,-0.038016,-0.442557,1
39,1.755073,0.169729,0.057506,1
40,1.633957,0.323377,0.090103,1
41,0.693121,-0.379451,-0.683644,1
42,0.532497,-0.093011,-0.520972,1
43,1.214785,0.741492,-0.523834,1
44,1.495177,0.560867,-0.002043,1
45,1.049537,-0.025452,-1.177026,1
46,0.994137,0.078633,-1.15429,1
47,1.258023,0.567255,0.081931,1
48,1.348109,-0.054338,0.324059,1
49,1.215102,-0.759198,-0.258057,1
