,x,y,class
0,0.2709225881,-1.3642489243,2
1,-1.6396131979,-2.5794390311,1
2,2.39217506,0.5163441457,1
3,-1.1826666952,-1.5305489287,2
4,0.6871136113,-0.3831255661,2
5,1.7721640137,-2.8042037117,2
6,1.288195024,-1.6455256963,2
7,-3.4166475029,-1.9247617063,1
8,1.5776843748,-1.557616883,2
9,-1.488942108,-0.2248066347,1
10,0.4994511346,-3.4465823128,2
11,-2.6877111266,-2.3420475581,1
12,2.3588917683,-1.1773954354,2
13,-0.5431320911,-4.1437299718,1
14,2.1864947374,-0.346576665,2
15,2.4121853174,1.1917110127,1
16,-1.6198789133,-2.1814474097,1
17,1.4109471116,0.2726911527,2
18,-2.6024021683,0.2266183708,1
19,-0.287773909,1.1367830206,1
20,4.3375351757,-0.8319629026,2
21,-1.9962384835,-3.0752106008,1
22,3.7870698002,-0.746603796,2
23,-2.127838583,-1.1802975816,1
24,-1.1567160036,-0.4199053519,1
25,1.1604547038,-2.2972301815,2
26,1.4495737482,-2.6068518548,2
27,-1.8929200531,-1.4153910754,1
28,1.064476679,0.9196461088,1
29,1.3518931866,1.9941441395,1
30,1.2306923939,-2.2242409851,1
31,2.3088033348,-1.2150634431,2
32,-0.1489139352,-2.2306581991,2
33,-1.8724797002,-1.3121028854,1
34,0.167877354,0.1156464567,1
35,2.0578276146,1.3686106731,1
36,0.8751501175,0.1051919955,2
37,3.408215747,2.3171142206,1
38,1.2331775504,-1.8101506776,2
39,1.8094100372,-1.8641590398,2
40,1.9174534913,-0.5145206448,2
41,1.9028897948,0.6864540426,1
42,1.5677657875,-0.3365128157,2
43,2.7427676664,-0.7048967366,2
44,-2.3653407152,-0.9740566977,1
45,-1.8726253911,-3.5921813677,1
46,2.9580879714,1.5012091198,1
47,-0.2688227151,-0.8614017174,2
48,1.6079855356,-0.8939697616,2
49,1.0234396723,0.5985876924,1
50,-0.2700573159,-1.5694256998,2
51,-0.2854746182,1.5015017772,1
52,1.3751400888,1.1763544246,1
53,2.2209179284,-1.1960597773,2
54,-1.4519118067,-2.3993035428,1
55,0.641484959,-0.5814229164,2
56,1.6259390324,-1.5274354541,2
57,-0.4399474229,1.8229397453,1
58,2.4331469735,0.0393697987,2
59,0.6779046615,-1.2022756096,2
60,1.1269519754,-1.2715618383,2
61,1.95968892,-0.8364550248,2
62,1.2814281148,-1.3805045911,2
63,-1.4408239922,-2.2132465383,1
64,-1.7492365927,-1.4879792102,1
65,2.5778260253,2.0258445795,1
66,-2.8519780293,-1.254651825,1
67,-0.5596618849,-2.6767264642,1
68,1.4657096917,-0.5731832287,2
69,3.3587869962,-0.6274133529,2
70,0.4687315033,-0.3450768252,1
71,-2.3384716469,-3.0966523669,1
72,2.1094244806,1.8514342775,1
73,-1.1415558155,-0.9513615236,1
74,0.6425354923,-1.8571510439,2
75,1.9853073132,-1.0849172639,2
76,0.7620222759,-2.4594819755,2
77,1.3828054861,1.0271565103,1
78,-1.3670045188,-0.1572127473,1
79,1.9373851691,1.5838016653,1
80,0.3752264554,1.167510107,1
81,-0.812268609,-3.2300235261,1
82,-1.8170044874,-3.3219458888,1
83,1.3970722843,-1.3528901917,2
84,-1.768225729,-1.697847794,1
85,1.6175076128,1.3804792421,1
86,0.780751849,0.1694426817,1
87,-1.2776101847,-1.2115778314,1
88,0.3032414503,-1.8515172932,1
89,-0.3093952653,-0.5838021974,1
90,1.1930542512,-1.3209477608,2
91,2.17156616,0.313532226,1
92,2.280172164,1.1204228109,1
93,0.4675196301,-0.1175891194,1
94,1.2273173788,0.9733711332,2
95,-2.5273417402,-0.6430056521,1
96,-0.6592698306,-1.7341923869,1
97,2.5776727796,-2.5205583764,2
98,1.0580823714,-2.1025710095,2
99,0.9229726751,-1.8565551795,2
100,2.3312070986,-0.5013050553,2
101,0.6210313718,-0.9673402885,2
102,3.1253394342,-1.9204281576,2
103,1.7668772754,-0.3849676772,2
104,0.8259411909,1.9293631046,1
105,-0.6841726504,-1.3892764765,1
106,-0.9526405592,-1.890440372,1
107,1.8501112714,-0.4385576603,2
108,1.8926443495,0.231137758,2
109,0.4521177841,-1.6882660694,2
110,1.9740493713,-1.7804205343,2
111,-0.0003044409,-0.4860832178,1
112,-0.0755270543,-1.9735125798,2
113,-1.7539769248,-1.5885967808,1
114,-2.0684511126,-1.58456403,1
115,1.4306504122,-1.6263954882,2
116,1.804334113,2.1547928917,1
117,-0.2630318853,1.0637106292,1
118,0.3791498811,2.582575506,1
119,1.6793356124,1.5564864933,1
120,0.3116496945,-0.788220297,2
121,-1.121241439,-1.6734328435,1
122,2.3849515952,-0.0265336653,2
123,-1.057799657,-1.5115027122,1
124,1.8986260833,2.6052213866,1
125,0.8495018554,-0.4428259646,2
126,-1.1909915972,-1.8583464007,1
127,2.699126883,-1.2831305777,2
128,2.5792108662,0.9365456804,1
129,0.6425889311,3.0955349888,1
130,-1.1886749359,-2.9127842796,1
131,-2.6585063306,-1.4240189571,1
132,0.9680645821,1.2512293511,1
133,3.0693787836,-1.9676688904,2
134,-2.6471021501,-1.3732906775,1
135,1.6531469314,-0.6030890279,2
136,3.0851106387,1.2534464546,1
137,0.835906247,1.5933511661,1
138,-1.8299768377,-2.0606955295,1
139,-0.9404800963,-1.9346415261,1
140,1.020453648,0.9375111118,1
141,-0.8502697093,-2.0768015731,1
142,1.373481576,0.0870376861,2
143,0.503785278,-1.2352004648,2
144,2.2016736833,-0.3136662337,2
145,1.3693133844,0.7924927544,2
146,0.0904837404,-1.8669781299,1
147,-0.2436850157,-2.9508852334,1
148,2.5226047792,-0.1696788664,2
149,-1.7215449348,-3.5792965894,1
150,1.7541218396,-1.4194019105,2
151,-1.5453675003,-1.986765802,1
152,0.3844891867,-0.8409411501,2
153,1.8335424163,-2.1294831924,2
154,2.6653894988,0.8582619251,1
155,1.9991714718,-0.6237383877,2
156,-1.87633001,-1.2362652918,1
157,2.4018255406,-1.6423329676,2
158,2.7216444753,-1.3360838193,2
159,0.8110955187,0.5143902791,2
160,0.0773474515,-0.1476540348,2
161,0.0676446752,-0.6107215671,1
162,-2.3457053393,-0.3143208119,1
163,1.8046703171,0.0680917541,2
164,2.7954335814,-3.1056075594,2
165,-0.577571923,-2.476914633,1
166,1.8919324701,-0.8179081564,2
167,1.0515251937,-0.1259698257,2
168,2.1739823848,3.1995376283,1
169,2.1755038808,1.4057797052,1
170,-2.4931573092,-1.7623455973,1
171,0.3827752988,-1.1656612063,2
172,1.6128017339,-1.7620009351,2
173,2.1858198527,-3.1086329393,2
174,0.944527141,-1.0592949996,2
175,-1.0393122742,-3.0429031122,1
176,1.9082595634,-2.7152816269,2
177,-2.2385520646,-1.6851407164,1
178,1.033326113,1.492189653,1
179,1.5310568151,-1.5379668735,2
180,1.4578674954,-2.1477558429,2
181,1.1435669754,-0.4079074933,2
182,-1.8729881546,-2.4039091778,1
183,-1.7886525437,-1.2577979805,1
184,1.758435646,-1.9104309107,2
