,a0,a1,class
0,10.6427,13.294,0
1,12.1989,10.2245,0
2,10.3681,11.8402,0
3,10.551,12.4163,0
4,12.1474,10.3369,0
5,11.5135,11.3397,0
6,10.0135,10.5185,0
7,9.0243,11.3903,0
8,8.98174,12.2842,0
9,10.9323,11.9206,0
10,11.9967,11.8696,0
11,10.6194,9.86345,0
12,11.9104,10.0484,0
13,10.5378,11.8063,0
14,11.0551,10.6423,0
15,11.7278,12.04,0
16,11.6077,10.326,0
17,11.9615,11.271,0
18,11.0504,10.0104,0
19,10.9604,10.2989,0
20,11.2048,10.2667,0
21,10.7515,9.71091,0
22,11.1488,12.3972,0
23,12.7214,12.5323,0
24,10.1226,8.67554,0
25,12.3604,9.85467,0
26,11.6151,10.611,0
27,11.0965,9.71815,0
28,10.7223,11.9995,0
29,10.5709,10.9998,0
30,10.668,10.4839,0
31,12.0537,10.0954,0
32,13.3573,11.8997,0
33,11.7994,10.8943,0
34,12.3686,11.0978,0
35,10.8655,11.4031,0
36,10.6747,11.7465,0
37,11.6792,12.3635,0
38,10.3744,9.53196,0
39,13.1385,9.86655,0
40,10.4942,9.74479,0
41,9.32,10.4762,0
42,12.0095,10.7302,0
43,13.2665,11.3676,0
44,9.92351,11.8563,0
45,8.66919,10.8937,0
46,10.0636,10.0528,0
47,11.2696,11.3368,0
48,10.2871,9.63907,0
49,11.518,10.232,0
50,10.2914,9.87252,0
51,10.2408,10.1745,0
52,12.6242,11.6381,0
53,9.4346,12.0587,0
54,9.04781,14.0134,0
55,10.263,10.9369,0
56,10.8908,10.7099,0
57,10.529,11.13,0
58,10.9263,10.1204,0
59,11.3174,10.4491,0
60,9.85012,10.4623,0
61,12.6128,11.1807,0
62,11.9453,11.2444,0
63,9.89518,10.5832,0
64,10.8297,10.4328,0
65,12.0319,9.44119,0
66,11.2256,12.666,0
67,11.3518,11.3148,0
68,10.839,10.184,0
69,11.9529,10.7024,0
70,10.3128,12.2757,0
71,10.3254,11.2967,0
72,12.8459,12.2407,0
73,8.23254,11.1506,0
74,10.275,11.9069,0
75,10.0541,10.1275,0
76,11.8138,10.533,0
77,9.96783,10.4677,0
78,12.0497,8.15569,0
79,10.4395,11.5278,0
80,10.9062,10.8398,0
81,10.2541,9.44289,0
82,12.0041,10.7713,0
83,11.2718,10.9661,0
84,9.88805,11.3197,0
85,11.8843,10.1685,0
86,11.1521,10.1335,0
87,11.6652,10.3741,0
88,12.6797,12.3748,0
89,10.7515,10.4455,0
90,9.44608,10.1744,0
91,11.8059,10.9007,0
92,12.2963,9.32561,0
93,11.4025,10.8592,0
94,10.6836,10.983,0
95,12.418,11.4174,0
96,12.1704,11.1021,0
97,12.3754,9.6573,0
98,10.4965,9.26674,0
99,11.5741,9.75494,0
100,11.4204,11.7476,0
101,11.1543,11.1812,0
102,10.5661,11.7868,0
103,11.3638,11.8925,0
104,10.6528,9.771,0
105,10.9901,11.1863,0
106,10.2912,11.6239,0
107,10.3143,10.8315,0
108,10.3875,10.0026,0
109,11.0449,11.4458,0
110,10.0089,11.2762,0
111,10.7358,12.6823,0
112,11.3438,10.4523,0
113,11.1192,10.7819,0
114,12.5828,11.1984,0
115,13.0737,12.0624,0
116,10.8991,9.04385,0
117,10.0129,11.4423,0
118,12.014,13.3268,0
119,12.162,12.4437,0
120,12.1233,11.2447,0
121,11.7047,9.73178,0
122,9.1989,12.4956,0
123,11.0485,10.9965,0
124,12.1124,12.0562,0
125,12.4262,12.6134,0
126,9.10819,10.2102,0
127,11.9756,11.4342,0
128,11.9349,11.5796,0
129,9.86151,10.5465,0
130,12.0528,10.129,0
131,10.2737,8.0364,0
132,10.2599,10.8341,0
133,11.2627,11.4374,0
134,12.9401,9.99162,0
135,12.3258,10.4207,0
136,11.5412,8.45607,0
137,10.389,10.5772,0
138,11.3849,12.046,0
139,12.3004,10.4051,0
140,10.0113,11.9621,0
141,10.9444,11.2843,0
142,11.443,11.0643,0
143,10.8898,10.9691,0
144,10.74,12.3231,0
145,11.042,10.3732,0
146,11.5312,11.3253,0
147,11.3597,10.0443,0
148,8.98753,11.0513,0
149,11.719,8.12168,0
150,10.7993,10.5527,0
151,9.73901,10.2958,0
152,12.6473,11.4017,0
153,11.6592,11.1956,0
154,13.2788,10.7515,0
155,10.1078,9.05539,0
156,12.3061,12.3583,0
157,11.0599,12.6429,0
158,10.1715,9.3945,0
159,9.4463,10.027,0
160,9.54052,10.0679,0
161,10.9066,9.61776,0
162,10.7851,11.1982,0
163,9.65741,12.514,0
164,12.3349,9.71911,0
165,12.9323,11.7335,0
166,10.8922,11.1597,0
167,11.099,10.1104,0
168,10.9652,11.8316,0
