,x,y,class
0,0.0673908,0.648651,0
1,0.184058,0.285643,0
2,0.216653,-0.626459,0
3,-0.230196,-0.277555,0
4,-0.343994,0.952639,0
5,0.516222,0.527655,0
6,-0.340626,0.372044,0
7,-0.891206,-0.0338618,0
8,0.0231218,0.0798055,0
9,-0.0480045,-0.112795,0
10,-0.549665,-0.185131,0
11,0.610166,0.0548585,0
12,0.240708,-0.00879581,0
13,-0.0952792,0.612275,0
14,0.629652,-0.400976,0
15,0.535674,0.531926,0
16,-0.0295303,-0.307669,0
17,-0.725821,0.361157,0
18,-0.284648,0.409727,0
19,0.357847,-0.115821,0
20,0.153626,-0.909621,0
21,0.286176,0.13731,0
22,-0.897728,0.152465,0
23,-0.895161,0.137934,0
24,-0.591967,0.218019,0
25,-0.445756,0.398878,0
26,0.242248,0.337062,0
27,-0.420387,-0.315739,0
28,0.0443506,-0.628764,0
29,-0.124006,0.499045,0
30,0.112187,-0.358485,0
31,-0.0236469,0.134742,0
32,0.174311,0.170205,0
33,0.025102,-0.162716,0
34,-0.293906,-0.0332021,0
35,-0.50098,0.0855036,0
36,-0.0341769,0.374567,0
37,-0.812607,-0.124809,0
38,-0.39211,-0.06304,0
39,-0.247678,-0.550145,0
40,1.06066,0.37034,0
41,0.241095,0.354813,0
42,0.675214,0.165773,0
43,0.346748,0.425497,0
44,-1.03046,0.814915,0
45,0.607113,-0.270217,0
46,-0.671951,0.418234,0
47,0.371304,-0.360211,0
48,-0.866275,0.336349,0
49,-0.0924798,0.385889,0
50,5.23032,0.0733765,1
51,3.98709,0.290578,1
52,4.23755,-0.279124,1
53,4.05608,0.612748,1
54,5.35788,0.27984,1
55,4.08401,-0.435649,1
56,3.79528,0.139738,1
57,2.89531,0.617328,1
58,4.35429,0.316387,1
59,4.17686,0.124034,1
60,4.38816,0.140594,1
61,4.70558,-0.328459,1
62,4.51607,-0.0782005,1
63,4.59905,0.343144,1
64,3.251,0.159402,1
65,3.01802,-0.353557,1
66,3.92826,-0.211247,1
67,3.80549,0.0196756,1
68,4.08564,0.586435,1
69,3.71035,-0.00805321,1
70,4.77432,0.16693,1
71,4.38432,0.169625,1
72,4.87446,0.0507428,1
73,4.67376,-0.144914,1
74,3.59141,0.892578,1
75,3.82578,0.932617,1
76,4.1505,0.301503,1
77,4.43412,-0.186553,1
78,3.79532,-0.112176,1
79,3.23263,0.321166,1
80,3.97525,0.472507,1
81,3.98389,0.659611,1
82,3.49448,-0.434678,1
83,4.52451,-0.180956,1
84,4.3327,-0.505153,1
85,5.07539,0.0267725,1
86,4.90042,-0.605792,1
87,3.11646,0.152985,1
88,4.96567,-0.112223,1
89,4.56492,0.837235,1
90,3.33208,0.459567,1
91,3.75286,-0.0387904,1
92,3.8966,-0.109682,1
93,4.2599,0.23564,1
94,4.3199,-0.466008,1
95,3.39795,-0.275024,1
96,3.15548,0.122624,1
97,3.78584,0.0197974,1
98,3.99271,-0.601369,1
99,4.73071,-0.191239,1
100,8.30909,-1.09333,2
101,8.15717,-0.244955,2
102,7.6083,0.161101,2
103,8.68201,0.698076,2
104,8.41225,-0.358268,2
105,8.12161,0.16769,2
106,8.35901,0.13728,2
107,8.06171,0.514286,2
108,8.65864,0.702299,2
109,7.57486,-0.00914143,2
110,7.6876,-0.32635,2
111,8.0751,0.0687498,2
112,8.29138,0.168367,2
113,7.59447,-0.614139,2
114,7.81159,0.514963,2
115,7.63687,-0.808251,2
116,7.53363,-1.06035,2
117,7.48937,-0.152447,2
118,8.07675,0.0673557,2
119,8.04362,-0.53697,2
120,7.95937,1.02369,2
121,7.76303,-0.111388,2
122,6.73637,0.0110952,2
123,7.31677,0.557347,2
124,7.29637,-0.344011,2
125,7.41118,0.175356,2
126,8.04672,0.656547,2
127,7.58396,1.37038,2
128,7.24168,-0.135876,2
129,8.08668,0.180556,2
130,8.36457,0.099364,2
131,7.66844,-0.424357,2
132,8.02776,-0.767283,2
133,7.24715,0.851412,2
134,8.35838,0.432283,2
135,7.75519,0.153029,2
136,8.099,-0.0839765,2
137,8.73561,0.629472,2
138,8.42773,-1.69667,2
139,7.45885,0.292715,2
140,7.56676,0.897958,2
141,8.62853,-0.119195,2
142,8.20596,0.777928,2
143,7.63379,-0.338959,2
144,7.17197,0.451926,2
145,7.8471,0.346593,2
146,8.87306,0.867481,2
147,8.84844,-0.231711,2
148,8.63226,-0.834833,2
149,9.05391,0.561159,2
150,11.1975,-0.164718,3
151,12.4641,0.928536,3
152,12.863,-0.145341,3
153,11.3365,0.432666,3
154,11.5552,0.397367,3
155,11.8646,0.415389,3
156,12.5514,-0.524287,3
157,11.5798,-0.409786,3
158,12.0817,-0.546197,3
159,12.3245,-0.173053,3
160,12.1314,-0.165384,3
161,12.2732,0.112706,3
162,11.3454,-0.396408,3
163,11.7244,-0.642267,3
164,11.7995,0.318161,3
165,12.3045,0.0922153,3
166,11.6,0.35805,3
167,12.2717,-0.203684,3
168,11.9235,0.861123,3
