,x,y,class
0,0.15,0.0,1
1,0.15,0.25,1
2,0.15,0.5,1
3,0.15,0.75,1
4,0.15,1.0,1
5,0.15,1.25,1
6,0.15,1.5,1
7,0.15,1.75,1
8,0.15,2.0,1
9,0.15,2.25,1
10,0.15,2.5,1
11,0.15,2.75,1
12,0.15,3.0,1
13,-0.15,3.0,2
14,-0.15,2.75,2
15,-0.15,2.5,2
16,-0.15,2.25,2
17,-0.15,2.0,2
18,-0.15,1.75,2
19,-0.15,1.5,2
20,-0.15,1.25,2
21,-0.15,1.0,2
22,-0.15,0.75,2
23,-0.15,0.5,2
24,-0.15,0.25,2
25,-0.15,0.0,2
26,0.1590287,0.414803,1
27,-0.1590287,2.585197,2
28,0.1615557,0.8163109,1
29,-0.1615557,2.183689,2
30,0.1627658,1.628365,1
31,-0.1627658,1.371635,2
32,0.1638636,0.778645,1
33,-0.1638636,2.221355,2
34,0.1743435,0.5312497,1
35,-0.1743435,2.46875,2
36,0.1781862,1.774766,1
37,-0.1781862,1.225234,2
38,0.1821549,1.170735,1
39,-0.1821549,1.829265,2
40,0.1851598,0.4267521,1
41,-0.1851598,2.573248,2
42,0.1882799,1.410506,1
43,-0.1882799,1.589494,2
44,0.188569,1.376922,1
45,-0.188569,1.623078,2
46,0.1966325,1.7077,1
47,-0.1966325,1.2923,2
48,0.2075332,1.206062,1
49,-0.2075332,1.793938,2
50,0.2076227,1.103336,1
51,-0.2076227,1.896664,2
52,0.2114885,0.941725,1
53,-0.2114885,2.058275,2
54,0.2118931,2.819647,1
55,-0.2118931,0.1803527,2
56,0.212571,0.2896754,1
57,-0.212571,2.710325,2
58,0.2128912,1.398912,1
59,-0.2128912,1.601088,2
60,0.2147423,2.239866,1
61,-0.2147423,0.7601344,2
62,0.2191172,0.1423022,1
63,-0.2191172,2.857698,2
64,0.220019,0.1433141,1
65,-0.220019,2.856686,2
66,0.2225046,0.4031978,1
67,-0.2225046,2.596802,2
68,0.2242973,0.4770325,1
69,-0.2242973,2.522967,2
70,0.2300088,1.972408,1
71,-0.2300088,1.027592,2
