,x,y,class
0,2.072345,-3.241693,1
1,17.93671,15.78481,1
2,1.083576,7.319176,1
3,11.12067,14.40678,1
4,23.71155,2.557729,1
5,24.16993,32.02478,2
6,21.66578,4.892855,1
7,4.693684,12.34217,1
8,19.21191,-1.121366,1
9,4.230391,-4.441536,1
10,9.12713,23.60572,1
11,0.4075031,15.29705,1
12,7.314846,3.309312,1
13,-3.438403,-12.02527,1
14,17.63935,-3.212345,1
15,4.415292,22.81555,1
16,11.94122,8.122487,1
17,0.7258532,1.806819,1
18,8.185273,28.1326,1
19,-5.773587,1.0248,1
20,18.76943,24.16946,1
21,7.752016,-3.334991,1
22,10.61132,28.44378,1
23,2.02165,-4.687122,1
24,5.145525,11.186,1
25,6.24331,19.47716,1
26,-11.70671,8.073185,1
27,7.255978,14.63704,1
28,3.392373,1.220712,1
29,24.2999,40.42887,2
30,4.094005,6.944695,1
31,11.80358,-2.445336,1
32,0.09228785,-6.651035,1
33,28.50607,-9.091833,1
34,23.40831,7.931438,1
35,10.56305,12.54468,1
36,20.14157,11.11789,1
37,-1.871265,8.60885,1
38,29.30237,14.02176,1
39,18.65383,17.21672,1
40,-2.972188,6.370999,1
41,10.32313,12.11574,1
42,16.90539,-1.355044,1
43,6.75371,12.02797,1
44,23.94777,13.35047,1
45,6.883513,6.188563,1
46,-1.241542,10.08179,1
47,20.50827,-1.57887,1
48,-3.75683,1.60851,1
49,17.9176,13.09896,1
50,2.002537,-0.656524,1
51,10.7768,15.5336,1
52,24.15819,5.330366,1
53,0.3268727,7.288787,1
54,21.64777,14.00506,1
55,6.871417,21.51998,1
56,15.14264,5.111947,1
57,11.54712,4.75756,1
58,0.6611676,-10.14263,1
59,-13.66531,16.93903,1
60,24.90937,-10.82038,1
61,-4.53022,-6.173767,1
62,3.163677,8.051481,1
63,1.495172,-7.261601,1
64,7.097637,2.105751,1
65,3.509483,24.58487,1
66,12.99879,24.91248,1
67,0.3593824,6.387915,1
68,14.35429,-2.252421,1
69,3.831208,-2.000873,1
70,31.40462,26.77209,2
71,-5.501097,13.39128,1
72,-1.04476,5.955898,1
73,4.409013,9.323681,1
74,2.917201,16.53999,1
75,7.265954,10.64794,1
76,10.32038,13.36857,1
77,9.35213,10.42427,1
78,6.648532,11.07535,1
79,-1.922306,4.888493,1
80,7.22604,13.02948,1
81,8.327288,8.540999,1
82,17.69046,21.59555,1
83,16.58353,18.16115,1
84,12.35425,31.96708,1
85,2.471138,5.482761,1
86,18.4925,29.42421,1
87,10.1196,7.162078,1
88,20.40245,3.943319,1
89,12.71589,4.531656,1
90,24.35859,-4.0644,1
91,21.74312,15.90887,1
92,12.27208,-9.612116,1
93,18.29681,22.38563,1
94,3.530957,8.673297,1
95,5.026042,36.03767,1
96,-0.8633009,-7.586249,1
97,26.83892,13.13713,1
98,19.11999,7.209715,1
99,-0.8841637,27.15254,1
100,-5.191529,29.65612,1
101,9.796095,15.43598,1
102,11.66314,10.63428,1
103,9.925199,26.80364,1
104,33.90998,15.02652,1
105,9.57004,9.2481,1
106,-16.2653,13.90024,1
107,15.10579,3.350049,1
108,-4.186504,7.96441,1
109,12.54816,32.51867,1
110,-7.733469,9.634491,1
111,18.91337,15.7414,1
112,-1.050022,-4.003455,1
113,-6.894765,1.041802,1
114,23.05031,-12.76934,1
115,25.96073,11.44522,1
116,7.950795,6.811407,1
117,-3.669517,-4.329696,1
118,10.52266,23.3561,1
119,26.29452,10.51806,1
120,12.42904,23.15663,1
121,0.1170239,24.65274,1
122,-1.040023,1.629857,1
123,11.16266,9.0201,1
124,13.61452,0.8832188,1
125,8.028045,14.82966,1
126,20.40253,22.0472,1
127,8.818028,18.90424,1
128,-0.3163153,21.40601,1
129,7.190193,9.13962,1
130,-0.4711474,-8.29095,1
131,16.6546,-1.519889,1
132,10.51711,-5.018592,1
133,17.96306,14.46713,1
134,-1.315535,11.6027,1
135,5.113728,3.961434,1
136,32.25842,-2.712702,1
137,-10.59094,15.40292,1
138,21.60892,17.75002,1
139,11.31144,1.031762,1
140,11.30595,3.068958,1
141,15.51137,8.943091,1
142,15.37201,18.17922,1
143,3.77755,13.33419,1
144,17.27989,13.97798,1
145,-3.349734,26.6599,1
146,15.72571,6.373983,1
147,25.50999,15.15837,1
148,16.68281,18.95937,1
149,-4.734694,24.09568,1
150,25.08795,19.69376,1
151,7.038364,10.6667,1
152,4.521214,-6.635304,1
153,6.454509,13.66272,1
154,5.322541,22.3855,1
155,0.6316529,19.79414,1
156,-5.669132,11.32511,1
157,9.843806,-4.695499,1
158,15.39168,14.14527,1
159,1.289581,10.09948,1
160,17.10334,6.207793,1
161,17.13273,6.609228,1
162,9.70176,12.33497,1
163,18.80351,-3.160759,1
164,6.08478,4.689186,1
165,-6.025192,26.61258,1
166,4.237603,7.315439,1
167,16.82231,8.13356,1
168,-4.768829,28.65819,1
169,0.5061416,4.946298,1
170,12.57349,10.41494,1
171,16.35374,6.874306,1
172,0.1009744,2.590253,1
173,13.67556,-12.72959,1
174,2.477362,8.42026,1
175,14.99279,15.16393,1
176,29.71711,15.62874,1
177,17.48491,3.3823,1
178,13.45815,-4.13764,1
179,2.2072,-1.554494,1
180,23.05134,24.39491,1
181,32.74222,25.56641,2
182,15.56297,24.94262,1
183,8.132651,8.998712,1
184,0.4580866,-9.891244,1
185,-9.164294,5.029294,1
186,-3.031709,20.23346,1
187,12.12393,15.103,1
188,19.95281,29.14982,1
189,13.00477,27.23093,1
190,10.4399,25.7741,1
191,0.351724,12.2222,1
192,10.37312,6.863773,1
193,17.95419,4.455694,1
194,21.06292,3.607867,1
195,6.069686,9.325338,1
196,14.00808,11.5225,1
197,-1.777792,14.62108,1
198,0.7525703,-7.381838,1
199,-2.329547,5.070321,1
200,1.77457,6.278572,1
201,10.69576,16.30571,1
202,18.11151,34.12422,1
203,0.2417766,27.04643,1
204,-0.4202355,4.105829,1
205,15.41425,14.78257,1
206,8.463556,23.04895,1
207,12.03072,17.41157,1
208,18.68731,6.949079,1
209,6.369355,5.700326,1
210,21.82924,5.564074,1
211,7.61541,-5.024377,1
212,5.823252,18.40279,1
213,22.35203,8.526174,1
214,6.434616,21.16974,1
215,0.5560946,-4.866076,1
216,6.737062,-11.7331,1
217,-1.392677,14.64543,1
218,4.935136,24.86809,1
219,20.35508,26.98124,1
220,8.624667,10.67174,1
221,16.31749,11.64083,1
